Lambda	Vlambda_CIE_1924+interpolation
359	0
359.5	1.93E-06
360	0.000003917
360.5	4.16E-06
361	4.39E-06
361.5	4.65E-06
362	4.93E-06
362.5	5.22E-06
363	5.53E-06
363.5	5.86E-06
364	6.21E-06
364.5	6.58E-06
365	0.000006965
365.5	7.38E-06
366	7.81E-06
366.5	8.28E-06
367	8.77E-06
367.5	9.29E-06
368	9.84E-06
368.5	1.04E-05
369	1.10E-05
369.5	1.17E-05
370	0.00001239
370.5	1.31E-05
371	1.39E-05
371.5	1.47E-05
372	1.56E-05
372.5	1.65E-05
373	1.74E-05
373.5	1.85E-05
374	1.96E-05
374.5	2.08E-05
375	0.00002202
375.5	2.34E-05
376	2.48E-05
376.5	2.64E-05
377	2.80E-05
377.5	2.98E-05
378	3.15E-05
378.5	3.34E-05
379	3.52E-05
379.5	3.71E-05
380	0.000039
380.5	4.09E-05
381	4.28E-05
381.5	4.48E-05
382	4.69E-05
382.5	4.92E-05
383	5.16E-05
383.5	5.42E-05
384	5.72E-05
384.5	6.04E-05
385	0.000064
385.5	6.80E-05
386	7.23E-05
386.5	7.71E-05
387	8.22E-05
387.5	8.77E-05
388	9.35E-05
388.5	9.97E-05
389	0.000106136
389.5	0.000112921
390	0.00012
390.5	0.000127327
391	0.000134984
391.5	0.000143005
392	0.000151492
392.5	0.000160531
393	0.000170208
393.5	0.000180608
394	0.000191816
394.5	0.000203889
395	0.000217
395.5	0.000231382
396	0.000246907
396.5	0.000263613
397	0.00028124
397.5	0.000299604
398	0.00031852
398.5	0.000337803
399	0.000357267
399.5	0.000376633
400	0.000396
401	0.000433715
402	0.000473024
403	0.000517876
404	0.000572219
405	0.00064
406	0.00072456
407	0.0008255
408	0.00094116
409	0.00106988
410	0.00121
411	0.001362091
412	0.001530752
413	0.001720368
414	0.001935323
415	0.00218
416	0.0024548
417	0.002764
418	0.0031178
419	0.0035264
420	0.004
421	0.00454624
422	0.00515932
423	0.00582928
424	0.00654616
425	0.0073
426	0.008086507
427	0.00890872
428	0.00976768
429	0.01066443
430	0.0116
431	0.01257317
432	0.01358272
433	0.01462968
434	0.01571509
435	0.01684
436	0.01800736
437	0.01921448
438	0.02045392
439	0.02171824
440	0.023
441	0.02429461
442	0.02561024
443	0.02695857
444	0.02835125
445	0.0298
446	0.03131083
447	0.03288368
448	0.03452112
449	0.03622571
450	0.038
451	0.03984667
452	0.041768
453	0.043766
454	0.04584267
455	0.048
456	0.05024368
457	0.05257304
458	0.05498056
459	0.05745872
460	0.06
461	0.06260197
462	0.06527752
463	0.06804208
464	0.07091109
465	0.0739
466	0.077016
467	0.0802664
468	0.0836668
469	0.0872328
470	0.09098
471	0.09491755
472	0.09904584
473	0.1033674
474	0.1078846
475	0.1126
476	0.117532
477	0.1226744
478	0.1279928
479	0.1334528
480	0.13902
481	0.1446764
482	0.1504693
483	0.1564619
484	0.1627177
485	0.1693
486	0.1762431
487	0.1835581
488	0.1912735
489	0.199418
490	0.20802
491	0.2171199
492	0.2267345
493	0.2368571
494	0.2474812
495	0.2586
496	0.2701849
497	0.2822939
498	0.2950505
499	0.308578
500	0.323
501	0.3384021
502	0.3546858
503	0.3716986
504	0.3892875
505	0.4073
506	0.4256299
507	0.4443096
508	0.4633944
509	0.4829395
510	0.503
511	0.5235693
512	0.544512
513	0.56569
514	0.5869653
515	0.6082
516	0.6293456
517	0.6503068
518	0.6708752
519	0.6908424
520	0.71
521	0.7281852
522	0.7454636
