Wvlgth Extraterrestrial_spectrm Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar
.2800E+03 .8200E-01 .6055E-19 .2958E-25 .6586E-19
.2805E+03 .9900E-01 .1520E-17 .1225E-23 .1654E-17
.2810E+03 .1500E+00 .1602E-18 .6769E-23 .1742E-18
.2815E+03 .2120E+00 .3642E-18 .2925E-21 .3958E-18
.2820E+03 .2670E+00 .1748E-17 .2947E-20 .1898E-17
.2825E+03 .3030E+00 .5282E-17 .1358E-19 .5730E-17
.2830E+03 .3250E+00 .1738E-16 .6807E-19 .1883E-16
.2835E+03 .3230E+00 .3036E-16 .1458E-18 .3286E-16
.2840E+03 .2990E+00 .4385E-15 .4784E-17 .4718E-15
.2845E+03 .2502E+00 .1313E-14 .2038E-16 .1406E-14
.2850E+03 .1759E+00 .3931E-14 .8319E-16 .4187E-14
.2855E+03 .1550E+00 .1844E-13 .5821E-15 .1944E-13
.2860E+03 .2420E+00 .5648E-13 .2104E-14 .5918E-13
.2865E+03 .3330E+00 .3162E-12 .1622E-13 .3265E-12
.2870E+03 .3620E+00 .9717E-12 .6285E-13 .9895E-12
.2875E+03 .3390E+00 .3613E-11 .3116E-12 .3596E-11
.2880E+03 .3110E+00 .1485E-10 .2333E-11 .1366E-10
.2885E+03 .3250E+00 .4296E-10 .7445E-11 .3875E-10
.2890E+03 .3920E+00 .1486E-09 .2837E-10 .1313E-09
.2895E+03 .4790E+00 .5841E-09 .1229E-09 .5037E-09
.2900E+03 .5630E+00 .1789E-08 .4071E-09 .1510E-08
.2905E+03 .6060E+00 .4295E-08 .1043E-08 .3556E-08
.2910E+03 .6180E+00 .1159E-07 .3019E-08 .9377E-08
.2915E+03 .5980E+00 .3908E-07 .1102E-07 .3071E-07
.2920E+03 .5670E+00 .1039E-06 .3080E-07 .8000E-07
.2925E+03 .5290E+00 .1752E-06 .5282E-07 .1340E-06
.2930E+03 .5380E+00 .3843E-06 .1172E-06 .2925E-06
.2935E+03 .5490E+00 .1138E-05 .3464E-06 .8673E-06
.2940E+03 .5330E+00 .2290E-05 .6901E-06 .1752E-05
.2945E+03 .5200E+00 .3471E-05 .1159E-05 .2535E-05
.2950E+03 .5270E+00 .7202E-05 .2323E-05 .5346E-05
.2955E+03 .5590E+00 .1576E-04 .5728E-05 .1101E-04
.2960E+03 .5730E+00 .2853E-04 .1046E-04 .1983E-04
.2965E+03 .5210E+00 .4468E-04 .1645E-04 .3098E-04
.2970E+03 .4780E+00 .6321E-04 .2331E-04 .4378E-04
.2975E+03 .5290E+00 .1292E-03 .4741E-04 .8975E-04
.2980E+03 .5280E+00 .2122E-03 .7727E-04 .1481E-03
.2985E+03 .4680E+00 .2734E-03 .9873E-04 .1916E-03
.2990E+03 .4720E+00 .3921E-03 .1401E-03 .2763E-03
.2995E+03 .5010E+00 .7384E-03 .2564E-03 .5285E-03
.3000E+03 .4579E+00 .9130E-03 .3119E-03 .6590E-03
.3005E+03 .4330E+00 .1165E-02 .3900E-03 .8491E-03
