wvl_nm	Abs_NH3
1900	0.001271664
1905	0.005086732
1910	0.006358447
1915	0.008901915
1920	0.015260807
1925	0.026707614
1930	0.039427497
1935	0.05087648
1940	0.077594782
1945	0.11322792
1950	0.120864892
1955	0.137413237
1960	0.129775272
1965	0.160329887
1970	0.109409607
1975	0.092864905
1980	0.189618283
1985	0.089047202
1990	0.068688058
1995	0.148871046
2000	0.101773323
2005	0.096682722
2010	0.073777538
2015	0.095410103
2020	0.077594782
2025	0.036883419
2030	0.027979545
2035	0.022891897
2040	0.013989003
2045	0.008901915
2050	0.006358447
2055	0.005086732
2060	0.002543341
2065	0.00381503
2070	0
2075	0
2080	0
2085	0
2090	0
2095	0
2100	0
2105	0
2110	0
2115	0
2120	0
2125	0
2130	0
2135	0
2140	0
2145	0
2150	0
2155	0
2160	0
2165	0.001271664
2170	0
2175	0.00381503
2180	0.008901915
2185	0.011445433
2190	0.026707614
2195	0.047060038
2200	0.055965248
2205	0.072505149
2210	0.105591407
2215	0.117046349
2220	0.103046005
2225	0.111955136
2230	0.160329887
2235	0.068688058
2240	0.100500653
2245	0.117046349
2250	0.096682722
2255	0.123410651
2260	0.090319757
2265	0.094137498
2270	0.091592324
2275	0.115773527
2280	0.096682722
2285	0.109409607
2290	0.072505149
2295	0.100500653
2300	0.091592324
2305	0.081412141
2310	0.054693037
2315	0.105591407
2320	0.094137498
2325	0.052148653
2330	0.096682722
2335	0.045787916
2340	0.02034815
2345	0.021620017
2350	0.025435696
2355	0.005086732
2360	0.012717212
2365	0.001271664
2370	0.011445433
2375	0.011445433
2380	0
2385	0.011445433
2390	0
2395	0.015260807
2400	0.001271664
2405	0
2410	0.00381503
2415	0
2420	0.005086732
2425	0
2430	0
2435	0
2440	0
2445	0
2450	0
2455	0
2460	0
2465	0
2470	0
2475	0
2480	0
2485	0
2490	0
2495	0
2500	0
2505	0
2510	0
2515	0
2520	0
2525	0
2530	0
2535	0
2540	0
2545	0
2550	0
2555	0
2560	0
2565	0
2570	0
2575	0
2580	0
2585	0
2590	0
2595	0
2600	0
2605	0
2610	0
2615	0
2620	0
2625	0
2630	0
2635	0
2640	0
2645	0
2650	0
2655	0
2660	0
2665	0
2670	0
2675	0
2680	0
2685	0
2690	0
2695	0
2700	0
2705	0
2710	0
2715	0
2720	0
2725	0
2730	0
2735	0
2740	0
2745	0.002543341
2750	0.002543341
2755	0.002543341
2760	0.00381503
2765	0.00381503
2770	0.007630175
2775	0.005086732
2780	0.007630175
2785	0.016532623
2790	0.027979545
2795	0.035611399
2800	0.027979545
2805	0.080139675
2810	0.080139675
2815	0.090319757
2820	0.12468355
2825	0.118319184
2830	0.201080797
2835	0.232926534
2840	0.119592032
2845	0.253311992
2850	0.220187282
2855	0.12468355
2860	0.218913427
2865	0.310663618
2870	0.117046349
2875	0.099227997
2880	0.379519731
2885	0.078867223
2890	0.199807133
2895	0.410134419
2900	0.238022592
2905	0.136140211
2910	0.450965471
2915	0.415237583
2920	0.092864905
2925	0.090319757
2930	0.498192725
2935	0.077594782
2940	0.17178976
2945	0.225282829
2950	0.103046005
2955	0.119592032
2960	0.159056631
2965	0.099227997
2970	0.143778559
2975	0.06741572
2980	0.146324777
2985	0.054693037
2990	0.110682365
2995	0.31448798
3000	1.740033168
3005	0.04960432
3010	0.066143394
3015	0.081412141
3020	0.035611399
3025	0.012717212
3030	0.029251489
3035	0.115773527
3040	0.011445433
3045	0.005086732
3050	0.105591407
3055	0.055965248
3060	0.005086732
3065	0.00381503
3070	0.157783388
3075	0.039427497
3080	0
3085	0.002543341
3090	0.173063143
3095	0.00381503
3100	0
3105	0
3110	0.137413237
3115	0.001271664
3120	0
3125	0
3130	0.094137498
3135	0
3140	0
3145	0
3150	0.063598781
3155	0
3160	0
3165	0.005086732
3170	0.034339391
3175	0
3180	0
3185	0.006358447
3190	0.011445433
3195	0
3200	0.002543341
3205	0.005086732
3210	0
3215	0
3220	0
3225	0
3230	0
3235	0.005086732
3240	0
3245	0
3250	0
3255	0
3260	0
3265	0
3270	0
3275	0
3280	0
3285	0
3290	0
3295	0
3300	0
3305	0
3310	0
3315	0
3320	0
3325	0
3330	0
3335	0
3340	0
3345	0
3350	0
3355	0
3360	0
3365	0
3370	0
3375	0
3380	0
3385	0
3390	0
3395	0
3400	0
3405	0
3410	0
3415	0
3420	0
3425	0
3430	0
3435	0
3440	0
3445	0
3450	0
3455	0.008901915
3460	0
3465	0
3470	0
3475	0
3480	0
3485	0
3490	0
3495	0
3500	0
3505	0
3510	0
3515	0
3520	0
3525	0
3530	0
3535	0
3540	0
3545	0
3550	0
3555	0
3560	0
3565	0
3570	0
3575	0
3580	0
3585	0
3590	0
3595	0
3600	0
3605	0
3610	0
3615	0
3620	0
3625	0
3630	0
3635	0
3640	0
3645	0
3650	0
3655	0
3660	0
3665	0
3670	0
3675	0
3680	0
3685	0
3690	0
3695	0
3700	0
3705	0
3710	0
3715	0
3720	0
3725	0
3730	0
3735	0
3740	0
3745	0
3750	0
3755	0
3760	0
3765	0
3770	0
3775	0
3780	0
3785	0
3790	0
3795	0
3800	0
3805	0
3810	0
3815	0
3820	0
3825	0
3830	0
3835	0
3840	0
3845	0
3850	0
3855	0
3860	0
3865	0
3870	0
3875	0
3880	0
3885	0
3890	0
3895	0
3900	0
3905	0
3910	0
3915	0
3920	0
3925	0.001271664
3930	0.002543341
3935	0
3940	0.00381503
3945	0
3950	0.001271664
3955	0.008901915
3960	0.001271664
3965	0
3970	0
3975	0.00381503
3980	0.00381503
3985	0.00381503
3990	0
3995	0.00381503
4000	0.007630175

