wvl_nm	Xsec_298K	a(T)
400	1E-21	-5.73529E-22
401	1E-20	-5.88235E-22
402	1E-20	-5.88235E-22
403	2E-20	-4.41176E-22
404	1E-21	-4.26471E-22
405	3E-20	-5.88235E-22
406	2E-20	-5.88235E-22
407	1E-20	-5.88235E-22
408	3E-20	-2.94118E-22
409	1E-21	-1.16176E-21
410	1E-20	-5.88235E-22
411	2E-20	-8.82353E-22
412	5E-20	1.47059E-22
413	5E-20	-2.94118E-22
414	2E-20	-1.47059E-21
415	6E-20	-2.94118E-22
416	6E-20	-2.94118E-22
417	7E-20	-5.88235E-22
418	5E-20	-8.82353E-22
419	8E-20	-4.41176E-22
420	8E-20	-8.82353E-22
421	8E-20	-7.35294E-22
422	9E-20	-5.88235E-22
423	1.1E-19	-2.94118E-22
424	9E-20	-7.35294E-22
425	7E-20	-1.47059E-21
426	1.4E-19	-2.94118E-22
427	1.4E-19	1.47059E-22
428	1.2E-19	-5.88235E-22
429	1.1E-19	-4.41176E-22
430	1.7E-19	0
431	1.3E-19	-7.35294E-22
432	1.5E-19	-4.41176E-22
433	1.8E-19	-2.94118E-22
434	1.8E-19	-5.88235E-22
435	1.6E-19	-1.17647E-21
436	1.5E-19	-1.17647E-21
437	1.8E-19	-2.94118E-22
438	2.1E-19	-1.47059E-22
439	2E-19	-1.17647E-21
440	1.9E-19	-7.35294E-22
441	1.8E-19	-1.02941E-21
442	2.1E-19	-2.94118E-22
443	1.8E-19	-7.35294E-22
444	1.9E-19	-7.35294E-22
445	2E-19	-1.32353E-21
446	2.4E-19	-7.35294E-22
447	2.9E-19	-5.88235E-22
448	2.4E-19	-1.76471E-21
449	2.8E-19	-7.35294E-22
450	2.9E-19	-5.88235E-22
451	3E-19	-1.02941E-21
452	3.3E-19	-1.02941E-21
453	3.1E-19	-8.82353E-22
454	3.6E-19	-5.88235E-22
455	3.6E-19	-7.35294E-22
456	3.6E-19	0
457	4E-19	-2.94118E-22
458	3.7E-19	-1.47059E-21
459	4.2E-19	-4.41176E-22
460	4E-19	-8.82353E-22
461	3.9E-19	-5.88235E-22
462	4E-19	7.08062E-37
463	4.1E-19	-1.02941E-21
464	4.8E-19	-4.41176E-22
465	5.1E-19	-4.41176E-22
466	5.4E-19	-4.41176E-22
467	5.7E-19	-4.41176E-22
468	5.6E-19	-4.41176E-22
469	5.8E-19	-2.94118E-22
470	5.9E-19	2.94118E-22
471	6.2E-19	0
472	6.5E-19	0
473	6.2E-19	-4.41176E-22
474	6.2E-19	-2.94118E-22
475	6.8E-19	-8.82353E-22
476	7.8E-19	-7.35294E-22
477	7.7E-19	-7.35294E-22
478	7.3E-19	-1.47059E-22
479	7.3E-19	-1.47059E-22
480	7E-19	-7.35294E-22
481	7.1E-19	-4.41176E-22
482	7.1E-19	-2.94118E-22
483	7.2E-19	1.47059E-22
484	7.7E-19	4.41176E-22
485	8.2E-19	1.41612E-36
486	9.1E-19	-5.88235E-22
487	9.2E-19	-2.94118E-22
488	9.5E-19	4.41176E-22
489	9.6E-19	-1.47059E-21
490	1.03E-18	-1.32353E-21
491	9.9E-19	-5.88235E-22
492	9.9E-19	-1.02941E-21
493	1.01E-18	-1.17647E-21
494	1.01E-18	0
495	1.06E-18	-7.35294E-22
496	1.21E-18	-1.17647E-21
497	1.22E-18	-2.64706E-21
498	1.2E-18	-1.76471E-21
499	1.17E-18	-1.32353E-21
500	1.13E-18	-1.47059E-21
501	1.11E-18	-4.41176E-22
502	1.11E-18	-2.83225E-36
503	1.11E-18	-1.17647E-21
504	1.26E-18	-1.02941E-21
505	1.28E-18	-1.76471E-21
506	1.34E-18	-2.35294E-21
507	1.28E-18	-1.76471E-21
508	1.27E-18	-4.41176E-22
509	1.35E-18	-8.82353E-22
510	1.51E-18	-2.05882E-21
511	1.73E-18	-3.97059E-21
