wvl	Abs_coeff_O2
627	3.98107E-11
628	2.05333E-07
629	6.79762E-08
630	8.92937E-08
631	3.81213E-08
632	1.78752E-08
633	6.33491E-09
634	1.51309E-09
635	3.18497E-10
636	3.98107E-11
637	0
638	0
639	0
640	0
641	0
642	0
643	0
644	0
645	0
646	0
647	0
648	0
649	0
650	0
651	0
652	0
653	0
654	0
655	0
656	0
657	0
658	0
659	0
660	0
661	0
662	0
663	0
664	0
665	0
666	0
667	0
668	0
669	0
670	0
671	0
672	0
673	0
674	0
675	0
676	0
677	0
678	0
679	0
680	0
681	0
682	0
683	0
684	0
685	0
686	1.67239E-09
687	1.37577E-06
688	8.2873E-07
689	8.11023E-07
690	6.31383E-07
691	4.32205E-07
692	2.5027E-07
693	1.33962E-07
694	5.34646E-08
695	9.566E-09
696	4.22215E-09
697	5.1757E-10
698	2.78683E-10
699	2.3154E-11
700	0
701	0
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	0
710	0
711	0
712	0
713	0
714	0
715	0
716	0
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	0
727	0
728	0
729	0
730	0
731	0
732	0
733	0
734	0
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	0
752	0
753	0
754	0
755	0
756	0
757	0
758	4.3794E-10
759	3.92067E-08
760	5.88667E-06
761	7.97699E-06
762	2.11486E-06
763	4.4873E-06
764	3.10015E-06
765	2.1417E-06
766	1.35882E-06
767	7.23603E-07
768	2.75915E-07
769	1.81011E-07
770	7.35281E-08
771	2.64422E-08
772	1.19212E-08
773	8.24931E-09
774	4.97943E-09
775	2.26985E-09
776	7.9629E-10
777	1.59245E-10
778	1.59245E-10
779	0
780	0
781	0
782	0
783	0
784	0
785	0
786	0
787	0
788	0
789	0
790	0
791	0
792	0
793	0
794	0
795	0
796	0
797	0
798	0
799	0
800	0
801	0
802	0
803	0
804	0
805	0
806	0
807	0
808	0
809	0
810	0
811	0
812	0
813	0
814	0
815	0
816	0
817	0
818	0
819	0
820	0
821	0
822	0
823	0
824	0
825	0
826	0
827	0
828	0
829	0
830	0
831	0
832	0
833	0
834	0
835	0
836	0
837	0
838	0
839	0
840	0
841	0
842	0
843	0
844	0
845	0
846	0
847	0
848	0
849	0
850	0
851	0
852	0
853	0
854	0
855	0
856	0
857	0
858	0
859	0
860	0
861	2.3887E-10
862	8.75927E-10
863	1.15467E-09
864	5.97202E-10
865	3.58311E-10
866	7.56471E-10
867	7.56471E-10
868	5.1757E-10
869	1.99057E-10
870	1.19433E-10
871	7.96218E-11
872	0
873	0
874	0
875	0
876	0
877	0
878	0
879	0
880	0
881	0
882	0
883	0
884	0
885	0
886	0
887	0
888	0
889	0
890	0
891	0
892	0
893	0
894	0
895	0
896	0
897	0
898	0
899	0
900	0
901	0
902	0
903	0
904	0
905	0
906	0
907	0
908	0
909	0
910	0
911	0
912	0
913	0
914	0
915	0
916	0
917	0
918	0
919	0
920	0
921	0
922	0
923	0
924	0
925	0
926	0
927	0
928	0
929	0
930	0
931	0
932	0
933	0
934	0
935	0
936	0
937	0
938	0
939	0
940	0
941	0
942	0
943	0
944	0
945	0
946	0
947	0
948	0
949	0
950	0
951	0
952	0
953	0
954	0
955	0
956	0
957	0
958	0
959	0
960	0
961	0
962	0
963	0
964	0
965	0
966	0
967	0
968	0
969	0
970	0
971	0
972	0
973	0
974	0
975	0
976	0
977	0
978	0
979	0
980	0
981	0
982	0
983	0
984	0
985	0
986	0
987	0
988	0
989	0
990	0
991	0
992	0
993	0
994	0
995	0
996	0
997	0
998	0
999	0
1000	0
1001	0
1002	0
1003	0
1004	0
1005	0
1006	0
1007	0
1008	0
1009	0
1010	0
1011	0
1012	0
1013	0
1014	0
1015	0
1016	0
1017	0
1018	0
1019	0
1020	0
1021	0
1022	0
1023	0
1024	0
1025	0
1026	0
1027	0
1028	0
1029	0
1030	0
1031	0
1032	0
1033	0
1034	0
1035	0
1036	0
1037	0
1038	0
1039	0
1040	0
1041	0
1042	0
1043	0
1044	0
1045	0
1046	0
1047	0
1048	0
1049	0
1050	0
1051	0
1052	0
1053	0
1054	0
1055	3.98107E-11
1056	7.96218E-11
1057	1.19433E-10
1058	2.3887E-10
1059	3.18497E-10
1060	4.3794E-10
1061	5.57386E-10
1062	7.9629E-10
1063	1.79188E-09
1064	3.42518E-09
1065	4.54099E-09
1066	4.38157E-09
1067	1.79188E-09
1068	1.07634E-08
1069	3.46502E-09
1070	1.43344E-09
1071	1.11485E-09
1072	1.63257E-09
1073	9.15747E-10
1074	5.97202E-10
1075	5.1757E-10
1076	3.58311E-10
1077	7.96218E-11
1078	1.59245E-10
1079	7.96218E-11
1080	1.15769E-11
1081	3.98107E-11
1082	0
1083	0
1084	0
1085	0
1086	0
1087	0
1088	0
1089	0
1090	0
1091	0
1092	0
1093	0
1094	0
1095	0
1096	0
1097	0
1098	0
1099	0
1100	0
1101	0
1102	0
1103	0
1104	0
1105	0
1106	0
1107	0
1108	0
1109	0
1110	0
1111	0
1112	0
1113	0
1114	0
1115	0
1116	0
1117	0
1118	0
1119	0
1120	0
1121	0
1122	0
1123	0
1124	0
1125	0
1126	0
1127	0
1128	0
1129	0
1130	0
1131	0
1132	0
1133	0
1134	0
1135	0
1136	0
1137	0
1138	0
1139	0
1140	0
1141	0
1142	0
1143	0
1144	0
1145	0
1146	0
1147	0
1148	0
1149	0
1150	0
1151	0
1152	0
1153	0
1154	0
1155	0
1156	0
1157	0
1158	0
1159	0
1160	0
1161	0
1162	0
1163	0
1164	0
1165	0
1166	0
1167	0
1168	0
1169	0
1170	0
1171	0
1172	0
1173	0
1174	0
1175	0
1176	0
1177	0
1178	0
1179	0
1180	0
1181	0
1182	0
1183	0
1184	0
1185	0
1186	0
1187	0
1188	0
1189	0
1190	0
1191	0
1192	0
1193	0
1194	0
1195	0
1196	0
1197	0
1198	0
1199	0
1200	0
1201	0
1202	0
1203	0
1204	0
1205	0
1206	0
1207	0
1208	0
1209	0
1210	0
1211	0
1212	0
1213	0
1214	0
1215	0
1216	0
1217	0
1218	0
1219	0
1220	0
1221	0
1222	0
1223	0
1224	0
1225	0
1226	0
1227	0
1228	0
1229	0
1230	0
1231	0
1232	0
1233	0
1234	0
1235	0
1236	0
1237	0
1238	0
1239	0
1240	7.96218E-11
1241	1.19433E-10
1242	7.96218E-11
1243	2.78683E-10
1244	9.15747E-10
1245	2.11052E-09
1246	5.20977E-11
1247	4.6207E-09
1248	9.32657E-09
1249	5.45778E-09
1250	1.2001E-08
1251	2.98501E-08
1252	9.15747E-10
1253	4.50406E-08
1254	6.38882E-08
1255	1.19449E-09
1256	8.4289E-08
1257	9.87096E-08
1258	1.99152E-08
1259	1.55388E-07
1260	1.25284E-07
1261	2.95205E-07
1262	3.90929E-07
1263	3.79614E-07
1264	6.13695E-07
1265	3.76112E-07
1266	5.13483E-07
1267	4.05007E-07
1268	5.69171E-07
1269	2.22548E-06
1270	4.6509E-07
1271	2.4849E-07
1272	2.4921E-07
1273	2.79031E-07
1274	2.51754E-07
1275	2.40066E-07
1276	1.98255E-07
1277	1.30916E-07
1278	1.12118E-07
1279	7.47043E-08
1280	7.66518E-08
1281	3.62729E-08
1282	2.82059E-08
1283	3.4867E-08
1284	1.50369E-08
1285	2.25968E-08
1286	1.71222E-09
1287	2.10356E-08
1288	1.59245E-10
1289	1.28796E-08
1290	1.19433E-10
1291	6.97294E-09
1292	5.7884E-12
1293	3.58456E-09
1294	5.7884E-12
1295	1.71222E-09
1296	3.98107E-11
1297	5.7884E-12
1298	7.56471E-10
1299	0
1300	3.18497E-10
1301	0
1302	1.19433E-10
1303	0
1304	0
1305	7.96218E-11
1306	0
1307	0
1308	0
1309	0
1310	0
1311	0
1312	0
1313	0
1314	0
1315	0
1316	0
1317	0
1318	0
1319	0
1320	0
1321	0
1322	0
1323	0
1324	0
1325	0
1326	0
1327	0
1328	0
1329	0
1330	0
1331	0
1332	0
1333	0
1334	0
1335	0
1336	0
1337	0
1338	0
1339	0
1340	0
1341	0
1342	0
1343	0
1344	0
1345	0
1346	0
1347	0
1348	0
1349	0
1350	0
1351	0
1352	0
1353	0
1354	0
1355	0
1356	0
1357	0
1358	0
1359	0
1360	0
1361	0
1362	0
1363	0
1364	0
1365	0
1366	0
1367	0
1368	0
1369	0
1370	0
1371	0
1372	0
1373	0
1374	0
1375	0
1376	0
1377	0
1378	0
1379	0
1380	0
1381	0
1382	0
1383	0
1384	0
1385	0
1386	0
1387	0
1388	0
1389	0
1390	0
1391	0
1392	0
1393	0
1394	0
1395	0
1396	0
1397	0
1398	0
1399	0
1400	0
1401	0
1402	0
1403	0
1404	0
1405	0
1406	0
1407	0
1408	0
1409	0
1410	0
1411	0
1412	0
1413	0
1414	0
1415	0
1416	0
1417	0
1418	0
1419	0
1420	0
1421	0
1422	0
1423	0
1424	0
1425	0
1426	0
1427	0
1428	0
1429	0
1430	0
1431	0
1432	0
1433	0
1434	0
1435	0
1436	0
1437	0
1438	0
1439	0
1440	0
1441	0
1442	0
1443	0
1444	0
1445	0
1446	0
1447	0
1448	0
1449	0
1450	0
1451	0
