Wvlgth Global_tilted_irradiance
.2800E+03 .1025E-15
.2805E+03 .1191E-14
.2810E+03 .4407E-14
.2815E+03 .5141E-13
.2820E+03 .2239E-12
.2825E+03 .5705E-12
.2830E+03 .1607E-11
.2835E+03 .2415E-11
.2840E+03 .2393E-10
.2845E+03 .5250E-10
.2850E+03 .7634E-10
.2855E+03 .3435E-09
.2860E+03 .1297E-08
.2865E+03 .5083E-08
.2870E+03 .1384E-07
.2875E+03 .2742E-07
.2880E+03 .6863E-07
.2885E+03 .1978E-06
.2890E+03 .4773E-06
.2895E+03 .1242E-05
.2900E+03 .3000E-05
.2905E+03 .5397E-05
.2910E+03 .9476E-05
.2915E+03 .2133E-04
.2920E+03 .3944E-04
.2925E+03 .4885E-04
.2930E+03 .8898E-04
.2935E+03 .1726E-03
.2940E+03 .2300E-03
.2945E+03 .3813E-03
.2950E+03 .4925E-03
.2955E+03 .9563E-03
.2960E+03 .1480E-02
.2965E+03 .1672E-02
.2970E+03 .1907E-02
.2975E+03 .3998E-02
.2980E+03 .5146E-02
.2985E+03 .4441E-02
.2990E+03 .8461E-02
.2995E+03 .1101E-01
.3000E+03 .1061E-01
.3005E+03 .1348E-01
.3010E+03 .1980E-01
.3015E+03 .2578E-01
.3020E+03 .1998E-01
.3025E+03 .3428E-01
.3030E+03 .5270E-01
.3035E+03 .6045E-01
.3040E+03 .5366E-01
.3045E+03 .6936E-01
.3050E+03 .8655E-01
.3055E+03 .8791E-01
.3060E+03 .8126E-01
.3065E+03 .9392E-01
.3070E+03 .1187E+00
.3075E+03 .1422E+00
.3080E+03 .1462E+00
.3085E+03 .1598E+00
.3090E+03 .1376E+00
.3095E+03 .1414E+00
.3100E+03 .1351E+00
.3105E+03 .2134E+00
.3110E+03 .2569E+00
.3115E+03 .2433E+00
.3120E+03 .2225E+00
.3125E+03 .2552E+00
.3130E+03 .2683E+00
.3135E+03 .2676E+00
.3140E+03 .3116E+00
.3145E+03 .2519E+00
.3150E+03 .3254E+00
.3155E+03 .2842E+00
.3160E+03 .2304E+00
.3165E+03 .3104E+00
.3170E+03 .3853E+00
.3175E+03 .4078E+00
.3180E+03 .3046E+00
.3185E+03 .3501E+00
.3190E+03 .3998E+00
.3195E+03 .3459E+00
.3200E+03 .4214E+00
.3205E+03 .4881E+00
.3210E+03 .4057E+00
.3215E+03 .3860E+00
.3220E+03 .4421E+00
.3225E+03 .3828E+00
.3230E+03 .3632E+00
.3235E+03 .4172E+00
.3240E+03 .4822E+00
.3245E+03 .5005E+00
.3250E+03 .4517E+00
.3255E+03 .5657E+00
.3260E+03 .6583E+00
.3265E+03 .6401E+00
.3270E+03 .6442E+00
.3275E+03 .6302E+00
.3280E+03 .5833E+00
.3285E+03 .5844E+00
.3290E+03 .6746E+00
.3295E+03 .7570E+00
.3300E+03 .7696E+00
.3305E+03 .6325E+00
.3310E+03 .6501E+00
.3315E+03 .6469E+00
.3320E+03 .6786E+00
.3325E+03 .6623E+00
.3330E+03 .6649E+00
.3335E+03 .6143E+00
.3340E+03 .6310E+00
.3345E+03 .7103E+00
.3350E+03 .6808E+00
.3355E+03 .7613E+00
.3360E+03 .5264E+00
.3365E+03 .6257E+00
.3370E+03 .5181E+00
.3375E+03 .6463E+00
.3380E+03 .6186E+00
.3385E+03 .7076E+00
.3390E+03 .7003E+00
.3395E+03 .6727E+00
.3400E+03 .7963E+00
.3405E+03 .7378E+00
.3410E+03 .6943E+00
.3415E+03 .6379E+00
.3420E+03 .7619E+00
.3425E+03 .7127E+00
.3430E+03 .7832E+00
.3435E+03 .7369E+00
.3440E+03 .5618E+00
.3445E+03 .5485E+00
.3450E+03 .7266E+00
.3455E+03 .7415E+00
.3460E+03 .6298E+00
.3465E+03 .7127E+00
.3470E+03 .7644E+00
.3475E+03 .6176E+00
.3480E+03 .7040E+00
.3485E+03 .7035E+00
.3490E+03 .6522E+00
.3495E+03 .6452E+00
.3500E+03 .7974E+00
.3505E+03 .8405E+00
.3510E+03 .7503E+00
.3515E+03 .7286E+00
.3520E+03 .7824E+00
.3525E+03 .6102E+00
.3530E+03 .7679E+00
.3535E+03 .8203E+00
.3540E+03 .8508E+00
.3545E+03 .8630E+00
.3550E+03 .8602E+00
.3555E+03 .7769E+00
.3560E+03 .8128E+00
.3565E+03 .6939E+00
.3570E+03 .5734E+00
.3575E+03 .7019E+00
.3580E+03 .5562E+00
.3585E+03 .4753E+00
.3590E+03 .6648E+00
.3595E+03 .8473E+00
.3600E+03 .8980E+00
.3605E+03 .7175E+00
.3610E+03 .6536E+00
.3615E+03 .7515E+00
.3620E+03 .6489E+00
.3625E+03 .8969E+00
.3630E+03 .8046E+00
.3635E+03 .7404E+00
.3640E+03 .9047E+00
.3645E+03 .7728E+00
.3650E+03 .7867E+00
.3655E+03 .9869E+00
.3660E+03 .1045E+01
.3665E+03 .9808E+00
.3670E+03 .9546E+00
.3675E+03 .9900E+00
.3680E+03 .8656E+00
.3685E+03 .8732E+00
.3690E+03 .9428E+00
.3695E+03 .1005E+01
.3700E+03 .1071E+01
.3705E+03 .8309E+00
.3710E+03 .8875E+00
.3715E+03 .1110E+01
.3720E+03 .7366E+00
.3725E+03 .8829E+00
.3730E+03 .8976E+00
.3735E+03 .5838E+00
.3740E+03 .8480E+00
.3745E+03 .7019E+00
.3750E+03 .6822E+00
.3755E+03 .1018E+01
.3760E+03 .8440E+00
.3765E+03 .8746E+00
.3770E+03 .9256E+00
.3775E+03 .1083E+01
.3780E+03 .1174E+01
.3785E+03 .1109E+01
.3790E+03 .9155E+00
.3795E+03 .8363E+00
.3800E+03 .8693E+00
.3805E+03 .1052E+01
.3810E+03 .1054E+01
.3815E+03 .8345E+00
.3820E+03 .7404E+00
.3825E+03 .6306E+00
.3830E+03 .5834E+00
.3835E+03 .5616E+00
.3840E+03 .6192E+00
.3845E+03 .9104E+00
.3850E+03 .9026E+00
.3855E+03 .8403E+00
.3860E+03 .7194E+00
.3865E+03 .9446E+00
.3870E+03 .7848E+00
.3875E+03 .8814E+00
.3880E+03 .8135E+00
.3885E+03 .8039E+00
.3890E+03 .8676E+00
.3895E+03 .1050E+01
.3900E+03 .1054E+01
.3905E+03 .9696E+00
.3910E+03 .1141E+01
.3915E+03 .1163E+01
.3920E+03 .9797E+00
.3925E+03 .8767E+00
.3930E+03 .4876E+00
.3935E+03 .3543E+00
.3940E+03 .7208E+00
.3945E+03 .9161E+00
.3950E+03 .1118E+01
.3955E+03 .1135E+01
.3960E+03 .9840E+00
.3965E+03 .5749E+00
.3970E+03 .4313E+00
.3975E+03 .8769E+00
.3980E+03 .1228E+01
.3985E+03 .1269E+01
.3990E+03 .1373E+01
.3995E+03 .1368E+01
.4000E+03 .1421E+01
