Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.2800E+03 .7354E-26 .1729E-19 .1729E-19 .5486E-26 .8945E-20 .8945E-20
.2805E+03 .3370E-24 .4736E-18 .4736E-18 .2514E-24 .2450E-18 .2450E-18
.2810E+03 .1930E-23 .2220E-17 .2220E-17 .1439E-23 .1148E-17 .1148E-17
.2815E+03 .9207E-22 .1973E-18 .1973E-18 .6868E-22 .1020E-18 .1021E-18
.2820E+03 .9839E-21 .8202E-18 .8209E-18 .7339E-21 .4243E-18 .4250E-18
.2825E+03 .4715E-20 .2412E-17 .2415E-17 .3517E-20 .1248E-17 .1251E-17
.2830E+03 .2468E-19 .7893E-17 .7909E-17 .1841E-19 .4083E-17 .4101E-17
.2835E+03 .5400E-19 .1381E-16 .1384E-16 .4028E-19 .7143E-17 .7183E-17
.2840E+03 .1966E-17 .2070E-15 .2083E-15 .1466E-17 .1071E-15 .1085E-15
.2845E+03 .8767E-17 .6330E-15 .6389E-15 .6539E-17 .3275E-15 .3341E-15
.2850E+03 .3763E-16 .1936E-14 .1961E-14 .2807E-16 .1002E-14 .1030E-14
.2855E+03 .2795E-15 .9369E-14 .9555E-14 .2085E-15 .4849E-14 .5058E-14
.2860E+03 .1034E-14 .2898E-13 .2967E-13 .7709E-15 .1500E-13 .1577E-13
.2865E+03 .8374E-14 .1660E-12 .1716E-12 .6246E-14 .8595E-13 .9220E-13
.2870E+03 .3366E-13 .5168E-12 .5393E-12 .2511E-13 .2677E-12 .2928E-12
.2875E+03 .1749E-12 .1946E-11 .2062E-11 .1304E-12 .1008E-11 .1139E-11
.2880E+03 .1391E-11 .1041E-10 .1134E-10 .1038E-11 .5399E-11 .6437E-11
.2885E+03 .4580E-11 .2135E-10 .2440E-10 .3416E-11 .1109E-10 .1451E-10
.2890E+03 .1803E-10 .7431E-10 .8632E-10 .1345E-10 .3864E-10 .5209E-10
.2895E+03 .8093E-10 .2934E-09 .3473E-09 .6036E-10 .1527E-09 .2130E-09
.2900E+03 .2758E-09 .9004E-09 .1084E-08 .2057E-09 .4687E-09 .6744E-09
.2905E+03 .7235E-09 .2162E-08 .2644E-08 .5396E-09 .1126E-08 .1666E-08
.2910E+03 .2157E-08 .5840E-08 .7277E-08 .1609E-08 .3044E-08 .4654E-08
.2915E+03 .8176E-08 .1973E-07 .2517E-07 .6098E-08 .1029E-07 .1639E-07
.2920E+03 .2356E-07 .5178E-07 .6747E-07 .1758E-07 .2704E-07 .4462E-07
.2925E+03 .4108E-07 .8772E-07 .1151E-06 .3064E-07 .4582E-07 .7647E-07
.2930E+03 .9317E-07 .1944E-06 .2565E-06 .6950E-07 .1016E-06 .1711E-06
.2935E+03 .2836E-06 .5885E-06 .7774E-06 .2116E-06 .3075E-06 .5191E-06
.2940E+03 .5765E-06 .1204E-05 .1588E-05 .4300E-06 .6293E-06 .1059E-05
.2945E+03 .9820E-06 .1758E-05 .2412E-05 .7325E-06 .9200E-06 .1653E-05
.2950E+03 .2006E-05 .3742E-05 .5078E-05 .1496E-05 .1958E-05 .3454E-05
.2955E+03 .5064E-05 .1035E-04 .1372E-04 .3777E-05 .5409E-05 .9186E-05
.2960E+03 .9396E-05 .1482E-04 .2108E-04 .7008E-05 .7771E-05 .1478E-04
.2965E+03 .1500E-04 .2341E-04 .3340E-04 .1119E-04 .1227E-04 .2346E-04
.2970E+03 .2150E-04 .3335E-04 .4767E-04 .1603E-04 .1749E-04 .3352E-04
.2975E+03 .4444E-04 .6922E-04 .9882E-04 .3315E-04 .3629E-04 .6944E-04
.2980E+03 .7343E-04 .1154E-03 .1643E-03 .5477E-04 .6050E-04 .1153E-03
.2985E+03 .9471E-04 .1503E-03 .2133E-03 .7064E-04 .7877E-04 .1494E-03
.2990E+03 .1356E-03 .2180E-03 .3083E-03 .1011E-03 .1142E-03 .2154E-03
.2995E+03 .2518E-03 .4214E-03 .5891E-03 .1878E-03 .2207E-03 .4085E-03
.3000E+03 .3085E-03 .5281E-03 .7336E-03 .2301E-03 .2765E-03 .5066E-03
.3005E+03 .3884E-03 .6833E-03 .9420E-03 .2897E-03 .3577E-03 .6474E-03
.3010E+03 .6284E-03 .1170E-02 .1589E-02 .4687E-03 .6122E-03 .1081E-02
.3015E+03 .9072E-03 .1788E-02 .2392E-02 .6767E-03 .9349E-03 .1612E-02
.3020E+03 .1004E-02 .2030E-02 .2698E-02 .7488E-03 .1061E-02 .1810E-02
.3025E+03 .1517E-02 .3028E-02 .4038E-02 .1131E-02 .1583E-02 .2714E-02
.3030E+03 .2599E-02 .4945E-02 .6676E-02 .1938E-02 .2587E-02 .4525E-02
.3035E+03 .3355E-02 .6184E-02 .8419E-02 .2502E-02 .3236E-02 .5738E-02
.3040E+03 .3564E-02 .6485E-02 .8859E-02 .2659E-02 .3394E-02 .6053E-02
.3045E+03 .4540E-02 .8221E-02 .1124E-01 .3386E-02 .4304E-02 .7690E-02
.3050E+03 .6300E-02 .1144E-01 .1563E-01 .4699E-02 .5987E-02 .1069E-01
.3055E+03 .7203E-02 .1307E-01 .1787E-01 .5373E-02 .6842E-02 .1221E-01
.3060E+03 .7185E-02 .1295E-01 .1774E-01 .5359E-02 .6783E-02 .1214E-01
.3065E+03 .8203E-02 .1475E-01 .2021E-01 .6119E-02 .7722E-02 .1384E-01
.3070E+03 .1085E-01 .1967E-01 .2690E-01 .8093E-02 .1030E-01 .1840E-01
.3075E+03 .1390E-01 .2546E-01 .3472E-01 .1037E-01 .1333E-01 .2370E-01
.3080E+03 .1482E-01 .2697E-01 .3684E-01 .1105E-01 .1412E-01 .2518E-01
.3085E+03 .1627E-01 .2963E-01 .4047E-01 .1214E-01 .1552E-01 .2765E-01
.3090E+03 .1596E-01 .3318E-01 .4381E-01 .1191E-01 .1735E-01 .2926E-01
.3095E+03 .1700E-01 .3375E-01 .4508E-01 .1268E-01 .1766E-01 .3034E-01
.3100E+03 .2001E-01 .3881E-01 .5214E-01 .1493E-01 .2031E-01 .3524E-01
.3105E+03 .2582E-01 .4927E-01 .6647E-01 .1926E-01 .2580E-01 .4506E-01
.3110E+03 .3270E-01 .6126E-01 .8304E-01 .2439E-01 .3208E-01 .5648E-01
