Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Beam_normal_+circumsolar Global_horizn_irradiance Global_tilted_irradiance Zonal_ground_reflectance
.2800E+03 .8200E-01 .6773E-18 .6832E-18 .8497E-18 .9418E-18 .4586E-01
.2805E+03 .9900E-01 .9615E-17 .9697E-17 .1161E-16 .1295E-16 .4565E-01
.2810E+03 .1500E+00 .3864E-16 .3897E-16 .4566E-16 .5114E-16 .4552E-01
.2815E+03 .2120E+00 .5898E-15 .5948E-15 .6748E-15 .7603E-15 .4533E-01
.2820E+03 .2670E+00 .3333E-14 .3360E-14 .3728E-14 .4217E-14 .4519E-01
.2825E+03 .3030E+00 .1037E-13 .1046E-13 .1140E-13 .1294E-13 .4508E-01
.2830E+03 .3250E+00 .3367E-13 .3394E-13 .3636E-13 .4141E-13 .4497E-01
.2835E+03 .3230E+00 .5787E-13 .5834E-13 .6176E-13 .7050E-13 .4489E-01
.2840E+03 .2990E+00 .6288E-12 .6339E-12 .8401E-12 .9214E-12 .4619E-01
.2845E+03 .2502E+00 .1708E-11 .1722E-11 .2304E-11 .2523E-11 .4623E-01
.2850E+03 .1759E+00 .4163E-11 .4196E-11 .5692E-11 .6220E-11 .4630E-01
.2855E+03 .1550E+00 .1575E-10 .1588E-10 .2207E-10 .2403E-10 .4642E-01
.2860E+03 .2420E+00 .4523E-10 .4559E-10 .6337E-10 .6898E-10 .4642E-01
.2865E+03 .3330E+00 .2083E-09 .2100E-09 .2989E-09 .3241E-09 .4653E-01
.2870E+03 .3620E+00 .5584E-09 .5627E-09 .8141E-09 .8808E-09 .4661E-01
.2875E+03 .3390E+00 .1676E-08 .1689E-08 .2132E-08 .2358E-08 .4592E-01
.2880E+03 .3110E+00 .6719E-08 .6770E-08 .8779E-08 .9663E-08 .4606E-01
.2885E+03 .3250E+00 .1565E-07 .1577E-07 .2061E-07 .2265E-07 .4610E-01
.2890E+03 .3920E+00 .4245E-07 .4277E-07 .5649E-07 .6200E-07 .4615E-01
.2895E+03 .4790E+00 .1273E-06 .1283E-06 .1727E-06 .1889E-06 .4625E-01
.2900E+03 .5630E+00 .3098E-06 .3121E-06 .4260E-06 .4651E-06 .4632E-01
.2905E+03 .6060E+00 .6185E-06 .6230E-06 .8595E-06 .9368E-06 .4637E-01
.2910E+03 .6180E+00 .1318E-05 .1328E-05 .1759E-05 .1930E-05 .4616E-01
.2915E+03 .5980E+00 .3222E-05 .3245E-05 .4317E-05 .4732E-05 .4618E-01
.2920E+03 .5670E+00 .6526E-05 .6572E-05 .8732E-05 .9574E-05 .4617E-01
.2925E+03 .5290E+00 .9425E-05 .9492E-05 .1242E-04 .1365E-04 .4609E-01
.2930E+03 .5380E+00 .1658E-04 .1669E-04 .2160E-04 .2379E-04 .4603E-01
.2935E+03 .5490E+00 .3562E-04 .3587E-04 .4632E-04 .5103E-04 .4602E-01
.2940E+03 .5330E+00 .5787E-04 .5827E-04 .7418E-04 .8192E-04 .4594E-01
.2945E+03 .5200E+00 .8304E-04 .8361E-04 .1192E-03 .1293E-03 .4652E-01
.2950E+03 .5270E+00 .1358E-03 .1367E-03 .1735E-03 .1917E-03 .4592E-01
.2955E+03 .5590E+00 .2597E-03 .2615E-03 .3388E-03 .3731E-03 .4603E-01
.2960E+03 .5730E+00 .4026E-03 .4053E-03 .5330E-03 .5855E-03 .4611E-01
.2965E+03 .5210E+00 .5409E-03 .5446E-03 .7274E-03 .7970E-03 .4619E-01
.2970E+03 .4780E+00 .6748E-03 .6793E-03 .9188E-03 .1005E-02 .4625E-01
.2975E+03 .5290E+00 .1147E-02 .1154E-02 .1594E-02 .1737E-02 .4635E-01
.2980E+03 .5280E+00 .1622E-02 .1633E-02 .2297E-02 .2496E-02 .4644E-01
.2985E+03 .4680E+00 .1866E-02 .1879E-02 .2679E-02 .2905E-02 .4651E-01
.2990E+03 .4720E+00 .2397E-02 .2413E-02 .3488E-02 .3774E-02 .4657E-01
.2995E+03 .5010E+00 .3711E-02 .3734E-02 .5540E-02 .5973E-02 .4669E-01
.3000E+03 .4579E+00 .4275E-02 .4302E-02 .6483E-02 .6973E-02 .4676E-01
.3005E+03 .4330E+00 .4907E-02 .4938E-02 .7543E-02 .8097E-02 .4682E-01
