Wvlgth Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Zonal_ground_reflectance
.2800E+03 .3821E-19 .2552E-25 .4155E-19 .2000E+00
.2805E+03 .9920E-18 .1098E-23 .1079E-17 .2000E+00
.2810E+03 .4567E-17 .6156E-23 .4967E-17 .2000E+00
.2815E+03 .2873E-18 .2762E-21 .3122E-18 .2000E+00
.2820E+03 .1326E-17 .2847E-20 .1440E-17 .2000E+00
.2825E+03 .3983E-17 .1332E-19 .4317E-17 .2000E+00
.2830E+03 .1311E-16 .6787E-19 .1419E-16 .2000E+00
.2835E+03 .2295E-16 .1466E-18 .2480E-16 .2000E+00
.2840E+03 .3381E-15 .5002E-17 .3624E-15 .2000E+00
.2845E+03 .1025E-14 .2169E-16 .1091E-14 .2000E+00
.2850E+03 .3109E-14 .9024E-16 .3284E-14 .2000E+00
.2855E+03 .1489E-13 .6458E-15 .1550E-13 .2000E+00
.2860E+03 .4599E-13 .2355E-14 .4749E-13 .2000E+00
.2865E+03 .2627E-12 .1850E-13 .2658E-12 .2000E+00
.2870E+03 .8203E-12 .7268E-13 .8140E-12 .2000E+00
.2875E+03 .3122E-11 .3668E-12 .3001E-11 .2000E+00
.2880E+03 .1324E-10 .2811E-11 .1138E-10 .2000E+00
.2885E+03 .3898E-10 .9077E-11 .3263E-10 .2000E+00
.2890E+03 .1374E-09 .3502E-10 .1118E-09 .2000E+00
.2895E+03 .5513E-09 .1538E-09 .4341E-09 .2000E+00
.2900E+03 .1718E-08 .5150E-09 .1314E-08 .2000E+00
.2905E+03 .4186E-08 .1331E-08 .3121E-08 .2000E+00
.2910E+03 .1150E-07 .3898E-08 .8313E-08 .2000E+00
.2915E+03 .3964E-07 .1443E-07 .2759E-07 .2000E+00
.2920E+03 .1067E-06 .4080E-07 .7212E-07 .2000E+00
.2925E+03 .1813E-06 .7042E-07 .1214E-06 .2000E+00
.2930E+03 .4012E-06 .1576E-06 .2667E-06 .2000E+00
.2935E+03 .1199E-05 .4710E-06 .7974E-06 .2000E+00
.2940E+03 .2424E-05 .9454E-06 .1619E-05 .2000E+00
.2945E+03 .3510E-05 .1596E-05 .2100E-05 .2000E+00
.2950E+03 .7278E-05 .3224E-05 .4447E-05 .2000E+00
.2955E+03 .1917E-04 .8018E-05 .1222E-04 .2000E+00
.2960E+03 .3022E-04 .1473E-04 .1702E-04 .2000E+00
.2965E+03 .4763E-04 .2330E-04 .2673E-04 .2000E+00
.2970E+03 .6769E-04 .3316E-04 .3793E-04 .2000E+00
.2975E+03 .1391E-03 .6786E-04 .7821E-04 .2000E+00
.2980E+03 .2292E-03 .1112E-03 .1296E-03 .2000E+00
.2985E+03 .2958E-03 .1426E-03 .1683E-03 .2000E+00
.2990E+03 .4247E-03 .2030E-03 .2433E-03 .2000E+00
.2995E+03 .7996E-03 .3735E-03 .4675E-03 .2000E+00
.3000E+03 .9880E-03 .4556E-03 .5841E-03 .2000E+00
.3005E+03 .1259E-02 .5712E-03 .7539E-03 .2000E+00
.3010E+03 .2091E-02 .9179E-03 .1286E-02 .2000E+00
.3015E+03 .3105E-02 .1318E-02 .1958E-02 .2000E+00
.3020E+03 .3479E-02 .1454E-02 .2218E-02 .2000E+00
.3025E+03 .5128E-02 .2187E-02 .3222E-02 .2000E+00
.3030E+03 .8520E-02 .3727E-02 .5253E-02 .2000E+00
.3035E+03 .1080E-01 .4796E-02 .6585E-02 .2000E+00
.3040E+03 .1141E-01 .5088E-02 .6927E-02 .2000E+00
.3045E+03 .1445E-01 .6456E-02 .8765E-02 .2000E+00
.3050E+03 .2001E-01 .8918E-02 .1216E-01 .2000E+00
.3055E+03 .2283E-01 .1017E-01 .1388E-01 .2000E+00
.3060E+03 .2268E-01 .1013E-01 .1376E-01 .2000E+00
.3065E+03 .2582E-01 .1155E-01 .1564E-01 .2000E+00
.3070E+03 .3422E-01 .1522E-01 .2083E-01 .2000E+00
.3075E+03 .4398E-01 .1943E-01 .2690E-01 .2000E+00
.3080E+03 .4671E-01 .2071E-01 .2850E-01 .2000E+00
.3085E+03 .5124E-01 .2271E-01 .3127E-01 .2000E+00
.3090E+03 .5382E-01 .2225E-01 .3456E-01 .2000E+00
.3095E+03 .5576E-01 .2363E-01 .3520E-01 .2000E+00
.3100E+03 .6473E-01 .2777E-01 .4049E-01 .2000E+00
.3105E+03 .8273E-01 .3581E-01 .5141E-01 .2000E+00
.3110E+03 .1037E+00 .4530E-01 .6394E-01 .2000E+00
.3115E+03 .1046E+00 .4606E-01 .6420E-01 .2000E+00
.3120E+03 .1141E+00 .5080E-01 .6937E-01 .2000E+00
.3125E+03 .1196E+00 .5366E-01 .7225E-01 .2000E+00
.3130E+03 .1289E+00 .5820E-01 .7749E-01 .2000E+00
.3135E+03 .1298E+00 .5888E-01 .7770E-01 .2000E+00
.3140E+03 .1426E+00 .6513E-01 .8494E-01 .2000E+00
.3145E+03 .1533E+00 .7033E-01 .9098E-01 .2000E+00
.3150E+03 .1595E+00 .7353E-01 .9428E-01 .2000E+00
.3155E+03 .1395E+00 .6470E-01 .8199E-01 .2000E+00
.3160E+03 .1439E+00 .6695E-01 .8435E-01 .2000E+00
.3165E+03 .1736E+00 .8095E-01 .1016E+00 .2000E+00
.3170E+03 .1980E+00 .9282E-01 .1153E+00 .2000E+00
.3175E+03 .2109E+00 .9950E-01 .1222E+00 .2000E+00
.3180E+03 .2022E+00 .9561E-01 .1169E+00 .2000E+00
.3185E+03 .2114E+00 .9984E-01 .1223E+00 .2000E+00
.3190E+03 .2316E+00 .1095E+00 .1339E+00 .2000E+00
.3195E+03 .2232E+00 .1067E+00 .1277E+00 .2000E+00
.3200E+03 .2340E+00 .1125E+00 .1332E+00 .2000E+00
.3205E+03 .2768E+00 .1328E+00 .1580E+00 .2000E+00
.3210E+03 .2801E+00 .1339E+00 .1604E+00 .2000E+00
.3215E+03 .2666E+00 .1279E+00 .1521E+00 .2000E+00
.3220E+03 .2501E+00 .1217E+00 .1409E+00 .2000E+00
.3225E+03 .2443E+00 .1194E+00 .1370E+00 .2000E+00
.3230E+03 .2375E+00 .1160E+00 .1333E+00 .2000E+00
.3235E+03 .2800E+00 .1336E+00 .1605E+00 .2000E+00
.3240E+03 .3094E+00 .1482E+00 .1768E+00 .2000E+00
.3245E+03 .3195E+00 .1543E+00 .1811E+00 .2000E+00
.3250E+03 .3111E+00 .1547E+00 .1717E+00 .2000E+00
.3255E+03 .3602E+00 .1790E+00 .1989E+00 .2000E+00
.3260E+03 .4268E+00 .2082E+00 .2397E+00 .2000E+00
.3265E+03 .4534E+00 .2211E+00 .2548E+00 .2000E+00
.3270E+03 .4437E+00 .2179E+00 .2478E+00 .2000E+00
.3275E+03 .4295E+00 .2124E+00 .2383E+00 .2000E+00
.3280E+03 .3948E+00 .1973E+00 .2168E+00 .2000E+00
.3285E+03 .4139E+00 .2063E+00 .2279E+00 .2000E+00
.3290E+03 .4675E+00 .2325E+00 .2579E+00 .2000E+00
.3295E+03 .5178E+00 .2581E+00 .2850E+00 .2000E+00
.3300E+03 .5210E+00 .2614E+00 .2850E+00 .2000E+00
.3305E+03 .4748E+00 .2405E+00 .2571E+00 .2000E+00
.3310E+03 .4471E+00 .2279E+00 .2406E+00 .2000E+00
.3315E+03 .4624E+00 .2358E+00 .2487E+00 .2000E+00
.3320E+03 .4803E+00 .2446E+00 .2588E+00 .2000E+00
.3325E+03 .4825E+00 .2460E+00 .2596E+00 .2000E+00
.3330E+03 .4719E+00 .2421E+00 .2523E+00 .2000E+00
.3335E+03 .4485E+00 .2322E+00 .2375E+00 .2000E+00
.3340E+03 .4570E+00 .2377E+00 .2408E+00 .2000E+00
.3345E+03 .4883E+00 .2538E+00 .2575E+00 .2000E+00
.3350E+03 .5078E+00 .2642E+00 .2675E+00 .2000E+00
.3355E+03 .5083E+00 .2584E+00 .2743E+00 .2000E+00
.3360E+03 .4657E+00 .2376E+00 .2503E+00 .2000E+00
.3365E+03 .4180E+00 .2205E+00 .2169E+00 .2000E+00
.3370E+03 .4091E+00 .2172E+00 .2108E+00 .2000E+00
.3375E+03 .4383E+00 .2338E+00 .2246E+00 .2000E+00
.3380E+03 .4738E+00 .2527E+00 .2429E+00 .2000E+00
.3385E+03 .5053E+00 .2649E+00 .2640E+00 .2000E+00
.3390E+03 .5109E+00 .2704E+00 .2642E+00 .2000E+00
.3395E+03 .5250E+00 .2779E+00 .2714E+00 .2000E+00
.3400E+03 .5463E+00 .2960E+00 .2750E+00 .2000E+00
.3405E+03 .5447E+00 .2961E+00 .2731E+00 .2000E+00
.3410E+03 .5191E+00 .2787E+00 .2641E+00 .2000E+00
.3415E+03 .5113E+00 .2779E+00 .2565E+00 .2000E+00
.3420E+03 .5316E+00 .2906E+00 .2648E+00 .2000E+00
.3425E+03 .5500E+00 .3023E+00 .2722E+00 .2000E+00
.3430E+03 .5606E+00 .3079E+00 .2777E+00 .2000E+00
.3435E+03 .5312E+00 .2918E+00 .2630E+00 .2000E+00
.3440E+03 .4533E+00 .2530E+00 .2203E+00 .2000E+00
.3445E+03 .4441E+00 .2439E+00 .2200E+00 .2000E+00
