wvl_nm	xsec_223K
296.5	1.638E-18
297	3.8908E-18
297.5	2.7238E-18
298	1.6795E-18
298.5	1.0236E-18
299	3.2292E-18
299.5	3.6189E-18
300	2.1262E-18
300.5	1.7205E-18
301	3.0707E-18
301.5	3.5282E-18
302	4.0517E-18
302.5	2.0391E-18
303	1.2881E-18
303.5	1.6893E-18
304	3.239E-18
304.5	5.867E-18
305	3.3657E-18
305.5	1.5587E-18
306	1.9879E-18
306.5	2.1132E-18
307	5.0169E-18
307.5	7.403E-18
308	4.1766E-18
308.5	2.214E-18
309	1.6438E-18
309.5	1.453E-18
310	4.6338E-18
310.5	8.81E-18
311	5.1559E-18
311.5	3.485E-18
312	1.6401E-18
312.5	9.6498E-19
313	1.5542E-18
313.5	9.1883E-18
314	8.2205E-18
314.5	5.2935E-18
315	2.9421E-18
315.5	1.9344E-18
316	1.3231E-18
316.5	8.8482E-19
317	1.0348E-17
317.5	1.0196E-17
318	5.5436E-18
318.5	2.9613E-18
319	2.1872E-18
319.5	1.9019E-18
320	2.1094E-18
320.5	2.8543E-18
321	1.4722E-17
321.5	1.0114E-17
322	4.9927E-18
322.5	2.6343E-18
323	2.0681E-18
323.5	2.2221E-18
324	2.5777E-18
324.5	4.7333E-18
325	1.2255E-17
325.5	1.246E-17
326	6.6728E-18
326.5	3.2046E-18
327	1.8079E-18
327.5	1.6078E-18
328	1.7507E-18
328.5	4.0279E-18
329	1.0148E-17
329.5	1.3264E-17
330	9.236E-18
330.5	5.5254E-18
331	3.2049E-18
331.5	2.2066E-18
332	1.4071E-18
332.5	1.2025E-18
333	3.3803E-18
333.5	1.2708E-17
334	1.2601E-17
334.5	8.2031E-18
335	5.1762E-18
335.5	3.3063E-18
336	2.4221E-18
336.5	1.9913E-18
337	1.713E-18
337.5	1.4926E-18
338	1.7544E-18
338.5	1.7522E-17
339	1.106E-17
339.5	5.1385E-18
340	2.8166E-18
340.5	1.9903E-18
341	1.6735E-18
341.5	1.7454E-18
342	2.0929E-18
342.5	2.9609E-18
343	4.6417E-18
343.5	8.1543E-18
344	9.904E-18
344.5	7.1332E-18
345	4.0356E-18
345.5	2.2962E-18
346	1.4164E-18
346.5	1.0145E-18
347	1.0936E-18
347.5	1.4571E-18
348	3.0525E-18
348.5	6.5474E-18
349	7.7646E-18
349.5	6.0203E-18
350	4.0845E-18
350.5	2.8068E-18
351	2.0288E-18
351.5	1.6246E-18
352	1.4417E-18
352.5	1.3713E-18
353	1.3775E-18
353.5	1.4833E-18
354	1.8127E-18
354.5	4.5786E-18
355	8.2948E-18
355.5	4.0156E-18
356	1.8735E-18
356.5	9.9727E-19
357	7.6889E-19
357.5	7.6862E-19
358	8.9303E-19
358.5	1.0552E-18
359	1.4238E-18
359.5	1.9514E-18
360	2.4646E-18
360.5	2.7732E-18
361	2.4461E-18
361.5	1.8935E-18
362	1.5488E-18
362.5	1.1721E-18
363	1.0117E-18
363.5	8.5077E-19
364	8.6003E-19
364.5	9.4345E-19
365	7.8714E-19
365.5	9.0034E-19
366	8.1497E-19
366.5	1.016E-18
367	1.2408E-18
367.5	1.4127E-18
368	1.4484E-18
368.5	1.2265E-18
369	9.3315E-19
369.5	8.2834E-19
370	6.8203E-19
370.5	5.6776E-19
371	4.9656E-19
371.5	4.2753E-19
372	4.623E-19
372.5	4.4168E-19
373	3.4166E-19
373.5	3.7716E-19
374	5.9222E-19
374.5	7.837E-19
375	7.136E-19
375.5	5.0328E-19
376	3.1835E-19
376.5	3.2062E-19
377	3.1929E-19
377.5	2.7912E-19
378	3.1621E-19
378.5	1.6857E-19
379	2.0782E-19
379.5	1.9345E-19
380	2.3151E-19
380.5	2.2846E-19
381	3.1719E-19
381.5	4.0012E-19
382	2.0135E-19
382.5	2.1223E-19
383	2.5863E-19
383.5	3.1287E-19
384	2.5438E-19
384.5	1.216E-19
