wvl_nm	xsec_293K	a(T)
280	2.4987E-20	0
280.5	1.5124E-20	0
281	1.5816E-20	0
281.5	1.399E-20	0
282	1.0055E-20	0
282.5	7.5052E-21	0
283	6.9612E-21	0
283.5	1.1702E-20	0
284	4.0486E-20	0
284.5	5.2584E-20	0
285	4.3582E-20	0
285.5	2.866E-20	0
286	2.2414E-20	0
286.5	1.7096E-20	0
287	1.1217E-20	0
287.5	1.386E-20	0
288	2.9075E-20	0
288.5	4.2328E-20	0
289	3.62E-20	0
289.5	1.9998E-20	0
290	1.0227E-20	0
290.5	1.4283E-20	0
291	2.0382E-20	0
291.5	1.4988E-20	0
292	8.1017E-21	0
292.5	5.9024E-21	0
293	1.3785E-20	0
293.5	6.8353E-20	0
294	7.9681E-20	0
294.5	5.6136E-20	0
295	4.311E-20	0
295.5	3.522E-20	0
296	2.6056E-20	0
296.5	1.733E-20	0
297	1.1711E-20	0
297.5	1.8266E-20	0
298	4.1414E-20	0
298.5	4.7222E-20	0
299	3.5698E-20	0
299.5	1.9485E-20	0
300	9.7065E-21	0
300.5	5.5801E-21	0
301	1.797E-20	0
301.5	2.074E-20	-8.00E-24
302	1.1454E-20	-1.65E-23
302.5	6.3116E-21	-2.58E-23
303	2.1927E-20	-3.50E-23
303.5	6.2627E-20	-4.40E-23
304	8.239E-20	-4.49E-23
304.5	6.6023E-20	-3.70E-23
305	4.5371E-20	-2.90E-23
305.5	5.9816E-20	-2.16E-23
306	5.234E-20	-1.39E-23
306.5	3.3318E-20	-9.90E-24
307	2.143E-20	-9.10E-24
307.5	1.3458E-20	-8.60E-24
308	1.008E-20	-8.00E-24
308.5	2.9683E-20	-7.80E-24
309	3.9345E-20	-4.20E-24
309.5	3.3971E-20	2.50E-24
310	2.1761E-20	8.70E-24
310.5	1.1166E-20	1.49E-23
311	5.5078E-21	2.15E-23
311.5	4.553E-21	1.84E-23
312	1.2609E-20	6.50E-24
312.5	1.447E-20	-5.00E-24
313	9.3443E-21	-1.75E-23
313.5	1.2488E-20	-3.00E-23
314	5.0778E-20	-3.45E-23
314.5	7.6624E-20	-3.20E-23
315	6.2177E-20	-2.95E-23
315.5	4.4995E-20	-2.70E-23
316	2.8906E-20	-2.42E-23
316.5	3.1562E-20	-2.02E-23
317	6.8968E-20	-1.49E-23
317.5	5.389E-20	-9.00E-24
318	3.6111E-20	-3.40E-24
318.5	1.9737E-20	2.20E-24
319	1.0143E-20	3.10E-24
319.5	4.9892E-21	-1.00E-24
320	1.044E-20	-5.00E-24
320.5	1.6807E-20	-9.10E-24
321	1.6202E-20	-1.38E-23
321.5	1.2439E-20	-1.40E-23
322	7.0493E-21	-1.06E-23
322.5	2.7703E-21	-7.10E-24
323	1.4327E-21	-4.00E-24
323.5	4.3385E-21	-5.00E-25
324	8.0322E-21	-7.90E-24
324.5	6.5366E-21	-2.60E-23
325	7.8459E-21	-4.37E-23
325.5	3.4934E-20	-6.15E-23
326	7.129E-20	-7.90E-23
326.5	6.5257E-20	-8.13E-23
327	4.6783E-20	-6.80E-23
327.5	2.6036E-20	-5.49E-23
328	1.3403E-20	-4.20E-23
328.5	6.0542E-21	-2.86E-23
329	2.7859E-20	-2.11E-23
329.5	5.0607E-20	-2.00E-23
330	4.0834E-20	-1.89E-23
330.5	2.6798E-20	-1.75E-23
331	1.4293E-20	-1.61E-23
331.5	6.2653E-21	-1.35E-23
332	2.4417E-21	-9.50E-24
332.5	1.3093E-21	-5.70E-24
333	1.1478E-21	-1.80E-24
333.5	2.6378E-22	2.40E-24
334	9.7219E-22	4.00E-24
334.5	1.1863E-21	3.10E-24
335	4.9012E-22	2.50E-24
335.5	5.04810E-22	1.80E-24
336	4.6522E-22	1.00E-24
336.5	1.6872E-21	-8.20E-24
337	3.0572E-21	-2.68E-23
337.5	2.7289E-21	-4.45E-23
338	1.1088E-20	-6.25E-23
338.5	3.9834E-20	-8.02E-23
339	5.9247E-20	-7.84E-23
339.5	4.7638E-20	-5.70E-23
340	3.2827E-20	-3.60E-23
340.5	2.011E-20	-1.38E-23
341	1.0528E-20	7.00E-24
341.5	4.4038E-21	1.44E-23
342	2.9188E-21	5.50E-24
342.5	9.5039E-21	-3.60E-24
343	2.0541E-20	-1.24E-23
343.5	1.9497E-20	-2.15E-23
344	1.4453E-20	-2.20E-23
344.5	7.5584E-21	-1.50E-23
345	3.4025E-21	-8.00E-24
345.5	1.3781E-21	-1.00E-24
346	3.8462E-22	6.20E-24
346.5	1.3888E-22	9.00E-24
347	8.9909E-22	8.00E-24
347.5	7.9784E-22	7.00E-24
348	9.4436E-22	6.00E-24
348.5	5.4179E-22	5.00E-24
349	1.4109E-22	5.00E-24
349.5	1.2962E-22	6.00E-24
350	1.5581E-22	7.00E-24
350.5	2.7758E-22	8.00E-24
351	1.9762E-22	9.00E-24
351.5	2.9285E-22	4.90E-24
352	3.797E-21	-5.00E-24
352.5	1.4524E-20	-1.50E-23
353	2.4693E-20	-2.50E-23
353.5	2.2717E-20	-3.50E-23
354	1.7475E-20	-3.45E-23
354.5	1.1935E-20	-2.90E-23
355	7.3532E-21	-1.35E-23
355.5	3.4277E-21	-3.00E-24
356	1.6311E-21	2.90E-24
356.5	7.4379E-22	0
357	3.9792E-22	0
357.5	2.8928E-22	0
358	2.2332E-22	0
358.5	1.7141E-22	0
359	1.3257E-22	0
359.5	1.0708E-22	0
360	9.3098E-23	0
360.5	9.7622E-23	0
361	7.6999E-23	0
361.5	1.2649E-22	0
362	2.1548E-22	0
362.5	2.1886E-22	0
363	1.3319E-22	0
363.5	9.966E-23	0
364	9.4063E-23	0
364.5	9.2123E-23	0
365	8.6065E-23	0
365.5	8.4971E-23	0
366	8.4379E-23	0
366.5	8.6719E-23	0
367	9.0201E-23	0
367.5	1.0479E-22	0
368	1.4729E-22	0
368.5	2.1125E-22	0
369	2.7397E-22	0
369.5	4.0214E-22	0
370	7.2427E-22	0
370.5	7.5201E-22	0
371	5.5861E-22	0
371.5	3.0575E-22	0
372	1.5751E-22	0
372.5	7.2528E-23	0
373	4.7048E-23	0
373.5	1.2311E-23	0
374	4.2727E-23	0
374.5	1.4077E-23	0
375	1.0476E-23	0
375.5	5.187E-24	0
376	4.8693E-24	0
376.5	1.357E-23	0
377	1.0576E-23	0
377.5	1.4092E-23	0
378	3.6662E-23	0
378.5	6.0685E-23	0
379	1.0096E-22	0
379.5	1.4187E-22	0
380	8.1936E-23	0
380.5	5.7283E-23	0
381	2.5452E-23	0
381.5	1.4163E-23	0
382	1.7904E-23	0
382.5	4.1987E-25	0
383	1.0988E-23	0
383.5	1.4068E-23	0
384	2.5197E-23	0
384.5	1.6936E-23	0
385	1.8713E-23	0
385.5	1.3414E-23	0
386	9.0106E-24	0
386.5	2.1592E-23	0
387	1.9201E-23	0
387.5	1.2948E-23	0
388	1.4769E-22	0
388.5	2.14E-22	0
389	2.8612E-22	0
389.5	1.5649E-22	0
390	7.5597E-23	0
390.5	6.0895E-23	0
391	4.694E-23	0
391.5	1.7621E-23	0
392	2.8065E-23	0
392.5	3.9189E-23	0
393	3.0336E-23	0
393.5	5.0763E-23	0
394	4.1107E-23	0
394.5	2.6023E-23	0
395	3.9687E-23	0
395.5	3.7202E-23	0
396	3.6466E-23	0
396.5	7.3925E-23	0
397	9.3527E-23	0
397.5	8.7406E-23	0
398	6.1315E-23	0
398.5	1.4822E-23	0
399	2.2882E-23	0
399.5	2.7328E-23	0
400	5.6948E-23	0
