wvl	Abs_CH4
1617	0.000151064
1618	0.00029696
1619	0.000349075
1620	0.000145854
1621	0.000875736
1622	0.000797485
1623	0.000552376
1624	0.001873156
1625	0.000489814
1626	0.002338576
1627	0.00169024
1628	0.002862016
1629	0.001742495
1630	0.002406593
1631	0.005013637
1632	0.001554401
1633	0.007750085
1634	0.002464153
1635	0.008665438
1636	0.005202985
1637	0.002134577
1638	0.017019876
1639	0.001585745
1640	0.017789977
1641	0.005097783
1642	0.000234428
1643	0.026211116
1644	0.000588874
1645	0.011863254
1646	0.023632295
1647	0.000698385
1648	0.02566916
1649	0.004656167
1650	0.002322881
1651	0.033019708
1652	0.00097487
1653	0.001261944
1654	0.024183046
1655	0.003139652
1656	0.010012289
1657	0.00547661
1658	0.000109386
1659	0.003931468
1660	0.002956291
1661	0.000541949
1662	0.005866246
1663	0.001021835
1664	0.000458535
1665	0.02393759
1666	0.098945192
1667	0.024226695
1668	0.006314161
1669	0.002165956
1670	0.00163799
1671	0.00476128
1672	0.001455156
1673	0.000641019
1674	0.007396015
1675	0.005602946
1676	0.000229217
1677	0.005176683
1678	0.011895225
1679	0.000474174
1680	0.001016617
1681	0.012215042
1682	0.001293271
1683	0.00063059
1684	0.019658023
1685	0.001554401
1686	0.001063585
1687	0.011831285
1688	0.003365014
1689	0.001836568
1690	0.002867253
1691	0.009502834
1692	0.003983948
1693	0.001523058
1694	0.009651373
1695	0.003842263
1696	0.000625375
1697	0.007850536
1698	0.004382974
1699	0.002045679
1700	0.00610333
1702	0.004798075
1705	0.008527768
1710	0.006656945
1715	0.002725871
1720	0.003443651
1725	0.007522818
1730	0.005808309
1735	0.002945815
1740	0.002741578
1745	0.001549177
1750	0.001032272
1755	0.000755756
1760	0.000901822
1765	0.001617091
1770	0.003181573
1775	0.003858004
1780	0.002275798
1785	0.002338576
1790	0.006572547
1795	0.002139806
1800	0.001053147
1805	0.001841794
1810	0.001580521
1815	0.001162755
1820	0.000119805
1825	0
1830	0
1835	0
1840	0
1845	0
1850	0
1855	0
1860	0
1865	0
1870	0
1875	0
1880	0
1885	0
1890	0
1895	0
1900	0
1905	0
1910	0
1915	0
1920	0
1925	0
1930	0
1935	0
1940	0
1945	0
1950	0
1955	0
1960	0
1965	0
1970	0
1975	0
1980	0
1985	0
1990	0
1995	0
2000	0
2005	0
2010	0
2015	0
2020	0
2025	0
2030	0
2035	0
2040	0
2045	0
2050	0
2055	0
2060	0
2065	0
2070	0
2075	0
2080	0
2085	0
2090	0
2095	0
2100	0
2105	0
2110	0
2115	0
2120	0
2125	0
2130	0
2135	0
2140	5.20859E-05
2145	0.000792269
2150	0.001664114
2155	0.002291492
2160	0.004246431
2165	0.003852757
2170	0.003218256
2175	0.003448894
2180	0.005687188
2185	0.003129173
2190	0.001512611
2195	0.002024764
2200	0.042969563
2205	0.013993608
2210	0.002312417
2215	0.007010512
2220	0.011623534
2225	0.012994086
2230	0.017601386
2235	0.020529548
2240	0.023250927
2245	0.035327741
2250	0.023038572
2255	0.039081299
2260	0.042845141
2265	0.033636036
2270	0.053545948
2275	0.058784579
2280	0.03432541
2285	0.061040082
2290	0.058732106
2295	0.061086932
2300	0.080860044
2305	0.073425093
2310	0.02519336
2315	0.068026016
2320	0.098108228
2325	0.031341002
2330	0.049251801
2335	0.044028358
2340	0.082108571
2345	0.081681908
2350	0.099153068
2355	0.083708619
2360	0.067332081
2365	0.036873995
2370	0.179606871
2375	0.079547754
2380	0.029805548
2385	0.056643312
2390	0.0406106
2395	0.049950707
2400	0.030418082
2405	0.029182716
2410	0.016197181
2415	0.011453134
2420	0.010384081
2425	0.017590611
2430	0.009672597
2435	0.009354336
2440	0.006319433
2445	0.005481873
2450	0.005634535
2455	0.00332832
2460	0.002469386
2465	0.001685014
2470	0.00209274
2475	0.00088617
2480	0.001016617
2485	0.00104271
2490	0.001120997
2495	0.000599303
