wvl_nm	Abs_CO2
1036	4.07E-08
1037	1.11E-06
1038	3.14E-07
1039	4.07E-07
1040	4.13E-07
1041	2.85E-07
1042	1.13E-07
1043	5.32E-08
1044	6.26E-09
1045	0
1046	0
1047	0
1048	0
1049	1.68E-06
1050	2.23E-06
1051	6.10E-07
1052	1.34E-06
1053	1.03E-06
1054	4.66E-07
1055	2.64E-07
1056	9.39E-08
1057	4.07E-08
1058	6.26E-09
1059	0
1060	0
1061	0
1062	0
1063	1.82E-07
1064	4.25E-07
1065	9.08E-08
1066	2.27E-07
1067	1.85E-07
1068	1.19E-07
1069	5.32E-08
1070	0
1071	0
1072	0
1073	0
1074	0
1075	0
1076	0
1077	0
1078	0
1079	0
1080	0
1081	0
1082	0
1083	0
1084	0
1085	0
1086	0
1087	0
1088	0
1089	0
1090	0
1091	0
1092	0
1093	0
1094	0
1095	0
1096	0
1097	0
1098	0
1099	0
1100	0
1101	0
1102	0
1103	0
1104	0
1105	0
1106	0
1107	0
1108	0
1109	0
1110	0
1111	0
1112	0
1113	0
1114	0
1115	0
1116	0
1117	0
1118	0
1119	0
1120	0
1121	0
1122	0
1123	0
1124	0
1125	0
1126	0
1127	0
1128	0
1129	0
1130	0
1131	0
1132	0
1133	0
1134	0
1135	0
1136	0
1137	0
1138	0
1139	0
1140	0
1141	0
1142	0
1143	0
1144	0
1145	0
1146	0
1147	0
1148	0
1149	0
1150	0
1151	0
1152	0
1153	0
1154	0
1155	0
1156	0
1157	0
1158	0
1159	0
1160	0
1161	0
1162	0
1163	0
1164	0
1165	0
1166	0
1167	0
1168	0
1169	0
1170	0
1171	0
1172	0
1173	0
1174	0
1175	0
1176	0
1177	0
1178	0
1179	0
1180	0
1181	0
1182	0
1183	0
1184	0
1185	0
1186	0
1187	0
1188	0
1189	0
1190	0
1191	0
1192	0
1193	0
1194	0
1195	0
1196	0
1197	0
1198	0
1199	0
1200	0
1201	0
1202	6.26E-09
1203	1.05E-05
1204	7.12E-05
1205	3.78E-05
1206	1.52E-05
1207	2.88E-05
1208	3.15E-05
1209	2.04E-05
1210	1.26E-05
1211	7.60E-06
1212	4.74E-06
1213	2.02E-06
1214	1.01E-06
1215	4.74E-07
1216	2.33E-07
1217	1.22E-07
1218	1.92E-05
1219	4.78E-05
1220	2.08E-05
1221	9.77E-06
1222	2.08E-05
1223	2.11E-05
1224	1.37E-05
1225	7.30E-06
1226	5.57E-06
1227	4.47E-06
1228	2.82E-06
1229	8.84E-07
1230	1.27E-06
1231	1.22E-06
1232	1.01E-06
1233	7.86E-07
1234	1.19E-06
1235	1.11E-06
1236	3.28E-07
1237	3.81E-07
1238	4.45E-07
1239	3.60E-07
1240	2.79E-07
1241	1.50E-07
1242	7.82E-08
1243	3.44E-08
1244	9.39E-09
1245	0
1246	0
1247	0
1248	0
1249	0
1250	5.95E-08
1251	2.88E-07
1252	1.91E-07
1253	1.56E-08
1254	1.22E-07
1255	1.44E-07
1256	1.00E-07
1257	7.51E-08
1258	3.44E-08
1259	5.01E-08
1260	1.50E-07
1261	1.44E-07
1262	2.50E-08
1263	7.51E-08
1264	1.91E-07
1265	1.03E-07
1266	2.82E-07
1267	0
1268	0
1269	0
1270	0
1271	0
1272	0
1273	0
1274	0
1275	0
1276	0
1277	0
1278	0
1279	0
1280	0
1281	0
1282	0
1283	0
1284	0
1285	0
1286	9.39E-09
1287	1.03E-07
1288	1.72E-07
1289	7.06E-07
1290	1.83E-06
1291	2.77E-06
1292	1.53E-06
1293	3.99E-07
1294	1.61E-06
1295	1.58E-06
1296	1.48E-06
1297	8.01E-07
1298	4.32E-07
1299	1.72E-07
1300	6.26E-08
1301	1.25E-08
1302	0
1303	0
1304	0
1305	0
1306	0
1307	0
1308	0
1309	0
1310	0
1311	0
1312	3.00E-07
1313	2.66E-06
1314	7.71E-06
1315	9.57E-06
1316	5.46E-06
1317	2.13E-06
1318	4.93E-06
1319	5.72E-06
1320	5.20E-06
1321	3.71E-06
1322	2.14E-06
1323	9.24E-07
1324	5.50E-07
1325	1.38E-07
1326	6.57E-08
1327	2.50E-08
1328	0
1329	0
1330	0
1331	0
1332	0
1333	0
1334	1.25E-08
1335	2.41E-07
1336	1.19E-06
1337	2.61E-06
1338	3.59E-06
1339	3.06E-06
1340	9.48E-07
1341	1.25E-06
1342	2.62E-06
1343	2.59E-06
1344	1.70E-06
1345	1.34E-06
1346	7.78E-07
1347	4.53E-07
1348	1.82E-07
1349	4.38E-08
1350	1.41E-07
1351	1.75E-07
1352	1.35E-07
1353	8.76E-08
1354	2.50E-08
1355	0
1356	0
1357	0
1358	0
1359	0
1360	0
1361	0
1362	0
1363	0
1364	0
1365	0
1366	0
1367	1.56E-08
1368	8.76E-08
1369	2.41E-07
1370	2.97E-07
1371	2.88E-07
1372	1.85E-07
1373	4.07E-08
1374	2.30E-07
1375	2.82E-07
1376	2.61E-07
1377	1.56E-07
1378	7.51E-08
1379	1.25E-08
1380	0
1381	0
1382	0
1383	0
1384	0
1385	0
1386	0
1387	0
1388	0
1389	0
1390	0
1391	0
1392	0
1393	0
1394	0
1395	0
1396	0
1397	0
1398	0
1399	0
1400	0
1401	0
1402	0
1403	0
1404	0
1405	0
1406	0
1407	0
1408	0
1409	0
1410	0
1411	0
1412	0
1413	0
1414	0
1415	0
1416	0
1417	0
1418	0
1419	0
1420	0
1421	0
1422	0
1423	0
1424	3.13E-09
1425	3.13E-08
1426	4.07E-08
1427	7.82E-08
1428	1.44E-07
1429	3.23E-07
1430	2.79E-06
1431	0.000663424
1432	0.000790038
1433	0.00047443
1434	0.000164826
1435	0.000249906
1436	0.000317035
1437	0.000285134
1438	0.000249756
1439	0.000366658
1440	0.000271879
1441	0.000188929
1442	0.00013432
1443	8.27E-05
1444	0.000100933
1445	6.00E-05
1446	5.55E-05
1447	3.57E-05
1448	2.70E-05
1449	1.64E-05
1450	1.11E-05
1451	8.11E-06
1452	5.32E-06
1453	3.61E-06
1454	2.44E-06
1455	1.78E-06
1456	1.20E-06
1457	7.72E-07
1458	4.35E-07
1459	2.61E-07
1460	1.63E-07
1461	5.95E-08
1462	2.50E-08
1463	9.39E-09
1464	0
1465	0
1466	0
1467	0
1468	0
1469	0
1470	6.26E-09
1471	5.70E-06
1472	2.02E-05
1473	1.52E-05
1474	8.64E-06
1475	2.32E-06
1476	6.00E-06
1477	9.10E-06
1478	6.83E-06
1479	8.69E-06
1480	5.82E-06
1481	4.71E-06
1482	3.11E-06
1483	1.81E-06
1484	1.27E-06
1485	1.21E-06
1486	7.01E-07
1487	6.65E-07
1488	3.89E-07
1489	2.45E-07
1490	1.69E-07
1491	1.19E-07
1492	6.47E-07
1493	1.54E-06
1494	2.32E-06
1495	1.98E-06
1496	1.10E-06
1497	5.19E-06
1498	3.46E-06
1499	1.03E-06
1500	5.25E-07
1501	3.92E-07
1502	2.58E-07
1503	1.06E-07
1504	8.14E-08
1505	1.88E-08
1506	0
1507	0
1508	0
1509	0
1510	0
1511	0
1512	0
1513	0
1514	0
1515	0
1516	0
1517	0
1518	0
1519	0
1520	6.26E-09
1521	7.51E-08
1522	1.03E-07
1523	3.57E-07
1524	1.16E-06
1525	2.88E-06
1526	4.31E-06
1527	4.42E-06
1528	3.71E-06
1529	2.74E-06
1530	6.82E-06
1531	7.08E-06
1532	1.40E-05
1533	2.51E-05
1534	3.68E-05
1535	4.07E-05
1536	2.85E-05
1537	1.89E-05
1538	7.68E-06
1539	2.02E-05
1540	3.19E-05
1541	2.68E-05
1542	2.09E-05
1543	1.69E-05
1544	9.05E-06
1545	5.54E-06
1546	3.56E-06
1547	1.21E-06
1548	5.38E-07
1549	2.55E-07
1550	9.70E-08
1551	3.44E-08
1552	0
1553	0
1554	0
1555	0
1556	0
1557	4.07E-08
1558	1.00E-07
1559	1.16E-07
1560	1.88E-07
1561	1.69E-07
1562	1.19E-07
1563	1.56E-08
1564	2.82E-08
1565	3.66E-07
1566	1.64E-06
1567	7.14E-06
1568	2.76E-05
1569	7.83E-05
1570	0.000174295
1571	0.000286826
1572	0.000263828
1573	0.000265949
1574	0.000182175
1575	6.45E-05
1576	0.000103081
1577	0.00018653
1578	0.000174968
1579	0.000185865
1580	0.000136662
1581	0.000109589
1582	8.29E-05
1583	5.80E-05
1584	3.82E-05
1585	2.26E-05
1586	1.10E-05
1587	7.06E-06
1588	2.82E-06
1589	2.18E-06
1590	1.25E-06
1591	7.37E-07
1592	6.43E-07
1593	6.17E-07
1594	8.06E-07
1595	1.21E-06
1596	2.57E-06
1597	7.29E-06
1598	2.59E-05
1599	7.86E-05
1600	0.000144281
1601	0.000215014
1602	0.000232261
1603	0.000248824
1604	0.000213162
1605	0.000106637
1606	6.74E-05
1607	0.000128863
1608	0.000190614
1609	0.000210108
1610	0.000163422
1611	0.000141011
1612	0.000112016
1613	8.47E-05
1614	5.67E-05
1615	4.19E-05
1616	2.94E-05
1617	2.09E-05
1618	1.70E-05
1619	1.19E-05
1620	8.46E-06
1621	5.12E-06
1622	4.11E-06
1623	2.86E-06
1624	1.95E-06
1625	1.42E-06
1626	1.51E-06
1627	2.08E-06
1628	2.66E-06
1629	3.26E-06
1630	3.17E-06
1631	2.72E-06
1632	1.88E-06
1633	1.86E-06
1634	1.55E-06
1635	2.38E-06
1636	3.42E-06
1637	5.62E-06
1638	9.23E-06
1639	1.56E-05
1640	2.51E-05
1641	3.44E-05
1642	3.77E-05
1643	3.39E-05
1644	3.24E-05
1645	1.77E-05
1646	5.35E-06
1647	2.19E-05
1648	2.19E-05
1649	3.50E-05
1650	2.46E-05
1651	2.35E-05
1652	1.37E-05
1653	1.26E-05
1654	6.23E-06
1655	5.69E-06
1656	3.88E-06
1657	3.63E-06
1658	3.27E-06
1659	2.45E-06
1660	1.33E-06
1661	5.41E-07
1662	1.43E-06
1663	2.52E-06
1664	2.94E-06
1665	2.84E-06
1666	2.12E-06
1667	1.67E-06
1668	1.18E-06
1669	8.34E-07
1670	7.52E-07
1671	7.14E-07
1672	5.46E-07
1673	5.29E-07
1674	6.19E-07
1675	6.14E-07
1676	4.70E-07
1677	2.25E-07
1678	1.94E-07
1679	1.72E-07
1680	2.30E-07
1681	2.79E-07
1682	2.64E-07
1683	3.24E-07
1684	2.30E-07
1685	1.69E-07
1686	5.63E-08
1687	2.19E-08
1688	0
1689	0
1690	0
1691	0
1692	0
1693	0
1694	0
1695	0
1696	0
1697	0
1698	0
1699	0
1700	0
1702	2.21E-07
1705	2.70E-07
1710	1.85E-07
