wvl_nm	xsec_ClNO3	A1	A2
280	1.19E-19	2.38E-03	1.21E-06
280.5	1.16E-19	2.40E-03	1.34E-06
281	1.12E-19	2.43E-03	1.47E-06
281.5	1.09E-19	2.45E-03	1.59E-06
282	1.05E-19	2.47E-03	1.72E-06
282.5	1.02E-19	2.49E-03	1.84E-06
283	9.93E-20	2.52E-03	1.97E-06
283.5	9.64E-20	2.54E-03	2.09E-06
284	9.35E-20	2.56E-03	2.21E-06
284.5	9.08E-20	2.59E-03	2.33E-06
285	8.81E-20	2.61E-03	2.45E-06
285.5	8.53E-20	2.64E-03	2.56E-06
286	8.26E-20	2.66E-03	2.68E-06
286.5	8.01E-20	2.68E-03	2.78E-06
287	7.75E-20	2.71E-03	2.89E-06
287.5	7.50E-20	2.73E-03	2.99E-06
288	7.24E-20	2.75E-03	3.09E-06
288.5	7.03E-20	2.77E-03	3.17E-06
289	6.83E-20	2.80E-03	3.25E-06
289.5	6.62E-20	2.82E-03	3.33E-06
290	6.41E-20	2.84E-03	3.41E-06
290.5	6.18E-20	2.87E-03	3.49E-06
291	5.96E-20	2.90E-03	3.58E-06
291.5	5.73E-20	2.92E-03	3.66E-06
292	5.50E-20	2.95E-03	3.74E-06
292.5	5.29E-20	2.98E-03	3.87E-06
293	5.09E-20	3.02E-03	4.01E-06
293.5	4.88E-20	3.05E-03	4.14E-06
294	4.67E-20	3.08E-03	4.27E-06
294.5	4.53E-20	3.12E-03	4.49E-06
295	4.38E-20	3.17E-03	4.70E-06
295.5	4.24E-20	3.21E-03	4.92E-06
296	4.09E-20	3.25E-03	5.13E-06
296.5	3.96E-20	3.30E-03	5.41E-06
297	3.83E-20	3.35E-03	5.68E-06
297.5	3.70E-20	3.40E-03	5.96E-06
298	3.57E-20	3.45E-03	6.23E-06
298.5	3.46E-20	3.50E-03	6.51E-06
299	3.35E-20	3.55E-03	6.80E-06
299.5	3.24E-20	3.59E-03	7.08E-06
300	3.13E-20	3.64E-03	7.36E-06
300.5	3.03E-20	3.69E-03	7.62E-06
301	2.94E-20	3.74E-03	7.87E-06
301.5	2.84E-20	3.78E-03	8.13E-06
302	2.74E-20	3.83E-03	8.38E-06
