wvl_nm	sigma(298K)	b0
280	1.12	1.78
280.5	1.0925	1.8025
281	1.065	1.825
281.5	1.0375	1.8475
282	1.01	1.87
282.5	0.98475	1.8875
283	0.9595	1.905
283.5	0.93425	1.9225
284	0.909	1.94
284.5	0.8835	1.965
285	0.858	1.99
285.5	0.8325	2.015
286	0.807	2.04
286.5	0.7825	2.0675
287	0.758	2.095
287.5	0.7335	2.1225
288	0.709	2.15
288.5	0.6855	2.18
289	0.662	2.21
289.5	0.6385	2.24
290	0.615	2.27
290.5	0.59425	2.2975
291	0.5735	2.325
291.5	0.55275	2.3525
292	0.532	2.38
292.5	0.51225	2.415
293	0.4925	2.45
293.5	0.47275	2.485
294	0.453	2.52
294.5	0.435	2.565
295	0.417	2.61
295.5	0.399	2.655
296	0.381	2.7
296.5	0.36475	2.755
297	0.3485	2.81
297.5	0.33225	2.865
298	0.316	2.92
298.5	0.30275	2.965
299	0.2895	3.01
299.5	0.27625	3.055
300	0.263	3.1
300.5	0.24925	3.135
301	0.2355	3.17
301.5	0.22175	3.205
302	0.208	3.24
302.5	0.19775	3.31
303	0.1875	3.38
303.5	0.17725	3.45
304	0.167	3.52
304.5	0.1585	3.5825
305	0.15	3.645
305.5	0.1415	3.7075
306	0.133	3.77
306.5	0.126	3.805
307	0.119	3.84
307.5	0.112	3.875
308	0.105	3.91
308.5	0.0991	3.99
309	0.0932	4.07
309.5	0.0873	4.15
310	0.0814	4.23
310.5	0.07675	4.3475
311	0.0721	4.465
311.5	0.06745	4.5825
312	0.0628	4.7
312.5	0.0588	4.8125
313	0.0548	4.925
313.5	0.0508	5.0375
314	0.0468	5.15
314.5	0.04415	5.175
315	0.0415	5.2
315.5	0.03885	5.225
316	0.0362	5.25
316.5	0.033925	5.3725
317	0.03165	5.495
317.5	0.029375	5.6175
318	0.0271	5.74
318.5	0.02525	5.9175
319	0.0234	6.095
319.5	0.02155	6.2725
320	0.0197	6.45
320.5	0.018625	6.5125
321	0.01755	6.575
321.5	0.016475	6.6375
322	0.0154	6.7
322.5	0.01425	6.815
323	0.0131	6.93
323.5	0.01195	7.045
324	0.0108	7.16
324.5	0.01015	7.2575
325	0.0095	7.355
325.5	0.00885	7.4525
326	0.0082	7.55
326.5	0.0076825	7.7025
327	0.007165	7.855
327.5	0.0066475	8.0075
328	0.00613	8.16
328.5	0.005675	8.5575
329	0.00522	8.955
329.5	0.004765	9.3525
330	0.00431	9.75
330.5	0.00403	9.795
331	0.00375	9.84
331.5	0.00347	9.885
332	0.00319	9.93
332.5	0.003	9.8475
333	0.00281	9.765
333.5	0.00262	9.6825
334	0.00243	9.6
334.5	0.0023125	9.825
335	0.002195	10.05
335.5	0.0020775	10.275
336	0.00196	10.5
336.5	0.001825	10.575
337	0.00169	10.65
337.5	0.001555	10.725
338	0.00142	10.8
338.5	0.0013225	11.05
339	0.001225	11.3
339.5	0.0011275	11.55
340	0.00103	11.8
340.5	0.0009875	11.8
341	0.000945	11.8
341.5	0.0009025	11.8
342	0.00086	11.8
342.5	0.0008175	11.175
343	0.000775	10.55
343.5	0.0007325	9.925
344	0.00069	9.3
344.5	0.0006425	10
345	0.000595	10.7
345.5	0.0005475	11.4
346	0.0005	12.1
346.5	0.00048	12.05
347	0.00046	12
347.5	0.00044	11.95
348	0.00042	11.9
348.5	0.00042	11.25
349	0.00042	10.6
349.5	0.00042	9.95
350	0.00042	9.3
