wvl	Abs_coeff_CH4
1950	0.000894711
1955	0.002033862
1960	0.000894711
1965	0.001355738
1970	0.000569327
1975	0.000135543
1980	0.000704899
1985	0.002088119
1990	0.000786246
1995	0.001599843
2000	0.000786246
2005	0.000515101
2010	0.000813362
2015	0.000243983
2020	8.13252E-05
2025	0
2030	0
2035	0
2040	0
2045	0
2050	0
2055	0
2060	0
2065	0
2070	0
2075	0
2080	0
2085	0
2090	0
2095	0
2100	2.71081E-05
2105	0.020189119
2110	0.032150214
2115	0.011654342
2120	0.020981243
2125	0.013370046
2130	0.004340751
2135	0.001328617
2140	0.000271093
2145	0.000243983
2150	0.00273929
2155	0.004693743
2160	0.001626967
2165	0.003526331
2170	0.002278028
2175	0.000921828
2180	0.000216873
2185	2.34611E-05
2190	0
2195	0
2200	0
2205	0
2210	0
2215	0
2220	0
2225	0
2230	0
2235	0
2240	0
2245	1.56406E-05
2250	0.002413685
2255	0.043558216
2260	0.042676853
2265	0.014378188
2270	0.035883454
2275	0.026149384
2280	0.011490998
2285	0.006133338
2290	0.00273929
2295	0.001220134
2300	0.00075913
2305	0.001355738
2310	0.000216873
2315	0.000298204
2320	0.000108434
2325	0
2330	0
2335	0
2340	0
2345	0
2350	0
2355	0
2360	0
2365	0
2370	0
2375	0
2380	0
2385	0
2390	0
2395	0
2400	0
2405	0
2410	0
2415	0
2420	0
2425	0
2430	0
2435	0
2440	0
2445	0
2450	0.000189763
2455	0.00040665
2460	0.000840478
2465	0.001003181
2470	0.000271093
2475	0.000271093
2480	2.71081E-05
2485	0
2490	0
2495	0
2500	0
2505	0
2510	0
2515	0
2520	0
2525	0
2530	0
2535	0
2540	0
2545	0
2550	0
2555	0
2560	0
2565	0
2570	1.17304E-05
2575	0.000786246
2580	0.002847834
2585	0.004557971
2590	0.017050215
2595	0.05059184
2600	0.061828269
2605	0.021718946
2610	0.029079637
2615	0.042016018
2620	0.032863524
2625	0.016941101
2630	0.00809024
2635	0.003227771
2640	0.001193014
2645	0.002278028
2650	0.009069221
2655	0.023194954
2660	0.030641907
2665	0.014814257
2670	0.009069221
2675	0.022866883
2680	0.021500347
2685	0.011953831
2690	0.005535677
2695	0.00206099
2700	0.000732014
2705	0.000162653
2710	2.34611E-05
2715	0
2720	0
2725	0
2730	0
2735	0
2740	0
2745	0
2750	0
2755	0
2760	0
2765	0
2770	0
2775	5.42165E-05
2780	0.001518472
2785	0.000623555
2790	0.000216873
2795	2.34611E-05
2800	0
2805	0
2810	0
2815	0
2820	0
2825	0
2830	0
2835	7.03876E-05
2840	0.000325315
2845	0.002278028
2850	0.097364766
2855	0.521185724
2860	1.031338111
2865	1.138934838
2870	0.609136132
2875	0.407810467
2880	0.723794065
2885	0.784840584
2890	0.698878106
2895	0.416995077
2900	0.269305114
2905	0.144415626
2910	0.071357545
2915	0.034867284
2920	0.018059727
2925	0.012144432
2930	0.006867011
2935	0.0043136
2940	0.003200631
2945	0.006948542
2950	0.019670267
2955	0.042979789
2960	0.062493952
2965	0.060469674
2970	0.025191577
2975	0.025136856
2980	0.054820791
2985	0.051696811
2990	0.042704391
2995	0.026724231
3000	0.017513998
3005	0.01119156
3010	0.006785482
3015	0.004042102
3020	0.002440817
3025	0.001491349
3030	0.00075913
