wvl_nm	xsec_220K	a(T)
280	5.28150E-20	0
280.5	5.27250E-20	0
281	5.54970E-20	0
281.5	5.87120E-20	0
282	5.56630E-20	0
282.5	5.30430E-20	0
283	5.65130E-20	0
283.5	6.17250E-20	0
284	6.64420E-20	0
284.5	6.76670E-20	0
285	7.05170E-20	0
285.5	7.30430E-20	0
286	7.60300E-20	0
286.5	7.54800E-20	0
287	7.32080E-20	0
287.5	7.44080E-20	0
288	7.50860E-20	0
288.5	7.69400E-20	0
289	8.01600E-20	0
289.5	8.38210E-20	0
290	8.88090E-20	0
290.5	8.83870E-20	0
291	9.29570E-20	0
291.5	9.91470E-20	0
292	1.00590E-19	0
292.5	1.04760E-19	0
293	9.98250E-20	0
293.5	9.55650E-20	0
294	9.61880E-20	0
294.5	1.04450E-19	0
295	1.07950E-19	0
295.5	1.00500E-19	0
296	1.03170E-19	0
296.5	1.16300E-19	0
297	1.28710E-19	0
297.5	1.39030E-19	0
298	1.29410E-19	0
298.5	1.23350E-19	0
299	1.25200E-19	0
299.5	1.29740E-19	0
300	1.27820E-19	0
300.5	1.23830E-19	0
301	1.25570E-19	0
301.5	1.30610E-19	0
302	1.42780E-19	0
302.5	1.47200E-19	0
303	1.54430E-19	0
303.5	1.58260E-19	0
304	1.54250E-19	0
304.5	1.56800E-19	0
305	1.61930E-19	9.32E-24
305.5	1.57750E-19	1.84E-23
306	1.52100E-19	4.67E-23
306.5	1.58830E-19	3.51E-23
307	1.70400E-19	8.63E-24
307.5	1.71250E-19	1.73E-23
308	1.61670E-19	5.68E-23
308.5	1.63850E-19	5.41E-23
309	1.85890E-19	1.15E-23
309.5	1.91600E-19	2.14E-23
310	1.82180E-19	5.41E-23
310.5	1.83450E-19	5.16E-23
311	1.90560E-19	5.60E-23
311.5	1.96700E-19	4.89E-23
312	1.95880E-19	7.23E-23
312.5	2.08560E-19	5.52E-23
313	2.03830E-19	8.25E-23
313.5	1.94660E-19	1.00E-22
314	1.92560E-19	1.23E-22
314.5	2.05060E-19	9.70E-23
315	2.22040E-19	6.86E-23
315.5	2.13230E-19	1.11E-22
