wvl_nm	Abs_O3
2470	1.14646E-05
2475	3.68966E-05
2480	0.013192334
2485	0.009330419
2490	0.006351471
2495	0.006896296
2500	0.005592862
2505	0.003804499
2510	0.00236723
2515	0.001385121
2520	0.000768285
2525	0.000450057
2530	0.000318542
2535	0.00021202
2540	0.000142138
2545	9.92964E-05
2550	5.86372E-05
2555	3.66271E-05
2560	2.17369E-05
2565	7.71366E-06
2570	0
2575	0
2580	0
2585	0
2590	0
2595	0
2600	0
2605	0
2610	0
2615	0
2620	0
2625	0
2630	0
2635	0
2640	0
2645	0
2650	0
2655	0
2660	0
2665	3.68966E-05
2670	2.54306E-05
2675	0
2680	3.09692E-06
2685	1.48886E-05
2690	2.63541E-05
2695	0.003299391
2700	0.008492736
2705	0.002076021
2710	0.002930357
2715	0.002813835
2720	0.002211913
2725	0.001535234
2730	0.000960167
2735	0.000579905
2740	0.00033378
2745	0.000189994
2750	9.68521E-05
2755	5.527E-05
2760	2.42378E-05
2765	1.33689E-05
2770	2.50057E-06
2775	0
2780	0
2785	0
2790	0
2795	0
2800	0
2805	0
2810	0
2815	0
2820	0
2825	0
2830	0
2835	0
2840	0
2845	0
2850	0
2855	0
2860	0
2865	0
2870	0
2875	0
2880	0
2885	0
2890	0
2895	0
2900	0
2905	0
2910	0
2915	0
2920	0
2925	0
2930	0
2935	0
2940	0
2945	0
2950	0
2955	0
2960	0
2965	0
2970	0
2975	0
2980	4.34721E-06
2985	5.27054E-06
2990	1.08682E-05
2995	1.39653E-05
3000	4.2822E-05
3005	9.56013E-05
3010	7.0432E-05
3015	7.68978E-05
3020	9.64678E-05
3025	0.000110112
3030	0.000103262
3035	0.00012191
3040	7.41267E-05
3045	0.000102665
3050	0.000139252
3055	0.000194828
3060	0.000181449
3065	0.000140176
3070	0.000100817
3075	8.49986E-05
3080	6.57565E-05
3085	6.23317E-05
3090	5.70597E-05
3095	4.90172E-05
3100	4.2822E-05
3105	3.37992E-05
3110	2.35838E-05
3115	2.17369E-05
3120	0.001152861
3125	0.010480387
3130	0.009993029
3135	0.003182847
3140	0.003513075
3145	0.004309739
3150	0.00438748
3155	0.004076535
3160	0.003338241
3165	0.002541976
3170	0.001920728
3175	0.001503277
3180	0.001265757
3185	0.001162752
3190	0.001196959
3195	0.001265445
3200	0.00157008
3205	0.0012998
3210	0.001741977
3215	0.00110166
3220	0.001309101
3225	0.00195955
3230	0.008648556
3235	0.003687924
3240	0.001597418
3245	0.001077782
3250	0.001811684
3255	0.002173086
3260	0.002328399
3265	0.002444893
3270	0.085392217
3275	0.170309888
3280	0.078130808
3285	0.04879718
3290	0.063669017
3295	0.068725417
3300	0.069468936
3305	0.058086197
3310	0.047028147
3315	0.038127999
3320	0.025924678
3325	0.020743302
3330	0.014579037
3335	0.009213511
3340	0.006254197
3345	0.00438748
3350	0.002872095
3355	0.002270155
3360	0.001754238
3365	0.002012443
3370	0.001852499
3375	0.00107847
3380	0.000643373
3385	0.000711622
3390	0.000659619
3395	0.000639939
3400	0.000525953
3405	0.000504435
3410	0.000405763
3415	0.000567683
3420	0.000439085
3425	0.00031954
3430	0.000425344
3435	0.000459751
3440	0.000519001
3445	0.000448421
3450	0.000330622
3455	0.000225074
3460	0.000180041
3465	0.000252978
3470	0.000236224
3475	0.000221917
3480	0.000207612
3485	0.000252268
3490	0.000267174
3495	0.000283987
3500	0.000227791
3505	0.000195212
3510	0.000170685
3515	0.000125393
3520	0.000113865
3525	9.42933E-05
3530	8.96745E-05
3535	7.0105E-05
3540	6.60835E-05
3545	6.42362E-05
3550	5.24418E-05
3555	5.21723E-05
3560	5.27688E-05
3565	0.002930357
3570	0.018314395
3575	0.027713897
3580	0.020312145
3585	0.008181132
3590	0.016103602
3595	0.009661696
3600	0.01131893
3605	0.014774427
3610	0.014110182
3615	0.011962708
3620	0.008882311
3625	0.00751914
3630	0.004970636
3635	0.003629639
3640	0.002464309
3645	0.001920728
3650	0.001858105
3655	0.00388222
3660	0.001170131
3665	0.000707163
3670	0.000337807
3675	0.000590965
3680	0.000566719
3685	0.000517256
3690	0.000528422
3695	0.000469111
3700	0.000429851
3705	0.00043987
3710	0.000368988
3715	0.000365343
3720	0.000300418
3725	0.000285566
3730	0.000224363
3735	0.000210171
3740	0.000168183
3745	0.000152417
3750	0.000118541
3755	9.34268E-05
3760	8.47289E-05
3765	5.92339E-05
3770	5.61935E-05
3775	3.53766E-05
3780	3.72236E-05
3785	2.26603E-05
3790	2.17369E-05
3795	8.69451E-06
3800	1.08682E-05
3805	6.52085E-06
3810	0
3815	0
3820	0
3825	0
3830	0
3835	0
3840	0
3845	0
3850	0
3855	0
3860	0
3865	0
3870	0
3875	0
3880	0
3885	0
3890	0
3895	0
3900	0
3905	0
3910	0
3915	0
3920	0
3925	0
3930	0
3935	0
3940	1.2061E-05
3945	1.5812E-05
3950	1.11376E-05
3955	2.20064E-05
3960	2.45072E-05
3965	2.17369E-05
3970	2.7008E-05
3975	5.23845E-05
3980	5.70597E-05
3985	0.000112287
3990	0.000122777
3995	0.00014855
4000	0.000127127
