Wvl_nm	Ref_228K	a0	a1
280	3.88800E-18	-0.083502	0
280.5	3.63270E-18	-0.10967	0
281	3.53770E-18	0.80798	0.87489
281.5	3.29030E-18	0.6095	0.7079
282	3.13890E-18	0.92835	1.0044
282.5	3.03740E-18	1.3123	1.3736
283	2.92550E-18	1.6117	1.6587
283.5	2.87050E-18	1.7495	1.7917
284	2.61280E-18	0.94995	1.0497
284.5	2.49430E-18	1.2711	1.3464
285	2.36700E-18	1.2897	1.3671
285.5	2.21700E-18	1.1475	1.236
286	2.15650E-18	1.2492	1.3198
286.5	2.03170E-18	1.1835	1.2691
287	1.93970E-18	1.0866	1.1702
287.5	1.81980E-18	1.0261	1.1288
288	1.66780E-18	1.0233	1.146
288.5	1.58700E-18	1.1244	1.2314
289	1.50410E-18	0.93541	1.0505
289.5	1.41300E-18	1.0366	1.1481
290	1.33880E-18	0.83424	0.95661
290.5	1.27640E-18	1.0569	1.1719
291	1.20130E-18	1.2335	1.3529
291.5	1.10580E-18	1.0208	1.1724
292	1.02800E-18	0.79658	0.96888
292.5	9.84390E-19	0.92841	1.0876
293	9.28650E-19	0.7928	0.9674
293.5	8.52200E-19	0.73521	0.93966
294	8.00430E-19	0.81598	1.0088
294.5	7.61810E-19	0.82002	1.0103
295	7.13210E-19	0.6469	0.85747
295.5	6.52850E-19	0.43956	0.68904
296	6.11380E-19	0.50043	0.74144
296.5	5.72300E-19	0.49851	0.73482
297	5.41610E-19	0.49311	0.73508
297.5	4.98210E-19	0.39115	0.65307
298	4.63110E-19	0.42229	0.6873
298.5	4.37360E-19	0.43798	0.69707
299	4.13450E-19	0.46808	0.72924
299.5	3.74900E-19	0.097881	0.4282
300	3.53890E-19	1.9439	2.08
300.5	3.34630E-19	1.7445	1.9025
301	3.06280E-19	1.6534	1.8402
301.5	2.83290E-19	1.6142	1.8044
302	2.72360E-19	1.779	1.9433
302.5	2.52800E-19	1.7209	1.906
303	2.28800E-19	1.6062	1.8241
303.5	2.15310E-19	1.6102	1.8166
304	2.08870E-19	1.753	1.9327
304.5	1.93140E-19	1.5955	1.8051
305	1.72700E-19	1.3502	1.6122
305.5	1.60520E-19	1.4078	1.6684
306	1.55860E-19	1.5297	1.7588
306.5	1.48460E-19	1.4683	1.7014
307	1.33170E-19	1.2307	1.5255
307.5	1.19420E-19	1.1842	1.5138
308	1.17140E-19	1.4851	1.7422
308.5	1.10740E-19	1.4481	1.7167
309	1.05860E-19	1.4248	1.6963
309.5	9.17210E-20	1.1372	1.4908
310	8.54460E-20	1.128	1.4958
310.5	8.23280E-20	1.2466	1.5672
311	7.74340E-20	1.1919	1.5416
311.5	7.53010E-20	1.231	1.5509
312	6.52880E-20	0.98783	1.4047
312.5	5.89340E-20	0.97096	1.4213
313	5.56580E-20	1.1412	1.5555
313.5	5.85410E-20	1.5162	1.7974
314	5.13410E-20	1.0991	1.5127
314.5	4.23010E-20	0.86973	1.4245
315	4.06860E-20	1.167	1.6215
315.5	4.48590E-20	1.6281	1.9004
316	3.78700E-20	1.1435	1.5846
316.5	3.21450E-20	0.9462	1.5051
317	3.21910E-20	1.2501	1.687
317.5	3.37460E-20	1.5699	1.8781
318	2.99730E-20	1.2627	1.6791
318.5	2.31370E-20	0.83204	1.4902
319	1.98810E-20	0.73093	1.4716
319.5	2.51080E-20	1.4828	1.8364
320	2.59230E-20	1.5615	1.8568
320.5	1.92940E-20	0.84773	1.4711
321	1.38060E-20	0.30225	1.2908
321.5	1.32560E-20	0.5621	1.4021
322	1.90560E-20	1.6448	1.9266
322.5	1.87540E-20	1.4034	1.7491
323	1.49220E-20	0.70207	1.3448
323.5	8.86060E-21	-0.164	1.149
324	8.00710E-21	0.041243	1.2169
324.5	1.01650E-20	0.61678	1.297
325	1.41990E-20	1.6627	1.9368
325.5	1.13060E-20	0.91246	1.4486
326	7.41500E-21	0.26162	1.323
326.5	5.00930E-21	-0.23548	1.285
327	5.83850E-21	0.57944	1.4784
