wvl_nm	xsec_213K	a(T)
280	8.98000E-19	-8.61585E-23
280.5	7.06280E-19	5.30915E-22
281	6.99480E-19	1.61768E-22
281.5	9.13820E-19	-3.59329E-22
282	8.36050E-19	2.57622E-22
282.5	6.42730E-19	4.19939E-22
283	7.81100E-19	-2.19939E-22
283.5	8.82900E-19	-8.64024E-23
284	7.01020E-19	3.47317E-22
284.5	7.46070E-19	-7.68293E-24
285	9.38750E-19	-3.21829E-22
285.5	9.11610E-19	1.48841E-22
286	6.83540E-19	5.00427E-22
286.5	7.85680E-19	2.49146E-22
287	9.97320E-19	-3.41829E-22
287.5	7.87230E-19	3.44553E-22
288	6.81530E-19	1.69472E-22
288.5	7.94890E-19	5.89024E-23
289	9.50170E-19	-3.27561E-22
289.5	6.26590E-19	5.37886E-22
290	7.89040E-19	-3.83841E-23
290.5	8.93650E-19	-8.04573E-23
291	8.12270E-19	-1.14756E-22
291.5	5.90560E-19	3.10213E-22
292	8.54780E-19	-2.12134E-22
292.5	9.44100E-19	-3.56829E-22
293	6.09230E-19	5.45915E-22
293.5	5.59740E-19	2.80396E-22
294	9.59720E-19	-4.79939E-22
294.5	8.99620E-19	-6.00610E-24
295	5.24000E-19	5.88049E-22
295.5	4.43180E-19	6.30152E-22
296	9.85790E-19	-4.85274E-22
296.5	7.87300E-19	-2.88659E-22
297	4.09270E-19	6.22896E-22
297.5	3.43780E-19	5.61402E-22
298	9.70720E-19	-7.14329E-22
298.5	7.45930E-19	-1.43598E-23
299	3.67770E-19	3.81341E-22
299.5	2.62230E-19	7.11402E-22
300	1.06521E-18	-1.60291E-21
300.5	6.72510E-19	-1.48455E-22
301	3.07360E-19	5.17102E-22
301.5	2.09300E-19	6.32982E-22
302	7.98695E-19	-6.31437E-22
302.5	6.59545E-19	-3.02743E-22
303	2.73880E-19	5.16647E-22
303.5	1.83165E-19	5.68922E-22
304	5.56765E-19	-2.89976E-22
304.5	6.29195E-19	-2.20084E-22
305	2.55700E-19	5.32982E-22
305.5	1.47525E-19	4.74503E-22
306	3.57530E-19	-6.50299E-23
306.5	6.36840E-19	-6.17533E-22
307	2.94000E-19	2.34826E-22
307.5	1.74135E-19	2.53042E-22
308	2.04470E-19	1.48886E-22
308.5	4.76045E-19	-4.72539E-22
309	3.17015E-19	-1.48144E-23
309.5	1.56160E-19	2.39952E-22
310	1.62665E-19	2.49545E-22
310.5	2.89155E-19	-7.30898E-23
311	2.61900E-19	4.02874E-23
311.5	1.36610E-19	2.39521E-22
312	1.21985E-19	9.43593E-23
312.5	1.35395E-19	8.91377E-23
313	2.30905E-19	-1.19988E-22
313.5	1.38550E-19	1.19665E-22
314	9.04060E-20	1.27749E-22
314.5	9.49200E-20	7.34371E-23
315	1.13100E-19	7.93054E-23
315.5	1.30835E-19	7.31737E-24
316	8.61380E-20	1.33315E-22
316.5	7.12165E-20	8.80707E-23
317	9.01120E-20	3.66707E-24
317.5	7.21900E-20	1.18367E-22
318	8.44730E-20	4.46866E-23
318.5	5.37305E-20	1.10341E-22
319	3.19535E-20	1.46637E-22
319.5	5.29995E-20	5.71916E-23
320	4.59155E-20	6.50240E-23
320.5	2.80890E-20	1.16687E-22
321	3.63250E-20	5.67134E-23
321.5	1.89680E-20	9.54024E-23
322	1.86070E-20	1.14037E-22
322.5	2.50140E-20	6.62500E-23
323	1.39610E-20	8.70732E-23
323.5	7.70850E-21	8.87988E-23
324	1.30310E-20	6.57561E-23
324.5	8.12140E-21	8.66110E-23
325	8.70760E-21	7.82610E-23
325.5	7.46620E-21	6.87720E-23
326	6.18930E-21	6.86732E-23
326.5	2.79100E-21	7.44207E-23
327	3.42680E-21	7.09500E-23
327.5	4.07400E-21	6.41677E-23
328	2.76370E-21	6.29268E-23
328.5	2.50170E-21	6.25134E-23
329	2.60420E-21	6.22323E-23
329.5	2.00040E-21	6.45439E-23
330	1.02840E-21	6.24817E-23
330.5	1.67110E-21	5.58927E-23
331	1.13980E-21	5.39902E-23
331.5	7.29860E-22	5.09773E-23
332	5.55270E-22	5.10943E-23
332.5	1.03980E-21	4.72585E-23
333	7.29920E-22	4.52449E-23
333.5	4.48700E-22	4.45280E-23
334	6.77860E-22	4.35017E-23
334.5	3.95760E-22	4.39785E-23
335	5.09630E-22	4.29923E-23
335.5	4.63170E-22	4.11809E-23
336	4.67860E-22	4.01480E-23
336.5	3.11710E-22	4.21438E-23
337	4.19560E-22	3.74749E-23
337.5	3.32850E-22	4.10323E-23
338	3.52730E-22	3.83570E-23
338.5	4.12770E-22	3.43870E-23
339	3.95310E-22	3.59718E-23
339.5	3.07890E-22	3.53306E-23
340	2.67790E-22	3.51489E-23
340.5	2.39370E-22	3.40016E-23
341	2.46530E-22	3.37313E-23
341.5	2.35030E-22	3.50118E-23
342	2.56320E-22	3.64168E-23
342.5	2.37940E-22	3.43849E-23
343	2.33390E-22	3.47148E-23
343.5	2.81920E-22	3.53424E-23
344	3.22490E-22	3.65855E-23
344.5	2.72420E-22	3.71656E-23
345	2.32570E-22	3.92370E-23
345.5	2.15650E-22	3.66689E-23
346	2.54600E-22	3.83890E-23
346.5	3.52380E-22	3.60685E-23
347	3.84430E-22	3.93057E-23
347.5	3.22610E-22	3.93279E-23
348	2.87740E-22	3.93568E-23
348.5	2.83000E-22	3.74329E-23
349	3.65920E-22	3.89522E-23
349.5	3.32220E-22	3.68937E-23
350	3.46850E-22	3.75689E-23
350.5	3.55900E-22	3.81598E-23
351	3.53470E-22	3.59638E-23
351.5	3.21990E-22	3.51587E-23
352	2.88660E-22	3.49249E-23
352.5	3.81480E-22	3.38356E-23
353	6.02840E-22	3.14288E-23
353.5	5.00430E-22	3.51777E-23
354	3.22680E-22	3.49673E-23
354.5	3.16320E-22	3.48315E-23
355	3.15130E-22	3.53948E-23
355.5	3.03670E-22	3.38272E-23
356	3.04930E-22	3.62813E-23
356.5	2.75470E-22	3.83784E-23
357	3.66760E-22	3.72651E-23
357.5	3.94460E-22	3.54334E-23
358	5.35330E-22	3.36240E-23
358.5	4.14160E-22	3.78456E-23
359	4.62080E-22	3.75356E-23
359.5	5.50670E-22	3.60650E-23
360	3.45620E-22	3.91998E-23
360.5	2.92030E-22	4.04326E-23
361	2.56470E-22	4.05309E-23
361.5	2.62830E-22	4.09411E-23
362	3.48090E-22	4.17306E-23
362.5	3.69490E-22	4.06465E-23
363	4.77590E-22	4.16391E-23
363.5	5.10590E-22	4.33770E-23
364	3.13210E-22	4.58145E-23
364.5	2.79500E-22	4.42134E-23
365	3.31820E-22	4.47949E-23
365.5	4.17960E-22	4.49944E-23
366	3.31790E-22	4.62891E-23
366.5	2.69710E-22	4.51255E-23
367	2.66250E-22	4.73628E-23
367.5	2.31760E-22	4.48261E-23
368	2.31420E-22	4.73302E-23
368.5	2.37330E-22	4.57643E-23
369	3.11970E-22	4.72016E-23
369.5	4.35400E-22	4.92939E-23
370	7.43890E-22	4.89770E-23
370.5	5.19070E-22	4.90113E-23
371	3.13930E-22	4.87935E-23
371.5	2.50840E-22	4.63922E-23
372	2.12860E-22	4.83493E-23
372.5	2.95880E-22	4.82820E-23
373	2.95860E-22	4.80078E-23
373.5	2.74320E-22	4.49168E-23
374	2.98190E-22	4.60465E-23
374.5	4.49940E-22	4.46349E-23
375	6.41870E-22	4.30870E-23
375.5	3.81710E-22	4.52535E-23
376	2.76970E-22	4.69272E-23
376.5	2.42540E-22	4.71641E-23
377	3.04100E-22	4.79073E-23
377.5	3.80830E-22	4.29655E-23
378	3.03760E-22	4.69663E-23
378.5	2.19540E-22	4.96702E-23
379	2.33090E-22	5.09379E-23
379.5	2.01880E-22	5.24771E-23
380	1.93580E-22	5.65112E-23
380.5	1.96060E-22	5.74566E-23
381	1.92420E-22	5.77510E-23
381.5	2.18910E-22	6.31230E-23
382	2.97030E-22	6.15606E-23
382.5	4.65730E-22	5.83143E-23
383	5.01290E-22	5.84599E-23
383.5	2.24480E-22	6.20490E-23
384	1.96110E-22	5.78828E-23
384.5	1.67380E-22	6.02454E-23
385	1.92300E-22	5.90207E-23
385.5	1.76270E-22	5.88870E-23
386	1.58040E-22	5.71580E-23
386.5	1.79090E-22	5.59257E-23
387	2.33560E-22	5.09932E-23
387.5	2.90340E-22	4.84715E-23
388	4.06430E-22	5.07143E-23
388.5	3.36730E-22	4.95277E-23
389	2.35130E-22	5.00594E-23
389.5	1.76690E-22	5.46745E-23
390	1.65460E-22	5.31346E-23
390.5	1.90840E-22	5.42276E-23
391	1.86950E-22	5.37262E-23
391.5	2.20780E-22	5.35271E-23
392	1.92440E-22	5.05068E-23
392.5	2.02470E-22	4.71650E-23
393	2.14910E-22	4.35682E-23
393.5	2.07720E-22	5.34424E-23
394	2.42340E-22	4.98495E-23
394.5	2.75810E-22	4.66365E-23
395	2.52690E-22	4.32904E-23
395.5	3.05200E-22	4.94488E-23
396	2.96975E-22	4.81162E-23
396.5	2.96975E-22	4.81162E-23
397	2.61450E-22	4.23604E-23
397.5	2.46225E-22	3.98936E-23
398	2.37125E-22	3.84192E-23
398.5	2.05800E-22	3.33439E-23
399	2.18820E-22	3.54534E-23
399.5	1.72725E-22	2.79851E-23
400	1.92325E-22	3.11607E-23
401	1.91800E-22	3.10756E-23
402	1.77625E-22	2.87790E-23
403	1.75175E-22	2.83820E-23
404	1.62400E-22	2.63122E-23
405	1.68875E-22	2.73613E-23
406	1.53020E-22	2.47924E-23
407	1.56275E-22	2.53198E-23
408	1.66600E-22	2.69927E-23
409	1.86900E-22	3.02817E-23
410	1.86900E-22	3.02817E-23
411	1.75175E-22	2.83820E-23
412	2.04575E-22	3.31454E-23
413	2.40520E-22	3.89693E-23
414	2.39575E-22	3.88162E-23
415	2.51300E-22	4.07159E-23
416	2.15950E-22	3.49884E-23
417	1.74125E-22	2.82119E-23
418	2.36425E-22	3.83058E-23
419	1.97050E-22	3.19262E-23
420	1.48225E-22	2.40155E-23
