Wvlgth Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar
.2800E+03 .2270E-19 .2448E-25 .2514E-19
.2805E+03 .6381E-18 .1138E-23 .7069E-18
.2810E+03 .3262E-17 .7060E-23 .3614E-17
.2815E+03 .2047E-18 .3147E-21 .2264E-18
.2820E+03 .9113E-18 .3117E-20 .1006E-17
.2825E+03 .2608E-17 .1385E-19 .2874E-17
.2830E+03 .8772E-17 .7178E-19 .9640E-17
.2835E+03 .1457E-16 .1466E-18 .1599E-16
.2840E+03 .2329E-15 .5384E-17 .2521E-15
.2845E+03 .6646E-15 .2184E-16 .7125E-15
.2850E+03 .1362E-14 .6094E-16 .1442E-14
.2855E+03 .8687E-14 .5751E-15 .8999E-14
.2860E+03 .3778E-13 .2933E-14 .3867E-13
.2865E+03 .1892E-12 .1994E-13 .1880E-12
.2870E+03 .5802E-12 .7603E-13 .5603E-12
.2875E+03 .2399E-11 .4102E-12 .2212E-11
.2880E+03 .7686E-11 .2268E-11 .6056E-11
.2885E+03 .3137E-10 .1004E-10 .2387E-10
.2890E+03 .1086E-09 .3762E-10 .7955E-10
.2895E+03 .4218E-09 .1581E-09 .2960E-09
.2900E+03 .1421E-08 .5663E-09 .9605E-09
.2905E+03 .3396E-08 .1422E-08 .2220E-08
.2910E+03 .8723E-08 .3855E-08 .5484E-08
.2915E+03 .3103E-07 .1456E-07 .1859E-07
.2920E+03 .8455E-07 .4132E-07 .4887E-07
.2925E+03 .1340E-06 .6625E-07 .7661E-07
.2930E+03 .3341E-06 .1666E-06 .1896E-06
.2935E+03 .9953E-06 .4953E-06 .5656E-06
.2940E+03 .1814E-05 .8959E-06 .1038E-05
.2945E+03 .3420E-05 .1672E-05 .1977E-05
.2950E+03 .6637E-05 .3164E-05 .3922E-05
.2955E+03 .1856E-04 .8369E-05 .1149E-04
.2960E+03 .3057E-04 .1600E-04 .1651E-04
.2965E+03 .4201E-04 .2208E-04 .2259E-04
.2970E+03 .5600E-04 .2949E-04 .3005E-04
.2975E+03 .1464E-03 .7684E-04 .7886E-04
.2980E+03 .2256E-03 .1177E-03 .1222E-03
.2985E+03 .2229E-03 .1157E-03 .1215E-03
.2990E+03 .4827E-03 .2486E-03 .2650E-03
.2995E+03 .7734E-03 .3896E-03 .4342E-03
.3000E+03 .8349E-03 .4154E-03 .4742E-03
.3005E+03 .1185E-02 .5806E-03 .6824E-03
.3010E+03 .2068E-02 .9814E-03 .1226E-02
.3015E+03 .3190E-02 .1465E-02 .1943E-02
.3020E+03 .2686E-02 .1215E-02 .1656E-02
.3025E+03 .5083E-02 .2346E-02 .3084E-02
.3030E+03 .8729E-02 .4131E-02 .5186E-02
.3035E+03 .1067E-01 .5124E-02 .6257E-02
.3040E+03 .9819E-02 .4739E-02 .5732E-02
.3045E+03 .1386E-01 .6699E-02 .8077E-02
.3050E+03 .1943E-01 .9369E-02 .1135E-01
.3055E+03 .2119E-01 .1021E-01 .1238E-01
.3060E+03 .2014E-01 .9745E-02 .1173E-01
.3065E+03 .2433E-01 .1179E-01 .1415E-01
.3070E+03 .3371E-01 .1624E-01 .1971E-01
.3075E+03 .4200E-01 .2011E-01 .2469E-01
.3080E+03 .4395E-01 .2112E-01 .2575E-01
.3085E+03 .5030E-01 .2417E-01 .2948E-01
.3090E+03 .4811E-01 .2161E-01 .2983E-01
.3095E+03 .5286E-01 .2431E-01 .3215E-01
.3100E+03 .5213E-01 .2427E-01 .3139E-01
.3105E+03 .8372E-01 .3932E-01 .5003E-01
.3110E+03 .1035E+00 .4907E-01 .6132E-01
.3115E+03 .9927E-01 .4743E-01 .5845E-01
.3120E+03 .9578E-01 .4626E-01 .5585E-01
.3125E+03 .1138E+00 .5541E-01 .6593E-01
.3130E+03 .1220E+00 .5976E-01 .7027E-01
.3135E+03 .1201E+00 .5911E-01 .6879E-01
.3140E+03 .1458E+00 .7221E-01 .8304E-01
.3145E+03 .1243E+00 .6180E-01 .7053E-01
.3150E+03 .1624E+00 .8114E-01 .9170E-01
.3155E+03 .1387E+00 .6977E-01 .7781E-01
.3160E+03 .1174E+00 .5921E-01 .6568E-01
.3165E+03 .1640E+00 .8286E-01 .9160E-01
.3170E+03 .2038E+00 .1035E+00 .1133E+00
.3175E+03 .2141E+00 .1094E+00 .1182E+00
.3180E+03 .1640E+00 .8399E-01 .9036E-01
.3185E+03 .1963E+00 .1004E+00 .1084E+00
.3190E+03 .2289E+00 .1171E+00 .1263E+00
.3195E+03 .1926E+00 .9961E-01 .1050E+00
.3200E+03 .2340E+00 .1217E+00 .1268E+00
.3205E+03 .2820E+00 .1462E+00 .1534E+00
.3210E+03 .2428E+00 .1253E+00 .1326E+00
.3215E+03 .2322E+00 .1203E+00 .1264E+00
.3220E+03 .2572E+00 .1352E+00 .1378E+00
.3225E+03 .2236E+00 .1180E+00 .1193E+00
.3230E+03 .2175E+00 .1146E+00 .1162E+00
.3235E+03 .2608E+00 .1342E+00 .1427E+00
.3240E+03 .3034E+00 .1567E+00 .1656E+00
.3245E+03 .3115E+00 .1622E+00 .1685E+00
.3250E+03 .2736E+00 .1466E+00 .1435E+00
.3255E+03 .3453E+00 .1847E+00 .1813E+00
.3260E+03 .4187E+00 .2199E+00 .2243E+00
.3265E+03 .4142E+00 .2173E+00 .2221E+00
.3270E+03 .4153E+00 .2193E+00 .2212E+00
.3275E+03 .4041E+00 .2148E+00 .2136E+00
.3280E+03 .3666E+00 .1969E+00 .1915E+00
.3285E+03 .3776E+00 .2022E+00 .1980E+00
.3290E+03 .4449E+00 .2375E+00 .2340E+00
.3295E+03 .5027E+00 .2688E+00 .2639E+00
.3300E+03 .5097E+00 .2743E+00 .2658E+00
.3305E+03 .4138E+00 .2248E+00 .2133E+00
.3310E+03 .4238E+00 .2316E+00 .2171E+00
.3315E+03 .4271E+00 .2334E+00 .2187E+00
.3320E+03 .4555E+00 .2483E+00 .2338E+00
.3325E+03 .4482E+00 .2446E+00 .2298E+00
.3330E+03 .4490E+00 .2464E+00 .2287E+00
.3335E+03 .4111E+00 .2275E+00 .2072E+00
.3340E+03 .4222E+00 .2348E+00 .2116E+00
.3345E+03 .4819E+00 .2676E+00 .2419E+00
.3350E+03 .4502E+00 .2501E+00 .2259E+00
.3355E+03 .5247E+00 .2848E+00 .2704E+00
.3360E+03 .3634E+00 .1979E+00 .1865E+00
.3365E+03 .4287E+00 .2412E+00 .2117E+00
.3370E+03 .3538E+00 .2003E+00 .1734E+00
.3375E+03 .4413E+00 .2509E+00 .2150E+00
.3380E+03 .4270E+00 .2426E+00 .2083E+00
.3385E+03 .4918E+00 .2745E+00 .2450E+00
.3390E+03 .4872E+00 .2744E+00 .2401E+00
.3395E+03 .4690E+00 .2641E+00 .2312E+00
.3400E+03 .5533E+00 .3187E+00 .2650E+00
.3405E+03 .4988E+00 .2882E+00 .2379E+00
.3410E+03 .4861E+00 .2773E+00 .2357E+00
.3415E+03 .4469E+00 .2579E+00 .2134E+00
.3420E+03 .5344E+00 .3100E+00 .2534E+00
.3425E+03 .5007E+00 .2919E+00 .2358E+00
.3430E+03 .5512E+00 .3211E+00 .2599E+00
.3435E+03 .5195E+00 .3026E+00 .2449E+00
.3440E+03 .3847E+00 .2275E+00 .1777E+00
.3445E+03 .3883E+00 .2259E+00 .1833E+00
.3450E+03 .5147E+00 .3036E+00 .2385E+00
.3455E+03 .5261E+00 .3123E+00 .2415E+00
.3460E+03 .4475E+00 .2670E+00 .2040E+00
.3465E+03 .5072E+00 .3039E+00 .2298E+00
.3470E+03 .5450E+00 .3265E+00 .2468E+00
.3475E+03 .4410E+00 .2646E+00 .1992E+00
.3480E+03 .5033E+00 .3042E+00 .2251E+00
.3485E+03 .5036E+00 .3058E+00 .2236E+00
.3490E+03 .4676E+00 .2850E+00 .2064E+00
.3495E+03 .4633E+00 .2831E+00 .2037E+00
.3500E+03 .5735E+00 .3515E+00 .2510E+00
.3505E+03 .6054E+00 .3721E+00 .2637E+00
.3510E+03 .5412E+00 .3331E+00 .2352E+00
.3515E+03 .5264E+00 .3233E+00 .2295E+00
.3520E+03 .5660E+00 .3497E+00 .2444E+00
.3525E+03 .4420E+00 .2744E+00 .1894E+00
.3530E+03 .5571E+00 .3472E+00 .2373E+00
.3535E+03 .5957E+00 .3726E+00 .2523E+00
.3540E+03 .6185E+00 .3881E+00 .2606E+00
.3545E+03 .6282E+00 .3952E+00 .2635E+00
.3550E+03 .6270E+00 .3953E+00 .2621E+00
.3555E+03 .5672E+00 .3586E+00 .2359E+00
.3560E+03 .5942E+00 .3768E+00 .2460E+00
.3565E+03 .5079E+00 .3229E+00 .2093E+00
.3570E+03 .4201E+00 .2677E+00 .1723E+00
.3575E+03 .5148E+00 .3290E+00 .2102E+00
.3580E+03 .4083E+00 .2616E+00 .1660E+00
.3585E+03 .3493E+00 .2244E+00 .1413E+00
.3590E+03 .4890E+00 .3149E+00 .1970E+00
.3595E+03 .6238E+00 .4024E+00 .2505E+00
.3600E+03 .6619E+00 .4281E+00 .2645E+00
.3605E+03 .5295E+00 .3434E+00 .2106E+00
.3610E+03 .4831E+00 .3141E+00 .1912E+00
.3615E+03 .5566E+00 .3628E+00 .2193E+00
.3620E+03 .4816E+00 .3146E+00 .1890E+00
.3625E+03 .6670E+00 .4367E+00 .2606E+00
.3630E+03 .5994E+00 .3933E+00 .2332E+00
.3635E+03 .5525E+00 .3633E+00 .2141E+00
.3640E+03 .6762E+00 .4456E+00 .2609E+00
.3645E+03 .5784E+00 .3821E+00 .2222E+00
.3650E+03 .5896E+00 .3903E+00 .2255E+00
.3655E+03 .7405E+00 .4913E+00 .2821E+00
.3660E+03 .7851E+00 .5220E+00 .2978E+00
.3665E+03 .7381E+00 .4918E+00 .2788E+00
.3670E+03 .7192E+00 .4802E+00 .2705E+00
.3675E+03 .7466E+00 .4996E+00 .2796E+00
.3680E+03 .6536E+00 .4383E+00 .2437E+00
.3685E+03 .6602E+00 .4436E+00 .2452E+00
.3690E+03 .7138E+00 .4806E+00 .2640E+00
.3695E+03 .7617E+00 .5139E+00 .2805E+00
.3700E+03 .8130E+00 .5497E+00 .2981E+00
.3705E+03 .6316E+00 .4278E+00 .2306E+00
.3710E+03 .6755E+00 .4585E+00 .2457E+00
.3715E+03 .8458E+00 .5753E+00 .3063E+00
.3720E+03 .5619E+00 .3829E+00 .2026E+00
.3725E+03 .6743E+00 .4604E+00 .2421E+00
.3730E+03 .6864E+00 .4696E+00 .2455E+00
.3735E+03 .4470E+00 .3063E+00 .1592E+00
.3740E+03 .6500E+00 .4463E+00 .2306E+00
.3745E+03 .5387E+00 .3706E+00 .1903E+00
.3750E+03 .5241E+00 .3612E+00 .1844E+00
.3755E+03 .7831E+00 .5408E+00 .2744E+00
.3760E+03 .6497E+00 .4495E+00 .2267E+00
.3765E+03 .6739E+00 .4671E+00 .2342E+00
.3770E+03 .7140E+00 .4958E+00 .2471E+00
.3775E+03 .8359E+00 .5815E+00 .2881E+00
.3780E+03 .9069E+00 .6320E+00 .3113E+00
.3785E+03 .8579E+00 .5990E+00 .2932E+00
.3790E+03 .7085E+00 .4957E+00 .2411E+00
.3795E+03 .6478E+00 .4540E+00 .2195E+00
.3800E+03 .6740E+00 .4733E+00 .2274E+00
.3805E+03 .8169E+00 .5747E+00 .2744E+00
.3810E+03 .8191E+00 .5774E+00 .2741E+00
.3815E+03 .6497E+00 .4588E+00 .2165E+00
