Wavelength Global Beam Diffuse Ground
.2800E+03 .3693E-19 .2558E-25 .4091E-19 .3338E-01
.2805E+03 .9579E-18 .1101E-23 .1061E-17 .3348E-01
.2810E+03 .4406E-17 .6171E-23 .4881E-17 .3359E-01
.2815E+03 .2769E-18 .2769E-21 .3065E-18 .3370E-01
.2820E+03 .1277E-17 .2854E-20 .1412E-17 .3381E-01
.2825E+03 .3832E-17 .1335E-19 .4230E-17 .3391E-01
.2830E+03 .1260E-16 .6804E-19 .1389E-16 .3402E-01
.2835E+03 .2204E-16 .1470E-18 .2425E-16 .3413E-01
.2840E+03 .3244E-15 .5014E-17 .3540E-15 .3422E-01
.2845E+03 .9825E-15 .2174E-16 .1065E-14 .3433E-01
.2850E+03 .2978E-14 .9045E-16 .3201E-14 .3443E-01
.2855E+03 .1425E-13 .6474E-15 .1508E-13 .3452E-01
.2860E+03 .4398E-13 .2361E-14 .4616E-13 .3462E-01
.2865E+03 .2511E-12 .1854E-13 .2580E-12 .3471E-01
.2870E+03 .7835E-12 .7285E-13 .7890E-12 .3479E-01
.2875E+03 .2980E-11 .3677E-12 .2903E-11 .3487E-01
.2880E+03 .1266E-10 .2817E-11 .1097E-10 .3486E-01
.2885E+03 .3723E-10 .9098E-11 .3138E-10 .3495E-01
.2890E+03 .1312E-09 .3510E-10 .1073E-09 .3503E-01
.2895E+03 .5260E-09 .1542E-09 .4155E-09 .3510E-01
.2900E+03 .1638E-08 .5162E-09 .1255E-08 .3518E-01
.2905E+03 .3990E-08 .1334E-08 .2973E-08 .3526E-01
.2910E+03 .1096E-07 .3907E-08 .7900E-08 .3534E-01
.2915E+03 .3775E-07 .1447E-07 .2613E-07 .3541E-01
.2920E+03 .1015E-06 .4090E-07 .6814E-07 .3549E-01
.2925E+03 .1724E-06 .7059E-07 .1145E-06 .3559E-01
.2930E+03 .3812E-06 .1580E-06 .2510E-06 .3568E-01
.2935E+03 .1139E-05 .4721E-06 .7493E-06 .3579E-01
.2940E+03 .2299E-05 .9476E-06 .1520E-05 .3590E-01
.2945E+03 .3331E-05 .1600E-05 .1955E-05 .3591E-01
.2950E+03 .6898E-05 .3231E-05 .4137E-05 .3603E-01
.2955E+03 .1814E-04 .8037E-05 .1138E-04 .3617E-01
.2960E+03 .2863E-04 .1476E-04 .1571E-04 .3617E-01
.2965E+03 .4508E-04 .2335E-04 .2462E-04 .3627E-01
.2970E+03 .6402E-04 .3324E-04 .3487E-04 .3637E-01
.2975E+03 .1314E-03 .6802E-04 .7182E-04 .3648E-01
.2980E+03 .2164E-03 .1114E-03 .1189E-03 .3659E-01
.2985E+03 .2791E-03 .1429E-03 .1542E-03 .3670E-01
.2990E+03 .4003E-03 .2035E-03 .2227E-03 .3681E-01
.2995E+03 .7528E-03 .3744E-03 .4279E-03 .3694E-01
.3000E+03 .9295E-03 .4567E-03 .5343E-03 .3705E-01
.3005E+03 .1183E-02 .5725E-03 .6894E-03 .3767E-01
.3010E+03 .1963E-02 .9200E-03 .1176E-02 .3829E-01
.3015E+03 .2913E-02 .1321E-02 .1793E-02 .3892E-01
.3020E+03 .3262E-02 .1458E-02 .2031E-02 .3954E-01
.3025E+03 .4806E-02 .2192E-02 .2944E-02 .3961E-01
.3030E+03 .7983E-02 .3736E-02 .4788E-02 .3967E-01
.3035E+03 .1012E-01 .4807E-02 .5989E-02 .3975E-01
.3040E+03 .1068E-01 .5100E-02 .6292E-02 .3983E-01
.3045E+03 .1352E-01 .6471E-02 .7952E-02 .3985E-01
.3050E+03 .1871E-01 .8938E-02 .1102E-01 .3988E-01
.3055E+03 .2134E-01 .1019E-01 .1257E-01 .3991E-01
.3060E+03 .2118E-01 .1015E-01 .1244E-01 .3994E-01
.3065E+03 .2410E-01 .1157E-01 .1413E-01 .4002E-01
.3070E+03 .3193E-01 .1525E-01 .1881E-01 .4011E-01
.3075E+03 .4101E-01 .1948E-01 .2428E-01 .4020E-01
.3080E+03 .4354E-01 .2076E-01 .2569E-01 .4029E-01
.3085E+03 .4774E-01 .2276E-01 .2817E-01 .4032E-01
.3090E+03 .5007E-01 .2230E-01 .3124E-01 .4040E-01
.3095E+03 .5188E-01 .2368E-01 .3174E-01 .4041E-01
.3100E+03 .6021E-01 .2783E-01 .3647E-01 .4043E-01
.3105E+03 .7694E-01 .3589E-01 .4625E-01 .4048E-01
.3110E+03 .9638E-01 .4540E-01 .5745E-01 .4053E-01
.3115E+03 .9728E-01 .4617E-01 .5762E-01 .4058E-01
.3120E+03 .1060E+00 .5091E-01 .6218E-01 .4062E-01
.3125E+03 .1111E+00 .5378E-01 .6469E-01 .4070E-01
.3130E+03 .1198E+00 .5833E-01 .6932E-01 .4078E-01
