Lambda	Vlambda_CIE_1988+interpolation
359	0
359.5	0
360	0
360.5	0
361	0
361.5	0
362	0
362.5	0
363	0
363.5	0
364	0
364.5	0
365	0
365.5	0
366	0
366.5	0
367	0
367.5	0
368	0
368.5	0
369	0
369.5	0
370	0
370.5	0
371	0
371.5	0
372	0
372.5	0
373	0
373.5	0
374	0
374.5	0
375	0
375.5	0
376	0
376.5	0
377	0
377.5	0
378	0
378.5	0
379	0
379.5	0.0001
380	0.0002
380.5	0.000214105
381	0.00022821
381.5	0.000244021
382	0.00026109
382.5	0.000279498
383	0.00029936
383.5	0.000320776
384	0.00034387
384.5	0.000368754
385	0.00039556
385.5	0.000424407
386	0.00045544
386.5	0.000488794
387	0.00052462
387.5	0.000563063
388	0.00060428
388.5	0.000648422
389	0.00069565
389.5	0.000746264
390	0.0008
390.5	0.000856488
391	0.00091635
391.5	0.000980059
392	0.0010477
392.5	0.001119459
393	0.0011955
393.5	0.001276
394	0.0013611
394.5	0.001450931
395	0.0015457
395.5	0.001651863
396	0.0017508
396.5	0.001805163
397	0.0018776
397.5	0.002043263
398	0.0022273
398.5	0.002367375
399	0.0025011
399.5	0.00265055
400	0.0028
401	0.0031159
402	0.0034576
403	0.0038268
404	0.0042256
405	0.0046562
406	0.0051216
407	0.0056248
408	0.0061695
409	0.0067597
410	0.0074
411	0.0081451
412	0.0089555
413	0.0098322
414	0.010774
415	0.011779
416	0.012842
417	0.013956
418	0.015111
419	0.016297
420	0.0175
421	0.018582
422	0.019645
423	0.020683
424	0.021694
425	0.022678
426	0.023636
427	0.024572
428	0.02549
429	0.026397
430	0.0273
431	0.028335
432	0.029383
433	0.030442
434	0.03151
435	0.032584
436	0.033661
437	0.034735
438	0.035803
439	0.03686
440	0.0379
441	0.038838
442	0.039752
443	0.040646
444	0.041524
445	0.042391
446	0.043252
447	0.044116
448	0.04499
449	0.045881
450	0.0468
451	0.047743
452	0.048733
453	0.049785
454	0.05091
455	0.052122
456	0.053435
457	0.054864
458	0.056424
459	0.058131
460	0.06
461	0.06260197
462	0.06527752
463	0.06804208
464	0.07091109
465	0.0739
466	0.077016
467	0.0802664
468	0.0836668
469	0.0872328
470	0.09098
471	0.09491755
472	0.09904584
473	0.1033674
474	0.1078846
475	0.1126
476	0.117532
477	0.1226744
478	0.1279928
479	0.1334528
480	0.13902
481	0.1446764
482	0.1504693
483	0.1564619
484	0.1627177
485	0.1693
486	0.1762431
487	0.1835581
488	0.1912735
489	0.199418
490	0.20802
491	0.2171199
492	0.2267345
493	0.2368571
494	0.2474812
495	0.2586
496	0.2701849
497	0.2822939
498	0.2950505
499	0.308578
500	0.323
501	0.3384021
502	0.3546858
503	0.3716986
504	0.3892875
505	0.4073
506	0.4256299
507	0.4443096
508	0.4633944
509	0.4829395
510	0.503
511	0.5235693
512	0.544512
513	0.56569
514	0.5869653
515	0.6082
516	0.6293456
517	0.6503068
518	0.6708752
519	0.6908424
520	0.71
521	0.7281852
522	0.7454636
523	0.7619694
