Wvlgth Extraterrestrial_spectrm Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar
.3000E+03 .4579E+00 .9130E-03 .3119E-03 .6590E-03
.3010E+03 .4630E+00 .1943E-02 .6243E-03 .1444E-02
.3020E+03 .4490E+00 .3229E-02 .9853E-03 .2456E-02
.3030E+03 .6120E+00 .7762E-02 .2511E-02 .5752E-02
.3040E+03 .6210E+00 .1035E-01 .3421E-02 .7596E-02
.3050E+03 .6420E+00 .1808E-01 .5968E-02 .1327E-01
.3060E+03 .5650E+00 .2044E-01 .6770E-02 .1498E-01
.3070E+03 .6050E+00 .3078E-01 .1014E-01 .2261E-01
.3080E+03 .6450E+00 .4197E-01 .1379E-01 .3088E-01
.3090E+03 .5800E+00 .4888E-01 .1480E-01 .3730E-01
.3100E+03 .5330E+00 .5822E-01 .1843E-01 .4357E-01
.3110E+03 .7620E+00 .9286E-01 .3006E-01 .6878E-01
.3120E+03 .7061E+00 .1017E+00 .3368E-01 .7452E-01
.3130E+03 .6940E+00 .1145E+00 .3857E-01 .8318E-01
.3140E+03 .7170E+00 .1264E+00 .4318E-01 .9121E-01
.3150E+03 .6845E+00 .1410E+00 .4871E-01 .1011E+00
.3160E+03 .5870E+00 .1270E+00 .4437E-01 .9054E-01
.3170E+03 .7390E+00 .1745E+00 .6153E-01 .1238E+00
.3180E+03 .7236E+00 .1780E+00 .6342E-01 .1256E+00
.3190E+03 .7058E+00 .2037E+00 .7257E-01 .1437E+00
.3200E+03 .7750E+00 .2056E+00 .7473E-01 .1435E+00
.3210E+03 .7655E+00 .2461E+00 .8881E-01 .1725E+00
.3220E+03 .7351E+00 .2195E+00 .8092E-01 .1519E+00
.3230E+03 .6490E+00 .2083E+00 .7711E-01 .1439E+00
.3240E+03 .7405E+00 .2727E+00 .9852E-01 .1909E+00
.3250E+03 .8292E+00 .2725E+00 .1030E+00 .1859E+00
.3260E+03 .9984E+00 .3756E+00 .1387E+00 .2598E+00
.3270E+03 .1005E+01 .3904E+00 .1452E+00 .2689E+00
.3280E+03 .9568E+00 .3469E+00 .1317E+00 .2360E+00
.3290E+03 .1005E+01 .4111E+00 .1551E+00 .2808E+00
.3300E+03 .1110E+01 .4580E+00 .1746E+00 .3108E+00
.3310E+03 .9910E+00 .3923E+00 .1524E+00 .2632E+00
.3320E+03 .9928E+00 .4219E+00 .1636E+00 .2834E+00
.3330E+03 .9639E+00 .4144E+00 .1621E+00 .2768E+00
.3340E+03 .9556E+00 .4007E+00 .1593E+00 .2649E+00
.3350E+03 .1010E+01 .4458E+00 .1772E+00 .2947E+00
.3360E+03 .8898E+00 .4118E+00 .1595E+00 .2765E+00
.3370E+03 .8180E+00 .3592E+00 .1460E+00 .2334E+00
.3380E+03 .9253E+00 .4165E+00 .1700E+00 .2694E+00
.3390E+03 .9686E+00 .4515E+00 .1821E+00 .2937E+00
.3400E+03 .1054E+01 .4811E+00 .1995E+00 .3064E+00
.3410E+03 .9710E+00 .4597E+00 .1881E+00 .2950E+00
.3420E+03 .9957E+00 .4696E+00 .1963E+00 .2963E+00
.3430E+03 .1042E+01 .4960E+00 .2083E+00 .3115E+00
.3440E+03 .8542E+00 .4006E+00 .1713E+00 .2477E+00
