Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Beam_normal_+circumsolar Global_horizn_irradiance Global_tilted_irradiance Zonal_ground_reflectance
.2800E+03 .8200E-01 .4702E-15 .4735E-15 .5462E-15 .5462E-15 .4031E-01
.2805E+03 .9900E-01 .4430E-14 .4461E-14 .5152E-14 .5152E-14 .4032E-01
.2810E+03 .1500E+00 .1514E-13 .1524E-13 .1756E-13 .1756E-13 .4029E-01
.2815E+03 .2120E+00 .1555E-12 .1566E-12 .1805E-12 .1805E-12 .4029E-01
.2820E+03 .2670E+00 .6847E-12 .6893E-12 .7931E-12 .7931E-12 .4027E-01
.2825E+03 .3030E+00 .1802E-11 .1814E-11 .2081E-11 .2081E-11 .4024E-01
.2830E+03 .3250E+00 .4865E-11 .4897E-11 .5604E-11 .5604E-11 .4020E-01
.2835E+03 .3230E+00 .7633E-11 .7684E-11 .8758E-11 .8758E-11 .4016E-01
.2840E+03 .2990E+00 .5507E-10 .5543E-10 .6659E-10 .6659E-10 .4072E-01
.2845E+03 .2502E+00 .1230E-09 .1238E-09 .1529E-09 .1529E-09 .4101E-01
.2850E+03 .1759E+00 .2437E-09 .2453E-09 .3160E-09 .3160E-09 .4143E-01
.2855E+03 .1550E+00 .7239E-09 .7285E-09 .1020E-08 .1020E-08 .4222E-01
.2860E+03 .2420E+00 .1878E-08 .1890E-08 .2768E-08 .2768E-08 .4262E-01
.2865E+03 .3330E+00 .7076E-08 .7120E-08 .1255E-07 .1255E-07 .4409E-01
.2870E+03 .3620E+00 .1632E-07 .1642E-07 .4098E-07 .4098E-07 .4622E-01
.2875E+03 .3390E+00 .4036E-07 .4061E-07 .5543E-07 .5543E-07 .4198E-01
.2880E+03 .3110E+00 .1266E-06 .1274E-06 .1789E-06 .1789E-06 .4224E-01
.2885E+03 .3250E+00 .2581E-06 .2596E-06 .3684E-06 .3684E-06 .4233E-01
.2890E+03 .3920E+00 .6118E-06 .6154E-06 .8838E-06 .8838E-06 .4243E-01
.2895E+03 .4790E+00 .1581E-05 .1590E-05 .2325E-05 .2325E-05 .4259E-01
.2900E+03 .5630E+00 .3407E-05 .3427E-05 .5076E-05 .5076E-05 .4270E-01
.2905E+03 .6060E+00 .6138E-05 .6174E-05 .9225E-05 .9225E-05 .4277E-01
.2910E+03 .6180E+00 .1157E-04 .1164E-04 .1679E-04 .1679E-04 .4246E-01
.2915E+03 .5980E+00 .2424E-04 .2438E-04 .3548E-04 .3548E-04 .4254E-01
.2920E+03 .5670E+00 .4328E-04 .4353E-04 .6353E-04 .6353E-04 .4256E-01
.2925E+03 .5290E+00 .5813E-04 .5846E-04 .8454E-04 .8454E-04 .4248E-01
.2930E+03 .5380E+00 .9332E-04 .9385E-04 .1350E-03 .1350E-03 .4242E-01
.2935E+03 .5490E+00 .1772E-03 .1782E-03 .2566E-03 .2566E-03 .4244E-01
.2940E+03 .5330E+00 .2642E-03 .2657E-03 .3792E-03 .3792E-03 .4235E-01
.2945E+03 .5200E+00 .3556E-03 .3576E-03 .5504E-03 .5504E-03 .4300E-01
.2950E+03 .5270E+00 .5371E-03 .5400E-03 .7347E-03 .7347E-03 .4191E-01
.2955E+03 .5590E+00 .9312E-03 .9363E-03 .1302E-02 .1302E-02 .4211E-01
.2960E+03 .5730E+00 .1347E-02 .1355E-02 .1914E-02 .1914E-02 .4225E-01
.2965E+03 .5210E+00 .1697E-02 .1706E-02 .2450E-02 .2450E-02 .4240E-01
.2970E+03 .4780E+00 .2011E-02 .2022E-02 .2944E-02 .2944E-02 .4252E-01
.2975E+03 .5290E+00 .3182E-02 .3199E-02 .4762E-02 .4762E-02 .4271E-01
.2980E+03 .5280E+00 .4248E-02 .4271E-02 .6482E-02 .6482E-02 .4287E-01
.2985E+03 .4680E+00 .4680E-02 .4704E-02 .7249E-02 .7249E-02 .4300E-01
.2990E+03 .4720E+00 .5774E-02 .5804E-02 .9079E-02 .9079E-02 .4312E-01
.2995E+03 .5010E+00 .8394E-02 .8437E-02 .1357E-01 .1357E-01 .4334E-01
.3000E+03 .4579E+00 .9304E-02 .9352E-02 .1530E-01 .1530E-01 .4348E-01
.3005E+03 .4330E+00 .1034E-01 .1039E-01 .1727E-01 .1727E-01 .4359E-01
.3010E+03 .4630E+00 .1398E-01 .1405E-01 .2388E-01 .2388E-01 .4376E-01
.3015E+03 .4776E+00 .1749E-01 .1758E-01 .2960E-01 .2960E-01 .4369E-01
.3020E+03 .4490E+00 .1811E-01 .1820E-01 .3045E-01 .3045E-01 .4364E-01
.3025E+03 .5080E+00 .2414E-01 .2426E-01 .4028E-01 .4028E-01 .4358E-01
.3030E+03 .6120E+00 .3552E-01 .3569E-01 .5920E-01 .5920E-01 .4357E-01
