Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance RayleighScat_trnsmittnce Ozone_totl_transmittance Trace_gas__transmittance WaterVapor_transmittance Mixed_gas__transmittance Aerosol_tot_transmittnce Global_horizn_irradiance Global_tilted_irradiance
.2800E+03 .6069E-17 .1388E-17 .1993E+00 .4549E-15 .9965E+00 .1000E+01 .9871E+00 .8577E+00 .7324E-17 .2059E-17
.2805E+03 .7492E-16 .1737E-16 .2018E+00 .4563E-14 .9969E+00 .1000E+01 .9928E+00 .8579E+00 .9063E-16 .2554E-16
.2810E+03 .2790E-15 .6333E-16 .2043E+00 .1106E-13 .9970E+00 .1000E+01 .9936E+00 .8582E+00 .3362E-15 .9443E-16
.2815E+03 .3724E-14 .8513E-15 .2068E+00 .1031E-12 .9965E+00 .1000E+01 .9950E+00 .8584E+00 .4493E-14 .1264E-14
.2820E+03 .1903E-13 .4301E-14 .2094E+00 .4124E-12 .9967E+00 .1000E+01 .9965E+00 .8586E+00 .2291E-13 .6433E-14
.2825E+03 .5543E-13 .1226E-13 .2119E+00 .1044E-11 .9972E+00 .1000E+01 .9974E+00 .8589E+00 .6647E-13 .1860E-13
.2830E+03 .1673E-12 .3620E-13 .2145E+00 .2903E-11 .9969E+00 .1000E+01 .9974E+00 .8591E+00 .1998E-12 .5574E-13
.2835E+03 .2778E-12 .5814E-13 .2170E+00 .4793E-11 .9966E+00 .1000E+01 .9976E+00 .8593E+00 .3298E-12 .9156E-13
.2840E+03 .2643E-11 .5557E-12 .2196E+00 .4865E-10 .9970E+00 .1000E+01 .9977E+00 .8595E+00 .3141E-11 .8726E-12
.2845E+03 .6630E-11 .1808E-11 .2221E+00 .1441E-09 .9969E+00 .1000E+01 .9975E+00 .8598E+00 .8293E-11 .2403E-11
.2850E+03 .1498E-10 .4721E-11 .2247E+00 .4578E-09 .9965E+00 .1000E+01 .9980E+00 .8600E+00 .1937E-10 .5759E-11
.2855E+03 .5196E-10 .2037E-10 .2273E+00 .1782E-08 .9965E+00 .1000E+01 .9975E+00 .8602E+00 .7118E-10 .2205E-10
.2860E+03 .1431E-09 .6057E-10 .2299E+00 .3106E-08 .9971E+00 .1000E+01 .9975E+00 .8604E+00 .2005E-09 .6304E-10
.2865E+03 .6138E-09 .3343E-09 .2324E+00 .9607E-08 .9968E+00 .1000E+01 .9941E+00 .8606E+00 .9346E-09 .3090E-09
.2870E+03 .1555E-08 .1073E-08 .2350E+00 .2218E-07 .9964E+00 .1000E+01 .9926E+00 .8609E+00 .2593E-08 .8997E-09
.2875E+03 .4367E-08 .4917E-08 .2376E+00 .6558E-07 .9969E+00 .1000E+01 .9950E+00 .8611E+00 .9188E-08 .3512E-08
