wvl_nm	xsec_HNO2
300.5	7.000E-22
301	1.400E-21
301.5	2.100E-21
302	2.800E-21
302.5	3.500E-21
303	4.200E-21
303.5	4.900E-21
304	5.600E-21
304.5	6.300E-21
305	7.000E-21
305.5	7.600E-21
306	8.200E-21
306.5	8.800E-21
307	9.400E-21
307.5	1.000E-20
308	1.060E-20
308.5	1.120E-20
309	1.180E-20
309.5	1.240E-20
310	1.300E-20
310.5	1.600E-20
311	1.900E-20
311.5	2.350E-20
312	2.800E-20
312.5	2.500E-20
313	2.200E-20
313.5	2.900E-20
314	3.600E-20
314.5	3.300E-20
315	3.000E-20
315.5	2.200E-20
316	1.400E-20
316.5	2.250E-20
317	3.100E-20
317.5	4.350E-20
318	5.600E-20
318.5	4.600E-20
319	3.600E-20
319.5	4.250E-20
320	4.900E-20
320.5	6.350E-20
321	7.800E-20
321.5	6.350E-20
322	4.900E-20
322.5	5.000E-20
323	5.100E-20
323.5	6.100E-20
324	7.100E-20
324.5	6.050E-20
325	5.000E-20
325.5	3.950E-20
326	2.900E-20
326.5	4.750E-20
327	6.600E-20
327.5	9.150E-20
328	1.170E-19
328.5	8.900E-20
329	6.100E-20
329.5	8.600E-20
330	1.110E-19
330.5	1.450E-19
331	1.790E-19
331.5	1.330E-19
332	8.700E-20
332.5	8.150E-20
333	7.600E-20
333.5	8.600E-20
334	9.600E-20
334.5	9.600E-20
335	9.600E-20
335.5	8.400E-20
336	7.200E-20
336.5	6.250E-20
337	5.300E-20
337.5	7.650E-20
338	1.000E-19
338.5	1.440E-19
339	1.880E-19
339.5	1.440E-19
340	1.000E-19
340.5	1.350E-19
341	1.700E-19
341.5	2.780E-19
342	3.860E-19
342.5	2.675E-19
343	1.490E-19
343.5	1.230E-19
344	9.700E-20
344.5	1.030E-19
345	1.090E-19
345.5	1.160E-19
346	1.230E-19
346.5	1.135E-19
347	1.040E-19
347.5	9.750E-20
348	9.100E-20
348.5	8.500E-20
349	7.900E-20
349.5	9.550E-20
350	1.120E-19
350.5	1.620E-19
351	2.120E-19
351.5	1.835E-19
352	1.550E-19
352.5	1.730E-19
353	1.910E-19
353.5	3.860E-19
354	5.810E-19
354.5	4.725E-19
355	3.640E-19
355.5	2.525E-19
356	1.410E-19
356.5	1.290E-19
357	1.170E-19
357.5	1.185E-19
358	1.200E-19
358.5	1.120E-19
359	1.040E-19
359.5	9.700E-20
360	9.000E-20
360.5	8.650E-20
361	8.300E-20
361.5	8.150E-20
362	8.000E-20
362.5	8.800E-20
363	9.600E-20
363.5	1.210E-19
364	1.460E-19
364.5	1.570E-19
365	1.680E-19
365.5	1.755E-19
366	1.830E-19
366.5	2.425E-19
367	3.020E-19
367.5	4.110E-19
368	5.200E-19
368.5	4.540E-19
369	3.880E-19
369.5	2.830E-19
370	1.780E-19
370.5	1.455E-19
371	1.130E-19
371.5	1.065E-19
372	1.000E-19
372.5	8.850E-20
373	7.700E-20
373.5	6.950E-20
374	6.200E-20
374.5	5.750E-20
375	5.300E-20
375.5	5.300E-20
376	5.300E-20
376.5	5.150E-20
377	5.000E-20
377.5	5.400E-20
378	5.800E-20
378.5	6.900E-20
379	8.000E-20
379.5	8.800E-20
380	9.600E-20
380.5	1.045E-19
381	1.130E-19
381.5	1.360E-19
382	1.590E-19
382.5	1.845E-19
383	2.100E-19
383.5	2.255E-19
384	2.410E-19
384.5	2.220E-19
385	2.030E-19
385.5	1.685E-19
386	1.340E-19
386.5	1.120E-19
387	9.000E-20
387.5	7.300E-20
388	5.600E-20
388.5	4.500E-20
389	3.400E-20
389.5	3.050E-20
390	2.700E-20
390.5	2.350E-20
391	2.000E-20
391.5	1.750E-20
392	1.500E-20
392.5	1.300E-20
393	1.100E-20
393.5	8.500E-21
394	6.000E-21
394.5	8.000E-21
395	1.000E-20
395.5	7.000E-21
396	4.000E-21
396.5	2.000E-21
