wvl	Abs_coeff_N2
3645	2.61807E-05
3650	8.20459E-05
3655	9.77612E-05
3660	0.000120464
3665	0.000139676
3670	0.00015889
3675	0.000186841
3680	0.000214797
3685	0.000248001
3690	0.000284707
3695	0.000324918
3700	0.000368636
3705	0.000424611
3710	0.000503356
3715	0.000594395
3720	0.000683729
3725	0.000771356
3730	0.000876566
3735	0.000987105
3740	0.001110009
3745	0.001229484
3750	0.001305076
3755	0.001387738
3760	0.001466919
3765	0.001495081
3770	0.001521487
3775	0.00153029
3780	0.001510924
3785	0.001507403
3790	0.001533811
3795	0.001595445
3800	0.001672958
3805	0.001755794
3810	0.001858072
3815	0.001965705
3820	0.002110496
3825	0.002281928
3830	0.0024553
3835	0.002745817
3840	0.003082998
3845	0.003417271
3850	0.003629191
3855	0.003798555
3860	0.003984153
3865	0.004400682
3870	0.004906141
3875	0.005396866
3880	0.005766269
3885	0.006102112
3890	0.00643317
3895	0.006763043
3900	0.007186266
3905	0.007834894
3910	0.008493272
3915	0.009064043
3920	0.009404457
3925	0.009948656
3930	0.01065959
3935	0.011615759
3940	0.012768618
3945	0.014059619
3950	0.015339278
3955	0.016465291
3960	0.017455823
3965	0.018677181
3970	0.020055873
3975	0.021654854
3980	0.023466153
3985	0.025139156
3990	0.026129628
3995	0.028178864
4000	0.030961659
