wvl_nm	Xsec_O4			
280	10.61498			
280.5	5.91483			
281	5.22322			
281.5	4.06995			
282	2.89977			
282.5	2.12141			
283	2.15288			
283.5	1.97048			
284	1.89524			
284.5	2.04389			
285	1.68196			
285.5	2.08620			
286	2.03750			
286.5	4.88298			
287	6.07221			
287.5	4.06915			
288	4.32180			
288.5	4.28627			
289	4.63196			
289.5	2.60847			
290	0.79920			
290.5	0.74030			
291	0.52949			
291.5	0.55360			
292	0.51145			
292.5	0.42053			
293	0.33313			
293.5	0.32968			
294	0.19646			
294.5	0			
295	0			
295.5	0
296	0
296.5	0
297	0
297.5	0
298	0
298.5	0
299	0
299.5	0
300	0.000083355
300.5	0.00025735
301	0.00051471
301.5	0.00076471
302	0.0010028
302.5	0.0012494
303	0.0014512
303.5	0.0016287
304	0.0017799
304.5	0.0018988
305	0.0019839
305.5	0.0020287
306	0.0020324
306.5	0.0019877
307	0.0018945
307.5	0.0017451
308	0.0015118
308.5	0.0012373
309	0.00089416
309.5	0.00048349
310	0.00016987
310.5	0
311	0
311.5	0
312	0
312.5	0
313	0
313.5	0
314	0
314.5	0
315	0
315.5	0
316	0
316.5	0
317	0
317.5	0
318	0
318.5	0
319	0
319.5	0
320	0.00044928
320.5	0.0020319
321	0.0043429
321.5	0.0069527
322	0.0098838
322.5	0.013113
323	0.016663
323.5	0.020962
324	0.025151
324.5	0.029659
325	0.034463
325.5	0.039585
326	0.045003
326.5	0.050737
327	0.056765
327.5	0.06311
328	0.069749
328.5	0.076702
329	0.084778
329.5	0.092361
330	0.10027
330.5	0.10894
331	0.12035
331.5	0.13508
332	0.14962
332.5	0.16067
333	0.16977
333.5	0.17958
334	0.1903
334.5	0.2035
335	0.21712
335.5	0.23313
336	0.2518
336.5	0.26979
337	0.2841
337.5	0.29623
338	0.30881
338.5	0.32977
339	0.36874
339.5	0.42826
340	0.5078
340.5	0.6042
341	0.7373
341.5	0.87315
342	1.0437
342.5	1.1575
343	1.2332
343.5	1.2612
344	1.2226
344.5	1.0471
345	0.78815
345.5	0.56319
346	0.41648
