Gueymard_2002_unpublished	
1367	
2800	0.082
2805	0.099
2810	0.15
2815	0.212
2820	0.267
2825	0.303
2830	0.325
2835	0.323
2840	0.299
2845	0.25024
2850	0.17589
2855	0.155
2860	0.242
2865	0.333
2870	0.362
2875	0.339
2880	0.311
2885	0.325
2890	0.392
2895	0.479
2900	0.563
2905	0.606
2910	0.618
2915	0.598
2920	0.567
2925	0.529
2930	0.538
2935	0.549
2940	0.533
2945	0.52
2950	0.527
2955	0.559
2960	0.573
2965	0.521
2970	0.478
2975	0.529
2980	0.528
2985	0.468
2990	0.472
2995	0.501
3000	0.45794
3005	0.433
3010	0.463
3015	0.47756
3020	0.449
3025	0.508
3030	0.612
3035	0.646
3040	0.621
3045	0.626
3050	0.642
3055	0.611
3060	0.565
3065	0.575
3070	0.605
3075	0.631
3080	0.645
3085	0.6405
3090	0.58
3095	0.5
3100	0.533
3105	0.652
3110	0.762
3115	0.744
3120	0.70615
3125	0.676
3130	0.694
3135	0.724
3140	0.717
3145	0.676
3150	0.6845
3155	0.632
3160	0.587
3165	0.649
3170	0.739
3175	0.80189
3180	0.72361
3185	0.68
3190	0.7058
3195	0.73318
3200	0.775
3205	0.826
3210	0.76546
3215	0.719
3220	0.73513
3225	0.71152
3230	0.649
3235	0.68138
3240	0.7405
3245	0.788
3250	0.82918
3255	0.91377
3260	0.99835
3265	1.01659
3270	1.00466
3275	0.98679
3280	0.95681
3285	0.934
3290	1.00459
3295	1.09581
3300	1.10975
3305	1.04288
3310	0.991
3315	0.99396
3320	0.99277
3325	0.98003
3330	0.96394
3335	0.937
3340	0.95557
3345	0.98862
3350	1.00972
3355	0.97453
3360	0.88979
3365	0.829
3370	0.818
3375	0.87732
3380	0.92529
3385	0.95783
3390	0.96863
3395	0.989
3400	1.0544
3405	1.0463
3410	0.971
3415	0.959
3420	0.9957
3425	1.02774
3430	1.04175
3435	0.98301
3440	0.85416
3445	0.813
3450	0.91583
3455	0.97021
3460	0.94269
3465	0.95594
3470	0.96954
3475	0.93318
3480	0.92472
3485	0.93721
3490	0.899
3495	0.91969
3500	1.0122
3505	1.08492
3510	1.05345
3515	1.01286
3520	0.98383
3525	0.926
3530	0.98012
3535	1.0752
3540	1.1346
3545	1.144
3550	1.14058
3555	1.09638
3560	1.025
3565	0.95914
3570	0.842
3575	0.85015
3580	0.78916
3585	0.731
3590	0.85805
3595	1.0321
3600	1.089
3605	1.02651
3610	0.9415
3615	0.918
3620	0.958
3625	1.045
3630	1.07096
3635	1.038
3640	1.07164
3645	1.059
3650	1.097
3655	1.20415
3660	1.286
3665	1.28432
3670	1.25772
3675	1.23168
3680	1.157
3685	1.14588
3690	1.19438
3695	1.27946
3700	1.2934
3705	1.166
3710	1.18112
3715	1.2249
3720	1.14437
3725	1.08758
3730	1.04447
3735	0.939
3740	0.93442
3745	0.925
3750	0.985
3755	1.08739
3760	1.124
3765	1.104
3770	1.18135
3775	1.31489
3780	1.41438
3785	1.37649
3790	1.22603
3795	1.098
3800	1.152
3805	1.231
3810	1.249
3815	1.12245
3820	0.95426
3825	0.82313
3830	0.73603
3835	0.71095
3840	0.821
3845	0.9862
3850	1.08018
3855	1.02961
3860	0.99113
3865	1.02789
3870	1.0354
3875	1.0186
3880	1.00674
3885	0.99743
3890	1.081
3895	1.19577
3900	1.25193
3905	1.26015
3910	1.3322
3915	1.349
3920	1.24
3925	1.03121
3930	0.745
3935	0.5912
3940	0.76675
3945	1.05568
3950	1.245
3955	1.32448
3960	1.16258
3965	0.8433
3970	0.652
3975	0.96142
3980	1.301
3985	1.53423
3990	1.62452
3995	1.67169
4000	1.68854
4010	1.752
4020	1.814
4030	1.74
4040	1.763
4050	1.715
4060	1.666
4070	1.63
4080	1.699
4090	1.809
4100	1.537
4110	1.715
4120	1.816
4130	1.73921
4140	1.71442
4150	1.7688
4160	1.815
4170	1.766
4180	1.685
4190	1.749
4200	1.599
4210	1.811
4220	1.782
4230	1.721
4240	1.708
4250	1.755
4260	1.699
4270	1.638
4280	1.651
4290	1.523
4300	1.212
4310	1.099
4320	1.822
4330	1.69129
4340	1.56
4350	1.709
4360	1.868
4370	1.9
4380	1.663
4390	1.601
4400	1.83
4410	1.799
4420	1.922
4430	1.949
4440	1.89409
4450	1.965
