ASTM_E490_interpolated	
1366.1	
2800	0.0901
2805	0.0946
2810	0.1515
2815	0.2083
2820	0.2512
2825	0.2941
2830	0.3038
2835	0.3135
2840	0.2744
2845	0.2353
2850	0.1992
2855	0.1631
2860	0.2429
2865	0.3227
2870	0.3295
2875	0.3363
2880	0.3293
2885	0.3222
2890	0.3975
2895	0.4727
2900	0.5370
2905	0.6013
2910	0.5911
2915	0.5808
2920	0.5514
2925	0.5219
2930	0.5287
2935	0.5355
2940	0.5222
2945	0.5088
2950	0.5310
2955	0.5532
2960	0.5314
2965	0.5096
2970	0.5085
2975	0.5073
2980	0.4864
2985	0.4655
2990	0.4748
2995	0.4840
3000	0.4520
3005	0.4200
3010	0.4378
3015	0.4555
3020	0.4723
3025	0.4890
3030	0.5548
3035	0.6206
3040	0.6116
3045	0.6025
3050	0.5987
3055	0.5948
3060	0.5753
3065	0.5557
3070	0.5854
3075	0.6150
3080	0.6132
3085	0.6114
3090	0.5540
3095	0.4965
3100	0.5595
3105	0.6224
3110	0.6758
3115	0.7292
3120	0.6926
3125	0.6559
3130	0.6779
3135	0.6999
3140	0.6814
3145	0.6629
3150	0.6480
3155	0.6330
3160	0.6331
3165	0.6332
3170	0.7036
3175	0.7739
3180	0.7194
3185	0.6649
3190	0.6877
3195	0.7105
3200	0.7578
3205	0.8051
3210	0.7523
3215	0.6995
3220	0.6941
3225	0.6886
3230	0.6750
3235	0.6613
3240	0.7111
3245	0.7608
3250	0.8183
3255	0.8758
3260	0.9277
3265	0.9795
3270	0.9661
3275	0.9527
3280	0.9352
3285	0.9176
3290	0.9893
3295	1.0610
3300	1.0385
3305	1.0160
3310	0.9909
3315	0.9657
3320	0.9603
3325	0.9549
3330	0.9383
3335	0.9216
3340	0.9403
3345	0.9589
3350	0.9512
3355	0.9434
3360	0.8765
3365	0.8095
3370	0.8257
3375	0.8418
3380	0.8817
3385	0.9215
3390	0.9398
3395	0.9581
3400	0.9826
3405	1.0070
3410	0.9654
3415	0.9238
3420	0.9584
3425	0.9930
3430	0.9718
3435	0.9506
3440	0.8732
3445	0.7957
3450	0.8675
3455	0.9392
3460	0.9328
3465	0.9264
3470	0.9141
3475	0.9017
3480	0.8995
3485	0.8972
3490	0.8935
3495	0.8898
3500	0.9699
3505	1.0500
3510	1.0148
3515	0.9795
3520	0.9437
3525	0.9079
3530	0.9705
3535	1.0330
3540	1.0720
3545	1.1110
3550	1.0780
3555	1.0450
3560	0.9787
3565	0.9123
3570	0.8542
3575	0.7960
3580	0.7448
3585	0.6936
3590	0.8424
3595	0.9911
3600	0.9810
3605	0.9708
3610	0.9245
3615	0.8781
3620	0.9380
3625	0.9978
3630	0.9974
3635	0.9969
3640	1.0050
3645	1.0130
3650	1.0825
3655	1.1520
3660	1.1925
3665	1.2330
3670	1.2065
3675	1.1800
3680	1.1405
3685	1.1010
3690	1.1635
3695	1.2260
3700	1.1825
3705	1.1390
3710	1.1570
3715	1.1750
3720	1.1145
3725	1.0540
3730	0.9871
3735	0.9202
3740	0.9103
3745	0.9004
3750	0.9812
3755	1.0620
3760	1.0735
3765	1.0850
3770	1.1835
3775	1.2820
3780	1.3045
3785	1.3270
3790	1.1965
3795	1.0660
3800	1.1340
3805	1.2020
3810	1.1420
3815	1.0820
3820	0.9367
3825	0.7913
3830	0.7377
3835	0.6841
3840	0.8219
3845	0.9597
3850	0.9839
3855	1.0080
3860	1.0075
3865	1.0070
3870	1.0055
3875	1.0040
3880	0.9942
3885	0.9843
3890	1.0791
3895	1.1740
3900	1.2105
3905	1.2470
3910	1.2945
3915	1.3420
3920	1.1805
3925	1.0190
3930	0.8007
3935	0.5823
3940	0.8042
3945	1.0260
3950	1.1700
3955	1.3140
3960	1.0842
3965	0.8545
3970	0.8917
3975	0.9288
3980	1.2254
3985	1.5220
3990	1.5925
3995	1.6630
4000	1.6725
4010	1.7140
4020	1.7525
4030	1.7215
4040	1.6790
4050	1.6705
4060	1.6280
4070	1.6085
4080	1.6815
4090	1.7250
4100	1.6235
4110	1.6745
4120	1.8030
4130	1.7725
4140	1.7465
4150	1.7355
4160	1.7880
4170	1.7535
4180	1.6745
4190	1.6925
4200	1.7290
4210	1.7770
4220	1.6895
4230	1.6465
4240	1.7390
4250	1.7310
4260	1.6965
4270	1.6335
4280	1.5780
4290	1.5310
4300	1.3050
4310	1.4105
4320	1.6660
4330	1.6885
4340	1.7005
4350	1.6965
4360	1.8260
4370	1.8675
4380	1.6865
4390	1.6960
4400	1.7690
4410	1.8220
4420	1.9555
4430	1.9445
4440	1.9410
4450	1.8970
4460	1.8560
4470	1.9840
4480	2.0250
4490	2.0000
4500	2.0855
4510	2.1265
4520	2.0250
4530	1.9555
4540	1.9745
4550	2.0065
4560	2.0555
4570	2.0885
4580	2.0355
4590	1.9900
4600	2.0245
4610	2.0475
4620	2.0795
4630	2.0720
4640	2.0080
4650	2.0090
4660	1.9815
4670	1.9680
4680	2.0045
4690	1.9920
4700	1.9335
4710	1.9475
4720	2.0295
4730	2.0160
4740	2.0210
4750	2.0335
4760	1.9860
4770	2.0155
4780	2.0420
4790	2.0425
4800	2.0555
4810	2.0625
4820	2.0565
4830	2.0210
4840	1.9940
4850	1.8995
4860	1.7275
4870	1.7275
4880	1.8720
4890	1.9370
4900	1.9835
4910	1.9515
4920	1.8960
4930	1.8920
4940	1.9730
4950	1.9920
4960	1.9715
4970	2.0175
4980	1.9420
4990	1.9180
5000	1.9135
5010	1.8345
5020	1.8530
5030	1.9140
5040	1.9015
5050	1.9310
5060	1.9770
5070	1.9335
5080	1.9125
5090	1.9175
5100	1.9315
5110	1.9720
5120	1.9320
5130	1.8640
5140	1.8675
5150	1.8870
5160	1.7845
5170	1.6975
5180	1.6900
5190	1.7410
5200	1.8295
5210	1.8685
5220	1.8645
5230	1.8585
5240	1.9260
5250	1.9440
5260	1.8020
5270	1.7510
5280	1.8625
5290	1.9075
5300	1.9350
5310	1.9575
5320	1.8665
5330	1.8465
5340	1.8905
5350	1.9240
5360	1.9305
5370	1.8765
5380	1.8930
5390	1.8680
5400	1.8005
5410	1.8250
5420	1.8530
5430	1.8520
5440	1.8790
5450	1.8900
5460	1.8900
5470	1.8560
5480	1.8480
5490	1.8790
5500	1.8785
5510	1.8665
5520	1.8585
5530	1.8640
5540	1.8900
5550	1.8975
5560	1.8590
5570	1.8335
5580	1.8165
5590	1.7975
5600	1.8255
5610	1.8335
5620	1.8370
5630	1.8555
5640	1.8575
5650	1.8260
5660	1.8135
5670	1.8580
5680	1.8485
5690	1.8350
5700	1.8145
5710	1.7960
5720	1.8575
5730	1.8840
5740	1.8715
5750	1.8485
5760	1.8380
5770	1.8515
5780	1.8200
5790	1.8055
5800	1.8330
5810	1.8455
5820	1.8630
5830	1.8650
5840	1.8585
5850	1.8215
5860	1.8065
5870	1.8390
5880	1.7990
5890	1.6810
5900	1.7125
5910	1.8000
5920	1.7975
5930	1.8020
5940	1.7845
5950	1.7775
5960	1.7935
5970	1.7925
5980	1.7685
5990	1.7655
6000	1.7600
6010	1.7485
6020	1.7350
6030	1.7530
6040	1.7815
6050	1.7695
6060	1.7610
6070	1.7580
6080	1.7500
6090	1.7435
6100	1.7235
6110	1.7245
6120	1.7255
6130	1.6940
6140	1.6980
6150	1.7130
6160	1.6610
6170	1.6580
6180	1.7155
6190	1.7155
6200	1.7205
6210	1.7120
6220	1.7015
6230	1.6895
6240	1.6610
6250	1.6440
6260	1.6645
6270	1.6970
6280	1.6970
6290	1.6870
6300	1.6643
6310	1.6390
6320	1.6450
6330	1.6510
6340	1.6535
6350	1.6560
6360	1.6550
6370	1.6540
6380	1.6525
6390	1.6510
6400	1.6325
6410	1.6140
6420	1.6175
6430	1.6210
6440	1.6240
6450	1.6270
6460	1.6150
6470	1.6030
6480	1.5805
6490	1.5580
6500	1.5820
6510	1.6060
6520	1.6025
6530	1.5990
6540	1.5655
6550	1.5320
6560	1.4580
6570	1.3840
6580	1.4665
6590	1.5490
6600	1.5600
6610	1.5710
6620	1.5630
6630	1.5550
6640	1.5575
6650	1.5600
6660	1.5475
6670	1.5350
6680	1.5405
6690	1.5460
6700	1.5310
6710	1.5160
6720	1.5185
6730	1.5210
6740	1.5155
6750	1.5100
6760	1.5090
6770	1.5080
6780	1.5030
6790	1.4980
6800	1.4950
6810	1.4920
6820	1.4855
6830	1.4790
6840	1.4670
6850	1.4550
6860	1.4610
6870	1.4670
6880	1.4640
6890	1.4610
6900	1.4545
6910	1.4480
6920	1.4480
6930	1.4480
6940	1.4420
6950	1.4360
6960	1.4260
6970	1.4160
6980	1.4205
6990	1.4250
7000	1.4055
7010	1.3860
7020	1.3870
7030	1.3880
7040	1.4015
7050	1.4150
7060	1.4075
7070	1.4000
7080	1.3920
7090	1.3840
7100	1.3845
7110	1.3850
7120	1.3790
7130	1.3730
7140	1.3695
7150	1.3660
7160	1.3600
7170	1.3540
7180	1.3410
7190	1.3280
7200	1.3295
7210	1.3310
7220	1.3395
7230	1.3480
7240	1.3490
7250	1.3500
7260	1.3480
7270	1.3460
7280	1.3325
7290	1.3190
7300	1.3225
7310	1.3260
7320	1.3220
7330	1.3180
7340	1.3135
7350	1.3090
7360	1.3080
7370	1.3070
7380	1.2925
7390	1.2780
7400	1.2680
7410	1.2580
7420	1.2720
7430	1.2860
7440	1.2825
7450	1.2790
7460	1.2810
7470	1.2830
7480	1.2765
7490	1.2700
7500	1.2660
7510	1.2620
7520	1.2605
7530	1.2590
7540	1.2570
7550	1.2550
7560	1.2515
7570	1.2480
7580	1.2440
7590	1.2400
7600	1.2385
7610	1.2370
7620	1.2390
7630	1.2410
7640	1.2310
7650	1.2210
7660	1.2030
7670	1.1850
7680	1.1940
7690	1.2030
7700	1.2035
7710	1.2040
7720	1.2060
7730	1.2080
7740	1.1980
7750	1.1880
7760	1.1920
7770	1.1960
7780	1.1915
7790	1.1870
7800	1.1870
7810	1.1870
7820	1.1815
7830	1.1760
7840	1.1780
7850	1.1800
7860	1.1785
7870	1.1770
7880	1.1755
7890	1.1740
7900	1.1660
7910	1.1580
7920	1.1505
7930	1.1430
7940	1.1385
7950	1.1340
7960	1.1430
7970	1.1520
7980	1.1435
7990	1.1350
8000	1.1385
8010	1.1420
8020	1.1355
8030	1.1290
8040	1.1220
8050	1.1150
8060	1.1175
8070	1.1200
8080	1.1075
8090	1.0950
8100	1.1045
8110	1.1140
8120	1.1145
8130	1.1150
8140	1.1110
8150	1.1070
8160	1.1055
8170	1.1040
8180	1.0835
8190	1.0630
8200	1.0715
8210	1.0800
8220	1.0765
8230	1.0730
8240	1.0740
8250	1.0750
8260	1.0800
8270	1.0805
8280	1.0810
8290	1.0720
8300	1.0630
8310	1.0570
8320	1.0510
8330	1.0460
8340	1.0410
8350	1.0465
8360	1.0520
8370	1.0480
8380	1.0440
8390	1.0420
8400	1.0400
8410	1.0380
8420	1.0360
8430	1.0300
8440	1.0240
8450	1.0260
8460	1.0280
8470	1.0255
8480	1.0230
8490	0.9945
8500	0.9660
8510	0.9811
8520	0.9961
8530	0.9371
8540	0.8780
8550	0.9268
8560	0.9755
8570	0.9903
8580	1.0050
8590	1.0009
8600	0.9969
8610	0.9959
8620	0.9949
8630	0.9971
8640	0.9993
8650	0.9428
8660	0.8862
8670	0.9129
8680	0.9395
8690	0.9571
8700	0.9747
