Gueymard_2004	
1366.1	
2800	0.07846
2805	0.1023
2810	0.1716
2815	0.241
2820	0.2916
2825	0.3142
2830	0.3429
2835	0.3223
2840	0.3211
2845	0.2514
2850	0.1185
2855	0.1377
2860	0.3006
2865	0.3581
2870	0.3778
2875	0.3782
2880	0.2504
2885	0.3588
2890	0.4201
2895	0.4911
2900	0.6177
2905	0.6459
2910	0.6097
2915	0.602
2920	0.5728
2925	0.4965
2930	0.5672
2935	0.576
2940	0.5039
2945	0.5434
2950	0.516
2955	0.5821
2960	0.621
2965	0.4926
2970	0.4241
2975	0.5976
2980	0.5577
2985	0.3788
2990	0.5767
2995	0.5214
3000	0.4166
3005	0.4391
3010	0.4939
3015	0.5295
3020	0.3743
3025	0.5437
3030	0.6767
3035	0.6886
3040	0.5771
3045	0.6481
3050	0.6729
3055	0.6124
3060	0.5422
3065	0.5857
3070	0.6442
3075	0.6515
3080	0.6563
3085	0.6802
3090	0.5619
3095	0.5133
3100	0.4648
3105	0.7144
3110	0.8236
3115	0.7643
3120	0.6417
3125	0.6965
3130	0.711
3135	0.7252
3140	0.7931
3145	0.5927
3150	0.7536
3155	0.68
3160	0.518
3165	0.6628
3170	0.8224
3175	0.8798
3180	0.6342
3185	0.682
3190	0.753
3195	0.6829
3200	0.8363
3205	0.9076
3210	0.7151
3215	0.6749
3220	0.8146
3225	0.7013
3230	0.6399
3235	0.6829
3240	0.7812
3245	0.8264
3250	0.784
3255	0.9411
3260	1.052
3265	0.9968
3270	1.009
3275	0.9959
3280	0.9529
3285	0.9132
3290	1.024
3295	1.139
3300	1.162
3305	0.9725
3310	1.005
3315	0.9815
3320	1.006
3325	0.9721
3330	0.979
3335	0.9164
3340	0.9417
3345	1.04
3350	0.9537
3355	1.072
3360	0.7396
3365	0.9049
3370	0.7526
3375	0.9392
3380	0.8864
3385	0.9904
3390	0.9808
3395	0.938
3400	1.133
3405	1.016
3410	0.964
3415	0.888
3420	1.06
3425	0.9903
3430	1.084
3435	1.017
3440	0.7664
3445	0.7515
3450	0.9981
3455	1.018
3460	0.864
3465	0.9766
3470	1.044
3475	0.8414
3480	0.9597
3485	0.9591
3490	0.8876
3495	0.876
3500	1.081
3505	1.138
3510	1.014
3515	0.9808
3520	1.053
3525	0.821
3530	1.032
3535	1.102
3540	1.143
3545	1.158
3550	1.152
3555	1.038
3560	1.084
3565	0.9246
3570	0.7635
3575	0.9338
3580	0.7391
3585	0.6309
3590	0.8815
3595	1.122
3600	1.188
3605	0.9484
3610	0.8627
3615	0.9897
3620	0.8526
3625	1.176
3630	1.053
3635	0.9672
3640	1.18
3645	1.007
3650	1.024
3655	1.283
3660	1.356
3665	1.271
3670	1.236
3675	1.281
3680	1.119
3685	1.127
3690	1.215
3695	1.293
3700	1.376
3705	1.066
3710	1.137
3715	1.421
3720	0.9422
3725	1.128
3730	1.145
3735	0.7436
3740	1.079
3745	0.8919
3750	0.866
3755	1.292
3760	1.07
3765	1.108
3770	1.171
3775	1.368
3780	1.482
3785	1.4
3790	1.155
3795	1.055
3800	1.096
3805	1.325
3810	1.325
3815	1.048
3820	0.9288
3825	0.7899
3830	0.73
3835	0.702
3840	0.7734
3845	1.136
3850	1.125
3855	1.046
3860	0.8946
3865	1.173
3870	0.974
3875	1.093
3880	1.008
3885	0.9949
3890	1.073
3895	1.298
3900	1.301
3905	1.196
3910	1.406
3915	1.433
3920	1.206
3925	1.078
3930	0.5989
3935	0.4347
3940	0.8837
3945	1.122
3950	1.368
3955	1.389
3960	1.203
3965	0.7019
3970	0.5261
3975	1.069
3980	1.497
3985	1.546
3990	1.67
3995	1.663
4000	1.727
4010	1.769
4020	1.861
4030	1.763
4040	1.733
4050	1.73
4060	1.697
4070	1.665
4080	1.729
4090	1.847
4100	1.61
4110	1.74
4120	1.863
4130	1.816
4140	1.834
4150	1.834
4160	1.861
4170	1.813
4180	1.777
4190	1.797
4200	1.787
4210	1.866
4220	1.771
4230	1.727
4240	1.825
4250	1.818
4260	1.765
4270	1.73
4280	1.684
4290	1.59
4300	1.389
4310	1.377
4320	1.773
4330	1.78
4340	1.652
4350	1.725
4360	1.938
4370	1.906
4380	1.732
4390	1.795
4400	1.848
4410	1.91
4420	2.046
4430	1.995
4440	2.034
4450	1.991
4460	1.894
4470	2.042
4480	2.077
4490	2.077
4500	2.131
4510	2.208
4520	2.125
4530	1.996
4540	2.079
4550	2.091
4560	2.138
4570	2.172
4580	2.1
4590	2.086
4600	2.092
4610	2.138
4620	2.15
4630	2.136
4640	2.095
4650	2.063
4660	2.079
4670	2.043
4680	2.066
4690	2.076
4700	2.01
4710	2.006
4720	2.114
4730	2.087
4740	2.094
4750	2.116
4760	2.058
4770	2.067
4780	2.121
4790	2.103
4800	2.102
4810	2.135
4820	2.14
4830	2.108
4840	2.062
4850	1.962
4860	1.712
4870	1.791
4880	1.965
4890	1.973
4900	2.072
4910	2.033
4920	1.919
4930	1.981
4940	2
4950	2.016
4960	2.028
4970	2.059
4980	1.962
4990	1.988
5000	1.932
5010	1.899
5020	1.878
5030	1.961
5040	1.933
5050	1.983
5060	2.048
5070	1.948
5080	1.881
5090	1.929
5100	1.915
5110	1.962
5120	1.981
5130	1.874
5140	1.859
5150	1.84
5160	1.836
5170	1.63
5180	1.714
5190	1.798
5200	1.864
5210	1.882
5220	1.885
5230	1.852
5240	1.921
5250	1.948
5260	1.862
5270	1.758
5280	1.862
5290	1.965
5300	1.938
5310	1.968
5320	1.901
5330	1.845
5340	1.898
5350	1.937
5360	1.953
5370	1.874
5380	1.906
5390	1.89
5400	1.813
5410	1.831
5420	1.891
5430	1.866
5440	1.903
5450	1.896
5460	1.909
5470	1.904
5480	1.879
5490	1.883
5500	1.905
5510	1.881
5520	1.894
5530	1.861
5540	1.906
5550	1.911
5560	1.887
5570	1.83
5580	1.819
5590	1.788
5600	1.812
5610	1.838
5620	1.828
5630	1.882
5640	1.834
5650	1.821
5660	1.797
5670	1.835
5680	1.829
5690	1.807
5700	1.803
5710	1.786
5720	1.843
5730	1.865
5740	1.862
5750	1.832
5760	1.815
5770	1.833
5780	1.8
5790	1.798
5800	1.818
5810	1.817
5820	1.842
5830	1.839
5840	1.85
5850	1.802
5860	1.765
5870	1.81
5880	1.793
5890	1.646
5900	1.716
5910	1.782
5920	1.78
5930	1.784
5940	1.781
5950	1.752
5960	1.779
5970	1.767
5980	1.751
5990	1.746
6000	1.737
6010	1.715
6020	1.702
6030	1.727
6040	1.754
6050	1.743
6060	1.732
6070	1.745
6080	1.722
6090	1.722
6100	1.706
6110	1.713
6120	1.706
6130	1.683
6140	1.657
6150	1.69
6160	1.632
6170	1.627
6180	1.688
6190	1.67
6200	1.681
6210	1.686
6220	1.67
6230	1.648
6240	1.617
6250	1.613
6260	1.638
6270	1.665
6280	1.663
6290	1.663
6300	1.628
6310	1.629
6320	1.604
6330	1.638
6340	1.611
6350	1.631
6360	1.603
6370	1.625
6380	1.633
6390	1.611
6400	1.591
6410	1.587
6420	1.576
6430	1.597
6440	1.588
6450	1.593
6460	1.569
6470	1.577
6480	1.591
6490	1.56
6500	1.529
6510	1.586
6520	1.568
6530	1.566
6540	1.543
6550	1.509
6560	1.321
6570	1.356
6580	1.509
6590	1.513
6600	1.517
6610	1.527
6620	1.537
6630	1.504
6640	1.512
6650	1.506
6660	1.504
6670	1.499
6680	1.496
6690	1.517
6700	1.509
6710	1.507
6720	1.493
6730	1.514
6740	1.507
6750	1.492
6760	1.501
6770	1.485
6780	1.488
6790	1.463
6800	1.474
6810	1.464
6820	1.462
6830	1.459
6840	1.452
6850	1.463
6860	1.456
6870	1.474
6880	1.457
6890	1.454
6900	1.444
6910	1.433
6920	1.42
6930	1.422
6940	1.426
6950	1.426
6960	1.438
6970	1.432
6980	1.412
6990	1.431
7000	1.413
7010	1.41
7020	1.402
7030	1.408
7040	1.422
7050	1.424
7060	1.41
7070	1.407
7080	1.41
7090	1.396
7100	1.403
7110	1.396
7120	1.385
7130	1.377
7140	1.382
7150	1.356
7160	1.363
7170	1.382
7180	1.36
7190	1.335
7200	1.361
7210	1.346
7220	1.345
7230	1.357
7240	1.346
7250	1.337
7260	1.339
7270	1.348
7280	1.324
7290	1.297
7300	1.329
7310	1.319
7320	1.322
7330	1.318
7340	1.332
7350	1.313
7360	1.307
7370	1.317
7380	1.295
7390	1.273
7400	1.292
7410	1.271
7420	1.265
7430	1.295
7440	1.287
7450	1.284
7460	1.29
7470	1.292
7480	1.289
7490	1.274
7500	1.273
7510	1.26
7520	1.265
7530	1.271
7540	1.274
7550	1.267
7560	1.266
7570	1.268
7580	1.253
7590	1.249
7600	1.249
7610	1.245
7620	1.223
7630	1.246
7640	1.239
7650	1.226
7660	1.176
7670	1.216
7680	1.221
7690	1.209
7700	1.209
7710	1.201
7720	1.198
7730	1.205
7740	1.198
7750	1.188
7760	1.202
7770	1.186
7780	1.179
7790	1.18
7800	1.173
7810	1.174
7820	1.181
7830	1.16
7840	1.165
7850	1.158
7860	1.172
7870	1.167
7880	1.161
7890	1.167
7900	1.165
7910	1.149
7920	1.138
7930	1.123
7940	1.11
7950	1.136
7960	1.14
7970	1.139
7980	1.138
7990	1.139
8000	1.129
8010	1.132
8020	1.127
8030	1.122
8040	1.12
8050	1.106
8060	1.121
